date,s_af,i_cfs,r_cfs
1996-08-01,NA,NA,NA
1996-08-02,NA,NA,NA
1996-08-03,NA,NA,NA
1996-08-04,NA,NA,NA
1996-08-05,NA,NA,NA
1996-08-06,NA,NA,NA
1996-08-07,NA,NA,NA
1996-08-08,NA,NA,NA
1996-08-09,NA,NA,NA
1996-08-10,NA,NA,NA
1996-08-11,NA,NA,NA
1996-08-12,NA,NA,NA
1996-08-13,NA,NA,NA
1996-08-14,NA,NA,NA
1996-08-15,NA,NA,NA
1996-08-16,NA,NA,NA
1996-08-17,NA,NA,NA
1996-08-18,NA,NA,NA
1996-08-19,NA,NA,NA
1996-08-20,NA,NA,NA
1996-08-21,NA,NA,NA
1996-08-22,NA,NA,NA
1996-08-23,NA,NA,NA
1996-08-24,NA,NA,NA
1996-08-25,NA,NA,NA
1996-08-26,NA,NA,NA
1996-08-27,NA,NA,NA
1996-08-28,NA,NA,NA
1996-08-29,NA,NA,NA
1996-08-31,1080,NA,NA
1996-09-01,1035,NA,NA
1996-09-12,1075,NA,NA
1996-09-13,1069,NA,NA
1996-09-14,1066,NA,NA
1996-09-15,1062,NA,NA
1996-09-16,1061,NA,NA
1996-09-17,1059,NA,NA
1996-09-18,1057,NA,NA
1996-09-19,1095,NA,NA
1996-09-20,NA,NA,NA
1996-09-21,1170,NA,NA
1996-09-22,1074,NA,NA
1996-09-23,1105,NA,NA
1996-09-24,1076,NA,NA
1996-09-25,1097,NA,NA
1996-09-26,1053,NA,NA
1996-09-27,1123,NA,NA
1996-09-28,1059,NA,NA
1996-09-29,990,NA,NA
1996-09-30,1009,NA,NA
1996-09-30,NA,NA,NA
1996-10-02,975,NA,NA
1996-10-03,970,NA,NA
1996-10-04,966,NA,NA
1996-10-05,963,NA,NA
1996-10-06,959,NA,NA
1996-10-07,956,NA,NA
1996-10-08,952,NA,NA
1996-10-09,954,NA,NA
1996-10-10,959,NA,NA
1996-10-11,964,NA,NA
1996-10-12,969,NA,NA
1996-10-13,974,NA,NA
1996-10-14,978,NA,NA
1996-10-15,982,NA,NA
1996-10-16,986,NA,NA
1996-10-17,918,NA,NA
1996-10-18,915,NA,NA
1996-10-19,925,NA,NA
1996-10-20,928,NA,NA
1996-10-21,NA,NA,NA
1996-10-22,NA,NA,NA
1996-10-23,920,NA,NA
1996-10-24,1022,NA,NA
1996-10-25,NA,NA,NA
1996-10-26,1008,NA,NA
1996-10-27,1009,NA,NA
1996-10-28,942,NA,NA
1996-10-29,NA,NA,NA
1996-10-30,955,NA,NA
1996-10-31,919,NA,NA
1996-11-01,1099,NA,NA
1996-11-02,1097,NA,NA
1996-11-03,1079,NA,NA
1996-11-04,1060,NA,NA
1996-11-05,1123,NA,NA
1996-11-05,NA,NA,NA
1996-11-07,1111,NA,NA
1996-11-08,987,NA,NA
1996-11-09,964,NA,NA
1996-11-10,965,NA,NA
1996-11-11,921,NA,NA
1996-11-12,944,NA,NA
1996-11-13,NA,NA,NA
1996-11-14,NA,NA,NA
1996-11-15,NA,NA,NA
1996-11-16,NA,NA,NA
1996-11-17,NA,NA,NA
1996-11-17,NA,NA,NA
1996-11-19,904,NA,NA
1996-11-20,NA,NA,NA
1996-11-21,992,NA,NA
1996-11-22,924,NA,NA
1996-11-23,973,NA,NA
1996-11-24,923,NA,NA
1996-11-25,914,NA,NA
1996-11-26,866,NA,NA
1996-11-27,1068,NA,NA
1996-11-28,967,NA,NA
1996-11-29,871,NA,NA
1996-11-30,NA,NA,NA
1996-12-01,882,NA,NA
1996-12-02,970,NA,NA
1996-12-03,1103,NA,NA
1996-12-02,1103,NA,NA
1996-12-05,1127,NA,NA
1996-12-06,1018,NA,NA
1996-12-07,909,NA,NA
1996-12-08,923,NA,NA
1996-12-09,946,NA,NA
1996-12-10,970,NA,NA
1996-12-11,1024,NA,NA
1996-12-12,1192,NA,NA
1996-12-11,1192,NA,NA
1996-12-14,1095,NA,NA
1996-12-13,1095,NA,NA
1996-12-16,975,NA,NA
1996-12-17,940,NA,NA
1996-12-18,957,NA,NA
1996-12-17,957,NA,NA
1996-12-20,-9999,NA,NA
1996-12-21,968,NA,NA
1996-12-22,971,NA,NA
1996-12-23,956,NA,NA
1996-12-24,962,NA,NA
1996-12-25,927,NA,NA
1996-12-24,927,NA,NA
1996-12-27,998,NA,NA
1996-12-28,1020,NA,NA
1996-12-29,990,NA,NA
1996-12-30,1166,NA,NA
1996-12-31,1285,NA,NA
1997-01-01,1313,NA,NA
1997-01-02,1464,NA,NA
1997-01-01,1464,NA,NA
1997-01-04,1310,NA,NA
1997-01-05,1022,NA,NA
1997-01-04,1022,NA,NA
1997-01-07,986,NA,NA
1997-01-08,975,NA,NA
1997-01-09,978,NA,NA
1997-01-08,978,NA,NA
1997-01-11,938,NA,NA
1997-01-12,993,NA,NA
1997-01-13,1009,NA,NA
1997-01-14,989,NA,NA
1997-01-15,1003,NA,NA
1997-01-16,1014,NA,NA
1997-01-17,1032,NA,NA
1997-01-18,977,NA,NA
1997-01-19,953,NA,NA
1997-01-18,953,NA,NA
1997-01-21,949,NA,NA
1997-01-20,949,NA,NA
1997-01-23,1007,NA,NA
1997-01-24,954,NA,NA
1997-01-25,979,NA,NA
1997-01-24,979,NA,NA
1997-01-26,NA,NA,NA
1997-01-28,1039,NA,NA
1997-01-29,1113,NA,NA
1997-01-30,1042,NA,NA
1997-01-31,1039,NA,NA
1997-02-01,1030,NA,NA
1997-02-02,1150,NA,NA
1997-02-01,1150,NA,NA
1997-02-04,1035,NA,NA
1997-02-05,992,NA,NA
1997-02-06,969,NA,NA
1997-02-07,981,NA,NA
1997-02-06,981,NA,NA
1997-02-09,943,NA,NA
1997-02-10,945,NA,NA
1997-02-11,977,NA,NA
1997-02-12,1059,NA,NA
1997-02-13,1084,NA,NA
1997-02-14,1152,NA,NA
1997-02-15,1058,NA,NA
1997-02-16,1137,NA,NA
1997-02-17,1122,NA,NA
1997-02-18,1146,NA,NA
1997-02-19,1005,NA,NA
1997-02-20,1130,NA,NA
1997-02-21,1138,NA,NA
1997-02-20,1138,NA,NA
1997-02-23,1006,NA,NA
1997-02-24,1157,NA,NA
1997-02-25,1155,NA,NA
1997-02-26,1188,NA,NA
1997-02-27,1154,NA,NA
1997-02-28,1135,NA,NA
1997-03-01,1188,NA,NA
1997-03-02,1187,NA,NA
1997-03-03,1138,NA,NA
1997-03-04,1026,NA,NA
1997-03-05,1057,NA,NA
1997-03-06,1111,NA,NA
1997-03-07,1120,NA,NA
1997-03-08,1161,NA,NA
1997-03-09,1164,NA,NA
1997-03-10,1186,NA,NA
1997-03-11,1151,NA,NA
1997-03-12,1137,NA,NA
1997-03-13,1077,NA,NA
1997-03-14,1175,NA,NA
1997-03-15,1070,NA,NA
1997-03-16,1009,NA,NA
1997-03-17,997,NA,NA
1997-03-18,1132,NA,NA
1997-03-19,1098,NA,NA
1997-03-20,1011,NA,NA
1997-03-21,979,NA,NA
1997-03-22,1035,NA,NA
1997-03-23,1012,NA,NA
1997-03-24,1076,NA,NA
1997-03-25,1021,NA,NA
1997-03-26,1050,NA,NA
1997-03-27,1011,NA,NA
1997-03-28,987,NA,NA
1997-03-29,935,NA,NA
1997-03-30,960,NA,NA
1997-03-31,938,NA,NA
1997-04-01,942,NA,NA
1997-04-02,931,NA,NA
1997-04-03,888,NA,NA
1997-04-04,878,NA,NA
1997-04-05,883,NA,NA
1997-04-06,NA,NA,NA
1997-04-07,NA,NA,NA
1997-04-08,904,NA,NA
1997-04-09,NA,NA,NA
1997-04-10,NA,NA,NA
1997-04-11,NA,NA,NA
1997-04-12,NA,NA,NA
1997-04-13,NA,NA,NA
1997-04-14,NA,NA,NA
1997-04-15,NA,NA,NA
1997-04-16,NA,NA,NA
1997-04-17,NA,NA,NA
1997-04-18,NA,NA,NA
1997-04-19,NA,NA,NA
1997-04-20,NA,NA,NA
1997-04-21,NA,NA,NA
1997-04-22,964,NA,NA
1997-04-23,0,NA,NA
1997-04-23,1074,NA,NA
1997-04-25,1050,NA,NA
1997-04-25,921,NA,NA
1997-04-26,967,NA,NA
1997-04-27,964,NA,NA
1997-04-29,1043,NA,NA
1997-04-30,919,NA,NA
1997-05-01,947,NA,NA
1997-05-02,951,NA,NA
1997-05-03,NA,NA,NA
1997-05-04,909,NA,NA
1997-05-05,977,NA,NA
1997-05-06,912,NA,NA
1997-05-07,923,NA,NA
1997-05-08,949,NA,NA
