date,s_af,i_cfs,r_cfs
1989-01-23,4821,NA,NA
1989-01-24,4821,NA,NA
1989-01-25,6153,NA,NA
1989-01-26,6461,NA,NA
1989-01-27,6461,NA,NA
1989-01-28,6691,NA,NA
1989-01-29,6668,NA,NA
1989-01-30,6859,NA,NA
1989-01-31,NA,NA,NA
1989-02-01,6675,NA,NA
1989-02-02,6537,NA,NA
1989-02-03,6537,NA,NA
1989-02-04,6423,NA,NA
1989-02-05,5905,NA,NA
1989-02-06,5762,NA,NA
1989-02-07,5941,NA,NA
1989-02-08,6365,NA,NA
1989-02-09,6759,NA,NA
1989-02-10,6763,NA,NA
1989-02-11,6591,NA,NA
1989-02-12,6943,NA,NA
1989-02-13,6465,NA,NA
1989-02-14,6549,NA,NA
1989-02-15,NA,NA,NA
1989-02-16,6878,NA,NA
1989-02-17,6871,NA,NA
1989-02-18,6871,NA,NA
1989-02-19,6871,NA,NA
1989-02-20,6871,NA,NA
1989-02-21,3588,NA,NA
1989-02-22,3326,NA,NA
1989-02-23,3319,NA,NA
1989-02-24,6328,NA,NA
1989-02-25,6347,NA,NA
1989-02-26,6335,NA,NA
1989-02-27,6312,NA,NA
1989-02-28,NA,NA,NA
1989-03-01,6400,NA,NA
1989-03-02,NA,NA,NA
1989-03-03,6542,NA,NA
1989-03-04,6519,NA,NA
1989-03-05,6556,NA,NA
1989-03-06,6663,NA,NA
1989-03-07,NA,NA,NA
1989-03-08,7082,NA,NA
1989-03-09,NA,NA,NA
1989-03-10,NA,NA,NA
1989-03-11,NA,NA,NA
1989-03-12,7479,NA,NA
1989-03-13,7581,NA,NA
1989-03-14,7618,NA,NA
1989-03-15,7701,NA,NA
1989-03-16,7763,NA,NA
1989-03-17,7817,NA,NA
1989-03-18,NA,NA,NA
1989-03-19,7915,NA,NA
1989-03-20,7939,NA,NA
1989-03-21,7958,NA,NA
1989-03-22,7981,NA,NA
1989-03-23,8012,NA,NA
1989-03-24,8153,NA,NA
1989-03-25,NA,NA,NA
1989-03-26,8256,NA,NA
1989-03-27,8282,NA,NA
1989-03-28,8385,NA,NA
1989-03-29,8397,NA,NA
1989-03-30,8459,NA,NA
1989-03-31,NA,NA,NA
1989-04-01,8581,NA,NA
1989-04-02,NA,NA,NA
1989-04-03,8723,NA,NA
1989-04-04,8767,NA,NA
1989-04-05,8842,NA,NA
1989-04-06,8989,NA,NA
1989-04-07,9108,NA,NA
1989-04-08,NA,NA,NA
1989-04-09,9380,NA,NA
1989-04-10,9095,NA,NA
1989-04-11,9680,NA,NA
1989-04-12,9820,NA,NA
1989-04-13,9958,NA,NA
1989-04-14,10135,NA,NA
1989-04-15,10311,NA,NA
1989-04-16,10477,NA,NA
1989-04-17,10661,NA,NA
1989-04-18,10859,NA,NA
1989-04-19,11034,NA,NA
1989-04-20,11311,NA,NA
1989-04-21,11478,NA,NA
1989-04-22,11602,NA,NA
1989-04-23,11739,NA,NA
1989-04-24,11790,NA,NA
1989-04-25,11887,NA,NA
1989-04-26,11953,NA,NA
1989-04-27,11999,NA,NA
1989-04-28,12065,NA,NA
1989-04-29,12129,NA,NA
1989-04-30,NA,NA,NA
1989-05-01,12254,NA,NA
1989-05-02,12346,NA,NA
1989-05-03,12489,NA,NA
1989-05-04,12653,NA,NA
1989-05-05,12856,NA,NA
1989-05-06,13080,NA,NA
1989-05-07,13346,NA,NA
1989-05-08,13576,NA,NA
1989-05-09,13789,NA,NA
1989-05-10,13956,NA,NA
1989-05-11,14105,NA,NA
1989-05-12,14243,NA,NA
1989-05-13,14372,NA,NA
1989-05-14,NA,NA,NA
1989-05-15,14592,NA,NA
1989-05-16,14721,NA,NA
1989-05-17,14885,NA,NA
1989-05-18,15025,NA,NA
1989-05-19,15147,NA,NA
1989-05-20,15299,NA,NA
1989-05-21,15387,NA,NA
1989-05-22,15536,NA,NA
1989-05-23,15667,NA,NA
1989-05-24,15728,NA,NA
1989-05-25,15803,NA,NA
1989-05-26,15887,NA,NA
1989-05-27,16018,NA,NA
1989-05-28,16086,NA,NA
1989-05-29,16161,NA,NA
1989-05-30,16231,NA,NA
1989-05-31,NA,NA,NA
1989-06-01,16418,NA,NA
1989-06-02,16551,NA,NA
1989-06-03,16730,NA,NA
1989-06-04,16932,NA,NA
1989-06-05,17088,NA,NA
1989-06-06,17220,NA,NA
1989-06-07,17377,NA,NA
1989-06-08,17440,NA,NA
1989-06-09,17446,NA,NA
1989-06-10,17432,NA,NA
1989-06-11,17412,NA,NA
1989-06-12,17396,NA,NA
1989-06-13,17368,NA,NA
1989-06-14,17341,NA,NA
1989-06-15,17341,NA,NA
1989-06-16,17333,NA,NA
1989-06-17,17313,NA,NA
1989-06-18,17291,NA,NA
1989-06-19,17264,NA,NA
1989-06-20,17242,NA,NA
1989-06-21,17220,NA,NA
1989-06-22,17220,NA,NA
1989-06-23,17236,NA,NA
1989-06-24,17250,NA,NA
1989-06-25,17264,NA,NA
1989-06-26,17264,NA,NA
1989-06-27,17264,NA,NA
1989-06-28,17283,NA,NA
1989-06-29,17250,NA,NA
1989-06-30,NA,NA,NA
1989-07-01,17250,NA,NA
1989-07-02,17228,NA,NA
1989-07-03,17214,NA,NA
1989-07-04,17201,NA,NA
1989-07-05,17187,NA,NA
1989-07-06,17165,NA,NA
1989-07-07,17157,NA,NA
1989-07-08,17102,NA,NA
1989-07-09,17107,NA,NA
1989-07-10,17088,NA,NA
1989-07-11,17094,NA,NA
1989-07-12,17052,NA,NA
1989-07-13,17031,NA,NA
1989-07-14,17011,NA,NA
1989-07-15,16990,NA,NA
