date,s_af,i_cfs,r_cfs
1985-02-10,21315,NA,NA
1985-02-11,NA,NA,NA
1985-02-12,22020,NA,NA
1985-02-13,22145,NA,NA
1985-02-14,22660,NA,NA
1985-02-15,NA,NA,NA
1985-02-16,NA,NA,NA
1985-02-17,NA,NA,NA
1985-02-18,21080,NA,NA
1985-02-19,21585,NA,NA
1985-02-20,21640,NA,NA
1985-02-21,21815,NA,NA
1985-02-22,NA,NA,NA
1985-02-23,NA,NA,NA
1985-02-24,21495,NA,NA
1985-02-25,22045,NA,NA
1985-02-26,21610,NA,NA
1985-02-27,21885,NA,NA
1985-02-28,21990,NA,NA
1985-03-01,NA,NA,NA
1985-03-02,21595,NA,NA
1985-03-03,21440,NA,NA
1985-03-04,21490,NA,NA
1985-03-05,21690,NA,NA
1985-03-06,21720,NA,NA
1985-03-07,NA,NA,NA
1985-03-08,NA,NA,NA
1985-03-09,21465,NA,NA
1985-03-10,21525,NA,NA
1985-03-11,21925,NA,NA
1985-03-12,22590,NA,NA
1985-03-13,22490,NA,NA
1985-03-14,NA,NA,NA
1985-03-15,NA,NA,NA
1985-03-16,NA,NA,NA
1985-03-17,22520,NA,NA
1985-03-18,22595,NA,NA
1985-03-19,22040,NA,NA
1985-03-20,21695,NA,NA
1985-03-21,NA,NA,NA
1985-03-22,NA,NA,NA
1985-03-23,21285,NA,NA
1985-03-24,21665,NA,NA
1985-03-25,22215,NA,NA
1985-03-26,22545,NA,NA
1985-03-27,22945,NA,NA
1985-03-28,NA,NA,NA
1985-03-29,NA,NA,NA
1985-03-30,21895,NA,NA
1985-03-31,22590,NA,NA
1985-04-01,22880,NA,NA
1985-04-02,22580,NA,NA
1985-04-03,21725,NA,NA
1985-04-04,NA,NA,NA
1985-04-05,NA,NA,NA
1985-04-06,20935,NA,NA
1985-04-07,21510,NA,NA
1985-04-08,21995,NA,NA
1985-04-09,22295,NA,NA
1985-04-10,22470,NA,NA
1985-04-11,NA,NA,NA
1985-04-12,NA,NA,NA
1985-04-13,27770,NA,NA
1985-04-14,22330,NA,NA
1985-04-15,22760,NA,NA
1985-04-16,22235,NA,NA
1985-04-17,21475,NA,NA
1985-04-18,NA,NA,NA
1985-04-19,NA,NA,NA
1985-04-20,NA,NA,NA
1985-04-21,21795,NA,NA
1985-04-22,22155,NA,NA
1985-04-23,22120,NA,NA
1985-04-24,22260,NA,NA
1985-04-25,NA,NA,NA
1985-04-26,NA,NA,NA
1985-04-27,240,NA,NA
1985-04-28,22385,NA,NA
1985-04-29,23340,NA,NA
1985-04-30,21870,NA,NA
1985-05-01,21640,NA,NA
1985-05-02,NA,NA,NA
1985-05-03,NA,NA,NA
1985-05-04,21975,NA,NA
1985-05-05,22210,NA,NA
1985-05-06,22295,NA,NA
1985-05-07,22335,NA,NA
1985-05-08,22445,NA,NA
1985-05-09,NA,NA,NA
1985-05-10,NA,NA,NA
1985-05-11,22690,NA,NA
1985-05-12,22635,NA,NA
1985-05-13,21745,NA,NA
1985-05-14,21885,NA,NA
1985-05-15,21745,NA,NA
1985-05-16,NA,NA,NA
1985-05-17,NA,NA,NA
1985-05-18,21740,NA,NA
1985-05-19,21740,NA,NA
1985-05-20,21375,NA,NA
1985-05-21,21500,NA,NA
1985-05-22,22300,NA,NA
1985-05-23,NA,NA,NA
1985-05-24,NA,NA,NA
1985-05-25,NA,NA,NA
1985-05-26,22590,NA,NA
1985-05-27,23010,NA,NA
1985-05-28,22745,NA,NA
1985-05-29,22775,NA,NA
1985-05-30,NA,NA,NA
1985-05-31,NA,NA,NA
1985-06-01,21995,NA,NA
1985-06-02,22265,NA,NA
1985-06-03,22815,NA,NA
1985-06-04,23070,NA,NA
1985-06-05,NA,NA,NA
1985-06-06,NA,NA,NA
1985-06-07,NA,NA,NA
1985-06-08,22200,NA,NA
1985-06-09,22075,NA,NA
1985-06-10,22075,NA,NA
1985-06-11,22005,NA,NA
1985-06-12,21800,NA,NA
1985-06-13,NA,NA,NA
1985-06-14,NA,NA,NA
1985-06-15,22550,NA,NA
1985-06-16,22640,NA,NA
1985-06-17,22825,NA,NA
1985-06-18,23135,NA,NA
1985-06-19,23230,NA,NA
1985-06-20,NA,NA,NA
1985-06-21,NA,NA,NA
1985-06-22,NA,NA,NA
1985-06-23,22460,NA,NA
1985-06-24,NA,NA,NA
1985-06-25,22420,NA,NA
1985-06-26,21295,NA,NA
1985-06-27,NA,NA,NA
1985-06-28,NA,NA,NA
1985-06-29,22940,NA,NA
1985-06-30,22600,NA,NA
1985-07-01,21060,NA,NA
1985-07-02,NA,NA,NA
1985-07-03,20955,NA,NA
1985-07-04,NA,NA,NA
1985-07-05,NA,NA,NA
