date,s_af,i_cfs,r_cfs
1985-04-21,46700,NA,NA
1985-04-22,47300,NA,NA
1985-04-23,47700,NA,NA
1985-04-24,48100,NA,NA
1985-04-25,48400,NA,NA
1985-04-26,48800,NA,NA
1985-04-27,49100,NA,NA
1985-04-28,49600,NA,NA
1985-04-29,50000,NA,NA
1985-04-30,50500,NA,NA
1985-05-01,51000,NA,NA
1985-05-02,51500,NA,NA
1985-05-03,52000,NA,NA
1985-05-04,52400,NA,NA
1985-05-05,52800,NA,NA
1985-05-06,53200,NA,NA
1985-05-07,53600,NA,NA
1985-05-08,53900,NA,NA
1985-05-09,54300,NA,NA
1985-05-10,54400,NA,NA
1985-05-11,54700,NA,NA
1985-05-12,55000,NA,NA
1985-05-13,55200,NA,NA
1985-05-14,55400,NA,NA
1985-05-15,55700,NA,NA
1985-05-16,55800,NA,NA
1985-05-17,56100,NA,NA
1985-05-18,56300,NA,NA
1985-05-19,56500,NA,NA
1985-05-20,56700,NA,NA
1985-05-21,56900,NA,NA
1985-05-22,57100,NA,NA
1985-05-23,57200,NA,NA
1985-05-24,57300,NA,NA
1985-05-25,57400,NA,NA
1985-05-26,57500,NA,NA
1985-05-27,57600,NA,NA
1985-05-28,57600,NA,NA
1985-05-29,57800,NA,NA
1985-05-30,57800,NA,NA
1985-05-31,57900,NA,NA
1985-06-01,57900,NA,NA
1985-06-02,58000,NA,NA
1985-06-03,58100,NA,NA
1985-06-04,58100,NA,NA
1985-06-05,58100,NA,NA
1985-06-06,58200,NA,NA
1985-06-07,58200,NA,NA
1985-06-08,58200,NA,NA
1985-06-09,58200,NA,NA
1985-06-10,58300,NA,NA
1985-06-11,58300,NA,NA
1985-06-12,58300,NA,NA
1985-06-13,58300,NA,NA
1985-06-14,58300,NA,NA
1985-06-15,58300,NA,NA
1985-06-16,58300,NA,NA
1985-06-17,58200,NA,NA
1985-06-18,58200,NA,NA
1985-06-19,58200,NA,NA
1985-06-20,58200,NA,NA
1985-06-21,58200,NA,NA
1985-06-22,58100,NA,NA
1985-06-23,58100,NA,NA
1985-06-24,58000,NA,NA
1985-06-25,58000,NA,NA
1985-06-26,57900,NA,NA
1985-06-27,57900,NA,NA
1985-06-28,57900,NA,NA
1985-06-29,57800,NA,NA
1985-06-30,57700,NA,NA
1985-07-01,57700,NA,NA
1985-07-02,58300,NA,NA
1985-07-03,58200,NA,NA
1985-07-04,58200,NA,NA
1985-07-05,58200,NA,NA
1985-07-06,58100,NA,NA
1985-07-07,58100,NA,NA
1985-07-08,58100,NA,NA
1985-07-09,58000,NA,NA
1985-07-10,58000,NA,NA
1985-07-11,57900,NA,NA
1985-07-12,57900,NA,NA
1985-07-13,57800,NA,NA
1985-07-14,57800,NA,NA
1985-07-15,57800,NA,NA
1985-07-16,57800,NA,NA
1985-07-17,57700,NA,NA
1985-07-18,57600,NA,NA
1985-07-19,57600,NA,NA
1985-07-20,57600,NA,NA
1985-07-21,57500,NA,NA
1985-07-22,57500,NA,NA
1985-07-23,57500,NA,NA
1985-07-24,57500,NA,NA
1985-07-25,57400,NA,NA
1985-07-26,57400,NA,NA
1985-07-27,57400,NA,NA
1985-07-28,57300,NA,NA
1985-07-29,57200,NA,NA
1985-07-30,57100,NA,NA
1985-07-31,57100,NA,NA
1985-08-01,57100,NA,NA
1985-08-02,57000,NA,NA
1985-08-03,57000,NA,NA
1985-08-04,57000,NA,NA
1985-08-05,57000,NA,NA
1985-08-06,56900,NA,NA
1985-08-07,56800,NA,NA
1985-08-08,56800,NA,NA
1985-08-09,56700,NA,NA
1985-08-10,56700,NA,NA
1985-08-11,56600,NA,NA
1985-08-12,56600,NA,NA
1985-08-13,56500,NA,NA
1985-08-14,56500,NA,NA
1985-08-15,56500,NA,NA
1985-08-16,56400,NA,NA
1985-08-17,56300,NA,NA
1985-08-18,56300,NA,NA
1985-08-19,56300,NA,NA
1985-08-20,56200,NA,NA
1985-08-21,56200,NA,NA
1985-08-22,56100,NA,NA
1985-08-23,56100,NA,NA
1985-08-24,56100,NA,NA
1985-08-25,56000,NA,NA
1985-08-26,56000,NA,NA
1985-08-27,55900,NA,NA
1985-08-28,55900,NA,NA
1985-08-29,55800,NA,NA
1985-08-30,55800,NA,NA
1985-08-31,55800,NA,NA
1985-09-01,55700,NA,NA
1985-09-02,55600,NA,NA
1985-09-03,55600,NA,NA
1985-09-04,55000,NA,NA
1985-09-05,54700,NA,NA
1985-09-06,54100,NA,NA
1985-09-07,53700,NA,NA
1985-09-08,53500,NA,NA
1985-09-09,53200,NA,NA
1985-09-10,52800,NA,NA
1985-09-11,52300,NA,NA
1985-09-12,52000,NA,NA
1985-09-13,51500,NA,NA
1985-09-14,51100,NA,NA
1985-09-15,51000,NA,NA
1985-09-16,50200,NA,NA
1985-09-17,49700,NA,NA
1985-09-18,49300,NA,NA
1985-09-19,48900,NA,NA
1985-09-20,48400,NA,NA
1985-09-21,48000,NA,NA
1985-09-22,47600,NA,NA
1985-09-23,47100,NA,NA
1985-09-24,46600,NA,NA
1985-09-25,46200,NA,NA
1985-09-26,45000,NA,NA
1985-09-27,45500,NA,NA
1985-09-28,45500,NA,NA
1985-09-29,45400,NA,NA
1985-09-30,45400,NA,NA
1985-10-01,45900,NA,NA
1985-10-02,45400,NA,NA
1985-10-03,45400,NA,NA
1985-10-04,45300,NA,NA
1985-10-05,45300,NA,NA
1985-10-06,45200,NA,NA
1985-10-07,45200,NA,NA
