date,s_af,i_cfs,r_cfs
2007-03-08,NA,NA,NA
2007-03-09,NA,NA,NA
2007-03-10,NA,NA,NA
2007-03-11,NA,NA,NA
2007-03-12,NA,NA,NA
2007-03-13,NA,NA,NA
2007-03-14,NA,NA,NA
2007-03-15,NA,NA,NA
2007-03-16,NA,NA,NA
2007-03-17,NA,NA,NA
2007-03-18,NA,NA,NA
2007-03-19,NA,NA,NA
2007-03-20,NA,NA,NA
2007-03-21,NA,NA,NA
2007-03-22,NA,NA,NA
2007-03-23,NA,NA,NA
2007-03-24,NA,NA,NA
2007-03-25,NA,NA,NA
2007-03-26,NA,NA,NA
2007-03-27,65187,NA,NA
2007-03-28,65238,NA,NA
2007-03-29,65253,NA,NA
2007-03-30,65268,NA,NA
2007-03-31,65372,NA,NA
2007-04-01,65479,NA,NA
2007-04-02,65617,NA,NA
2007-04-03,65733,NA,NA
2007-04-04,65756,NA,NA
2007-04-05,65634,NA,NA
2007-04-06,65546,NA,NA
2007-04-07,65647,NA,NA
2007-04-08,65651,NA,NA
2007-04-09,65658,NA,NA
2007-04-10,65626,NA,NA
2007-04-11,65586,NA,NA
2007-04-12,65522,NA,NA
2007-04-13,65379,NA,NA
2007-04-14,65321,NA,NA
2007-04-15,65267,NA,NA
2007-04-16,65166,NA,NA
2007-04-17,65079,NA,NA
2007-04-18,65030,NA,NA
2007-04-19,64972,NA,NA
2007-04-20,64916,NA,NA
2007-04-21,64954,NA,NA
2007-04-22,65910,NA,NA
2007-04-23,66465,NA,NA
2007-04-24,66663,NA,NA
2007-04-25,66744,NA,NA
2007-04-26,66773,NA,NA
2007-04-27,66762,NA,NA
2007-04-28,66718,NA,NA
2007-04-29,66647,NA,NA
2007-04-30,66552,NA,NA
2007-05-01,66420,NA,NA
2007-05-02,66344,NA,NA
2007-05-03,65597,NA,NA
2007-05-04,66285,NA,NA
2007-05-05,66241,NA,NA
2007-05-06,66153,NA,NA
2007-05-07,66030,NA,NA
2007-05-08,65910,NA,NA
2007-05-09,65729,NA,NA
2007-05-10,65558,NA,NA
2007-05-11,65277,NA,NA
2007-05-12,65014,NA,NA
2007-05-13,64811,NA,NA
2007-05-14,64601,NA,NA
2007-05-15,64380,NA,NA
2007-05-16,64141,NA,NA
2007-05-17,63883,NA,NA
2007-05-18,63636,NA,NA
2007-05-19,63377,NA,NA
2007-05-20,63090,NA,NA
2007-05-21,62844,NA,NA
2007-05-22,62591,NA,NA
2007-05-23,62354,NA,NA
2007-05-24,62125,NA,NA
2007-05-25,61864,NA,NA
2007-05-26,61615,NA,NA
2007-05-27,61373,NA,NA
2007-05-28,61142,NA,NA
2007-05-29,60903,NA,NA
2007-05-30,60646,NA,NA
2007-05-31,60373,NA,NA
2007-06-01,60120,NA,NA
2007-06-02,59859,NA,NA
2007-06-03,59599,NA,NA
2007-06-04,59370,NA,NA
2007-06-05,59187,NA,NA
2007-06-06,58797,NA,NA
2007-06-07,58536,NA,NA
2007-06-08,58286,NA,NA
2007-06-09,58037,NA,NA
2007-06-10,57801,NA,NA
2007-06-11,57524,NA,NA
2007-06-12,57254,NA,NA
2007-06-13,56987,NA,NA
2007-06-14,56737,NA,NA
2007-06-15,56486,NA,NA
2007-06-16,56225,NA,NA
2007-06-17,55974,NA,NA
2007-06-18,55706,NA,NA
2007-06-19,55459,NA,NA
2007-06-20,55176,NA,NA
2007-06-21,54906,NA,NA
2007-06-22,54639,NA,NA
2007-06-23,54372,NA,NA
2007-06-24,54097,NA,NA
2007-06-25,53823,NA,NA
2007-06-26,53558,NA,NA
2007-06-27,53282,NA,NA
2007-06-28,53011,NA,NA
2007-06-29,52735,NA,NA
2007-06-30,52459,NA,NA
2007-07-01,52177,NA,NA
2007-07-02,51896,NA,NA
2007-07-03,51636,NA,NA
2007-07-04,51345,NA,NA
2007-07-05,51126,NA,NA
2007-07-06,50813,NA,NA
2007-07-07,50543,NA,NA
2007-07-08,50206,NA,NA
2007-07-09,49918,NA,NA
2007-07-10,49623,NA,NA
2007-07-11,49344,NA,NA
2007-07-12,49054,NA,NA
2007-07-13,48761,NA,NA
2007-07-14,48464,NA,NA
2007-07-15,48169,NA,NA
2007-07-16,47874,NA,NA
2007-07-17,47577,NA,NA
2007-07-18,47310,NA,NA
2007-07-19,47030,NA,NA
2007-07-20,46735,NA,NA
2007-07-21,46445,NA,NA
2007-07-22,46155,NA,NA
2007-07-23,45867,NA,NA
