date,s_af,i_cfs,r_cfs
1992-05-31,6000,NA,NA
1992-06-01,5900,NA,NA
1992-06-02,5900,NA,NA
1992-06-03,5500,NA,NA
1992-06-04,5800,NA,NA
1992-06-05,5800,NA,NA
1992-06-06,5700,NA,NA
1992-06-07,5700,NA,NA
1992-06-08,5600,NA,NA
1992-06-09,5600,NA,NA
1992-06-10,5500,NA,NA
1992-06-11,5500,NA,NA
1992-06-12,5400,NA,NA
1992-06-13,5300,NA,NA
1992-06-14,5200,NA,NA
1992-06-15,5200,NA,NA
1992-06-16,5100,NA,NA
1992-06-17,5100,NA,NA
1992-06-18,5000,NA,NA
1992-06-19,5000,NA,NA
1992-06-20,4900,NA,NA
1992-06-21,4800,NA,NA
1992-06-22,4800,NA,NA
1992-06-23,4700,NA,NA
1992-06-24,4700,NA,NA
1992-06-25,4600,NA,NA
1992-06-26,4500,NA,NA
1992-06-27,4500,NA,NA
1992-06-28,4400,NA,NA
1992-06-29,4300,NA,NA
1992-06-30,4300,NA,NA
1992-07-01,4290,NA,NA
1992-07-02,4240,NA,NA
1992-07-03,4210,NA,NA
1992-07-04,4150,NA,NA
1992-07-05,4080,NA,NA
1992-07-06,4000,NA,NA
1992-07-07,3930,NA,NA
1992-07-08,3900,NA,NA
1992-07-09,3810,NA,NA
1992-07-10,3780,NA,NA
1992-07-11,3700,NA,NA
1992-07-12,3900,NA,NA
1992-07-13,4200,NA,NA
1992-07-14,4300,NA,NA
1992-07-15,4300,NA,NA
1992-07-16,4300,NA,NA
1992-07-17,4700,NA,NA
1992-07-18,4800,NA,NA
1992-07-19,4850,NA,NA
1992-07-20,4800,NA,NA
1992-07-21,4737,NA,NA
1992-07-22,4690,NA,NA
1992-07-23,4600,NA,NA
1992-07-24,4100,NA,NA
1992-07-25,4500,NA,NA
1992-07-26,4500,NA,NA
1992-07-27,4400,NA,NA
1992-07-28,4300,NA,NA
1992-07-29,4300,NA,NA
1992-07-30,4200,NA,NA
1992-07-31,4200,NA,NA
1992-08-01,4100,NA,NA
1992-08-02,4100,NA,NA
1992-08-03,3900,NA,NA
1992-08-04,3900,NA,NA
1992-08-05,3800,NA,NA
1992-08-06,3800,NA,NA
1992-08-07,3700,NA,NA
1992-08-08,3700,NA,NA
1992-08-09,3600,NA,NA
1992-08-10,3600,NA,NA
1992-08-11,3600,NA,NA
1992-08-12,3500,NA,NA
1992-08-13,3500,NA,NA
1992-08-14,3500,NA,NA
1992-08-15,3300,NA,NA
1992-08-16,3300,NA,NA
1992-08-17,3200,NA,NA
1992-08-18,3200,NA,NA
1992-08-19,3100,NA,NA
1992-08-20,3000,NA,NA
1992-08-21,3000,NA,NA
1992-08-22,2900,NA,NA
1992-08-23,2800,NA,NA
1992-08-24,2700,NA,NA
1992-08-25,2700,NA,NA
1992-08-26,2600,NA,NA
1992-08-27,2600,NA,NA
1992-08-28,2530,NA,NA
1992-08-29,2500,NA,NA
1992-08-30,2400,NA,NA
1992-08-31,2300,NA,NA
1992-09-01,2200,NA,NA
1992-09-02,2140,NA,NA
1992-09-03,2040,NA,NA
1992-09-04,1960,NA,NA
1992-09-05,1930,NA,NA
1992-09-06,1860,NA,NA
1992-09-07,1750,NA,NA
1992-09-08,1740,NA,NA
1992-09-09,1680,NA,NA
1992-09-10,1570,NA,NA
1992-09-11,1550,NA,NA
1992-09-12,1540,NA,NA
1992-09-13,1530,NA,NA
1992-09-14,1530,NA,NA
1992-09-15,1530,NA,NA
1992-09-16,1530,NA,NA
1992-09-17,1530,NA,NA
1992-09-18,1550,NA,NA
1992-09-19,1560,NA,NA
1992-09-20,1570,NA,NA
1992-09-21,1600,NA,NA
1992-09-22,1600,NA,NA
1992-09-23,1600,NA,NA
1992-09-24,1600,NA,NA
1992-09-25,1700,NA,NA
1992-09-26,1700,NA,NA
1992-09-27,1700,NA,NA
1992-09-28,1700,NA,NA
1992-09-29,1800,NA,NA
1992-09-30,1800,NA,NA
1992-10-01,1800,NA,NA
1992-10-02,1800,NA,NA
1992-10-03,1900,NA,NA
1992-10-04,1900,NA,NA
1992-10-05,1900,NA,NA
1992-10-06,1900,NA,NA
1992-10-07,2000,NA,NA
1992-10-08,1980,NA,NA
1992-10-09,2000,NA,NA
1992-10-10,2000,NA,NA
1992-10-11,2100,NA,NA
1992-10-12,2100,NA,NA
1992-10-13,2100,NA,NA
1992-10-14,2100,NA,NA
1992-10-15,2100,NA,NA
1992-10-16,2100,NA,NA
1992-10-17,2020,NA,NA
1992-10-18,1990,NA,NA
1992-10-19,1950,NA,NA
1992-10-20,2000,NA,NA
1992-10-21,2000,NA,NA
1992-10-22,2000,NA,NA
1992-10-23,1910,NA,NA
1992-10-24,1900,NA,NA
1992-10-25,1840,NA,NA
1992-10-26,1850,NA,NA
1992-10-27,1860,NA,NA
1992-10-28,1890,NA,NA
1992-10-29,1840,NA,NA
1992-10-30,1780,NA,NA
1992-10-31,1720,NA,NA
1992-11-01,1720,NA,NA
1992-11-02,1680,NA,NA
1992-11-03,1690,NA,NA
1992-11-04,1700,NA,NA
1992-11-05,1760,NA,NA
1992-11-06,1810,NA,NA
1992-11-07,1840,NA,NA
1992-11-08,1860,NA,NA
1992-11-09,1900,NA,NA
1992-11-10,1900,NA,NA
1992-11-11,2000,NA,NA
1992-11-12,2000,NA,NA
1992-11-13,2100,NA,NA
1992-11-14,2100,NA,NA
1992-11-15,2100,NA,NA
1992-11-16,2100,NA,NA
1992-11-17,2200,NA,NA
1992-11-18,2200,NA,NA
1992-11-19,2500,NA,NA
1992-11-20,2300,NA,NA
1992-11-21,2400,NA,NA
1992-11-22,2400,NA,NA
1992-11-23,2500,NA,NA
1992-11-24,2500,NA,NA
1992-11-25,2500,NA,NA
1992-11-26,2600,NA,NA
1992-11-27,2500,NA,NA
1992-11-28,2500,NA,NA
1992-11-29,2800,NA,NA
1992-11-30,2800,NA,NA
1992-12-01,2900,NA,NA
1992-12-02,3000,NA,NA
1992-12-03,3000,NA,NA
