date,s_af,i_cfs,r_cfs
1988-11-09,0,NA,NA
1988-11-10,0,NA,NA
1988-11-11,0,NA,NA
1988-11-12,NA,NA,NA
1988-11-13,NA,NA,NA
1988-11-14,0,NA,NA
1988-11-15,0,NA,NA
1988-11-16,0,NA,NA
1988-11-17,0,NA,NA
1988-11-18,0,NA,NA
1988-11-19,0,NA,NA
1988-11-20,0,NA,NA
1988-11-21,0,NA,NA
1988-11-22,0,NA,NA
1988-11-23,0,NA,NA
1988-11-24,0,NA,NA
1988-11-25,0,NA,NA
1988-11-26,0,NA,NA
1988-11-27,0,NA,NA
1988-11-28,0,NA,NA
1988-11-29,0,NA,NA
1988-11-30,0,NA,NA
1988-12-01,0,NA,NA
1988-12-02,0,NA,NA
1988-12-03,0,NA,NA
1988-12-04,0,NA,NA
1988-12-05,0,NA,NA
1988-12-06,0,NA,NA
1988-12-07,NA,NA,NA
1988-12-08,NA,NA,NA
1988-12-09,NA,NA,NA
1988-12-10,NA,NA,NA
1988-12-11,NA,NA,NA
1988-12-12,0,NA,NA
1988-12-13,0,NA,NA
1988-12-14,NA,NA,NA
1988-12-15,0,NA,NA
1988-12-16,0,NA,NA
1988-12-17,0,NA,NA
1988-12-18,0,NA,NA
1988-12-19,0,NA,NA
1988-12-20,0,NA,NA
1988-12-21,0,NA,NA
1988-12-22,NA,NA,NA
1988-12-23,NA,NA,NA
1988-12-24,NA,NA,NA
1988-12-25,0,NA,NA
1988-12-26,0,NA,NA
1988-12-27,NA,NA,NA
1988-12-28,NA,NA,NA
1988-12-29,0,NA,NA
1988-12-30,NA,NA,NA
1988-12-31,NA,NA,NA
1989-01-01,117,NA,NA
1989-01-02,NA,NA,NA
1989-01-03,NA,NA,NA
1989-01-04,NA,NA,NA
1989-01-05,NA,NA,NA
1989-01-06,NA,NA,NA
1989-01-07,NA,NA,NA
1989-01-08,NA,NA,NA
1989-01-09,NA,NA,NA
1989-01-10,NA,NA,NA
1989-01-11,118,NA,NA
1989-01-12,117,NA,NA
1989-01-13,117,NA,NA
1989-01-14,116,NA,NA
1989-01-15,115,NA,NA
1989-01-16,115,NA,NA
1989-01-17,114,NA,NA
1989-01-18,114,NA,NA
1989-01-19,114,NA,NA
1989-01-20,114,NA,NA
1989-01-21,114,NA,NA
1989-01-22,114,NA,NA
1989-01-23,114,NA,NA
1989-01-24,NA,NA,NA
1989-01-25,NA,NA,NA
1989-01-26,113,NA,NA
1989-01-27,NA,NA,NA
1989-01-28,NA,NA,NA
1989-01-29,NA,NA,NA
1989-01-30,NA,NA,NA
1989-01-31,NA,NA,NA
1989-02-01,113,NA,NA
1989-02-02,115,NA,NA
1989-02-03,116,NA,NA
1989-02-04,138,NA,NA
1989-02-05,104,NA,NA
1989-02-06,NA,NA,NA
1989-02-07,126,NA,NA
1989-02-08,123,NA,NA
1989-02-09,124,NA,NA
1989-02-10,NA,NA,NA
1989-02-11,141,NA,NA
1989-02-12,105,NA,NA
1989-02-13,102,NA,NA
1989-02-14,100,NA,NA
1989-02-15,NA,NA,NA
1989-02-16,122,NA,NA
1989-02-17,121,NA,NA
1989-02-18,119,NA,NA
1989-02-19,119,NA,NA
1989-02-20,119,NA,NA
1989-02-21,118,NA,NA
1989-02-22,NA,NA,NA
1989-02-23,116,NA,NA
1989-02-24,NA,NA,NA
1989-02-25,NA,NA,NA
1989-02-26,NA,NA,NA
1989-02-27,114,NA,NA
1989-02-28,NA,NA,NA
1989-03-01,113,NA,NA
1989-03-02,569,NA,NA
1989-03-03,372,NA,NA
1989-03-04,134,NA,NA
1989-03-05,140,NA,NA
1989-03-06,105,NA,NA
1989-03-07,102,NA,NA
1989-03-08,100,NA,NA
1989-03-09,100,NA,NA
1989-03-10,125,NA,NA
1989-03-11,124,NA,NA
1989-03-12,NA,NA,NA
1989-03-13,124,NA,NA
1989-03-14,122,NA,NA
1989-03-15,121,NA,NA
1989-03-16,121,NA,NA
1989-03-17,121,NA,NA
1989-03-18,NA,NA,NA
1989-03-19,NA,NA,NA
1989-03-20,119,NA,NA
1989-03-21,118,NA,NA
1989-03-22,118,NA,NA
1989-03-23,118,NA,NA
1989-03-24,118,NA,NA
1989-03-25,554,NA,NA
1989-03-26,349,NA,NA
1989-03-27,140,NA,NA
1989-03-28,144,NA,NA
1989-03-29,135,NA,NA
1989-03-30,103,NA,NA
1989-03-31,NA,NA,NA
1989-04-01,99,NA,NA
1989-04-02,125,NA,NA
1989-04-03,NA,NA,NA
1989-04-04,NA,NA,NA
1989-04-05,NA,NA,NA
1989-04-06,NA,NA,NA
1989-04-07,NA,NA,NA
1989-04-08,NA,NA,NA
1989-04-09,NA,NA,NA
1989-04-10,NA,NA,NA
1989-04-11,NA,NA,NA
1989-04-12,NA,NA,NA
1989-04-13,NA,NA,NA
1989-04-14,NA,NA,NA
1989-04-15,NA,NA,NA
1989-04-16,NA,NA,NA
1989-04-17,NA,NA,NA
1989-04-18,NA,NA,NA
1989-04-19,NA,NA,NA
1989-04-20,NA,NA,NA
1989-04-21,NA,NA,NA
1989-04-22,NA,NA,NA
1989-04-23,NA,NA,NA
1989-04-24,NA,NA,NA
1989-04-25,NA,NA,NA
1989-04-26,NA,NA,NA
1989-04-27,NA,NA,NA
1989-04-28,NA,NA,NA
1989-04-29,NA,NA,NA
1989-04-30,NA,NA,NA
1989-05-01,NA,NA,NA
1989-05-02,NA,NA,NA
1989-05-03,111,NA,NA
1989-05-04,110,NA,NA
1989-05-05,109,NA,NA
1989-05-06,108,NA,NA
1989-05-07,NA,NA,NA
1989-05-08,106,NA,NA
1989-05-09,107,NA,NA
1989-05-10,NA,NA,NA
1989-05-11,NA,NA,NA
1989-05-12,NA,NA,NA
1989-05-13,NA,NA,NA
1989-05-14,NA,NA,NA
1989-05-15,NA,NA,NA
1989-05-16,NA,NA,NA
1989-05-17,NA,NA,NA
1989-05-18,NA,NA,NA
1989-05-19,NA,NA,NA
1989-05-20,NA,NA,NA
1989-05-21,NA,NA,NA
1989-05-22,NA,NA,NA
1989-05-23,99,NA,NA
1989-05-24,75,NA,NA
1989-05-25,NA,NA,NA
1989-05-26,NA,NA,NA
1989-05-27,NA,NA,NA
1989-05-28,NA,NA,NA
1989-05-29,NA,NA,NA
1989-05-30,NA,NA,NA
1989-05-31,NA,NA,NA
