date,s_af,i_cfs,r_cfs
2004-06-02,15078,NA,NA
2004-06-03,15087,NA,NA
2004-06-04,15158,NA,NA
2004-06-05,15205,NA,NA
2004-06-06,15264,NA,NA
2004-06-07,15328,NA,NA
2004-06-08,15392,NA,NA
2004-06-08,NA,NA,NA
2004-06-09,NA,NA,NA
2004-06-10,NA,NA,NA
2004-06-11,NA,NA,NA
2004-06-12,NA,NA,NA
2004-06-13,NA,NA,NA
2004-06-14,NA,NA,NA
2004-06-15,NA,NA,NA
2004-06-16,NA,NA,NA
2004-06-17,NA,NA,NA
2004-06-18,NA,NA,NA
2004-06-19,NA,NA,NA
2004-06-20,NA,NA,NA
2004-06-21,NA,NA,NA
2004-06-22,NA,NA,NA
2004-06-23,NA,NA,NA
2004-06-24,NA,NA,NA
2004-06-25,NA,NA,NA
2004-06-26,NA,NA,NA
2004-06-27,NA,NA,NA
2004-06-28,NA,NA,NA
2004-06-29,NA,NA,NA
2004-06-30,NA,NA,NA
2004-07-01,NA,NA,NA
2004-07-02,NA,NA,NA
2004-07-03,NA,NA,NA
2004-07-04,NA,NA,NA
2004-07-05,NA,NA,NA
2004-07-06,NA,NA,NA
2004-07-07,NA,NA,NA
2004-07-08,NA,NA,NA
2004-07-09,NA,NA,NA
2004-07-10,NA,NA,NA
2004-07-11,NA,NA,NA
2004-07-12,NA,NA,NA
2004-07-13,NA,NA,NA
2004-07-14,NA,NA,NA
2004-07-15,NA,NA,NA
2004-07-16,NA,NA,NA
2004-07-17,NA,NA,NA
2004-07-18,NA,NA,NA
2004-07-19,NA,NA,NA
2004-07-20,NA,NA,NA
2004-07-21,NA,NA,NA
2004-07-22,NA,NA,NA
2004-07-23,NA,NA,NA
2004-07-24,NA,NA,NA
2004-07-25,NA,NA,NA
2004-07-26,NA,NA,NA
2004-07-27,NA,NA,NA
2004-07-28,NA,NA,NA
2004-07-29,NA,NA,NA
2004-07-30,NA,NA,NA
2004-07-31,NA,NA,NA
2004-08-01,NA,NA,NA
2004-08-02,NA,NA,NA
2004-08-03,NA,NA,NA
2004-08-04,NA,NA,NA
2004-08-05,NA,NA,NA
2004-08-06,NA,NA,NA
2004-08-07,12181,NA,NA
2004-08-08,12056,NA,NA
2004-08-09,11924,NA,NA
2004-08-10,11790,NA,NA
2004-08-11,11657,NA,NA
2004-08-12,11522,NA,NA
2004-08-13,11391,NA,NA
2004-08-14,11262,NA,NA
2004-08-15,11130,NA,NA
2004-08-16,11003,NA,NA
2004-08-17,10870,NA,NA
2004-08-18,10741,NA,NA
2004-08-19,10611,NA,NA
2004-08-20,10481,NA,NA
2004-08-21,10350,NA,NA
2004-08-22,10217,NA,NA
2004-08-23,10085,NA,NA
2004-08-24,9929,NA,NA
2004-08-25,9736,NA,NA
2004-08-26,9542,NA,NA
2004-08-27,9351,NA,NA
2004-08-28,9157,NA,NA
2004-08-29,8954,NA,NA
2004-08-30,8754,NA,NA
2004-08-31,8552,NA,NA
2004-09-01,8348,NA,NA
2004-09-02,8136,NA,NA
2004-09-03,7926,NA,NA
2004-09-04,7711,NA,NA
2004-09-05,7505,NA,NA
2004-09-06,7298,NA,NA
2004-09-07,7092,NA,NA
2004-09-08,6845,NA,NA
2004-09-09,6638,NA,NA
2004-09-10,6423,NA,NA
2004-09-11,6215,NA,NA
2004-09-12,6013,NA,NA
2004-09-13,5807,NA,NA
2004-09-14,5607,NA,NA
2004-09-15,5411,NA,NA
2004-09-16,5212,NA,NA
2004-09-17,5060,NA,NA
2004-09-18,4955,NA,NA
2004-09-19,4854,NA,NA
2004-09-20,4758,NA,NA
2004-09-21,4697,NA,NA
2004-09-22,4687,NA,NA
2004-09-23,4683,NA,NA
2004-09-24,4681,NA,NA
2004-09-25,4675,NA,NA
2004-09-26,4670,NA,NA
2004-09-27,4664,NA,NA
2004-09-28,4656,NA,NA
2004-09-29,4650,NA,NA
2004-09-30,4649,NA,NA
2004-10-01,4643,NA,NA
2004-10-02,4639,NA,NA
2004-10-03,4633,NA,NA
2004-10-04,4629,NA,NA
2004-10-05,4626,NA,NA
2004-10-06,4622,NA,NA
2004-10-07,4618,NA,NA
2004-10-08,4612,NA,NA
2004-10-09,4606,NA,NA
2004-10-10,4603,NA,NA
2004-10-11,4595,NA,NA
2004-10-12,4589,NA,NA
2004-10-13,4586,NA,NA
2004-10-14,4586,NA,NA
2004-10-15,4586,NA,NA
2004-10-16,4586,NA,NA
2004-10-17,4584,NA,NA
2004-10-18,4608,NA,NA
2004-10-19,4645,NA,NA
2004-10-20,4698,NA,NA
2004-10-21,4724,NA,NA
2004-10-22,4675,NA,NA
2004-10-23,4643,NA,NA
2004-10-24,4645,NA,NA
2004-10-25,4647,NA,NA
2004-10-26,4647,NA,NA
