date,s_af,i_cfs,r_cfs
2007-04-30,166770,NA,NA
2007-05-28,165118,NA,NA
2007-05-29,164409,NA,NA
2007-05-30,162559,NA,NA
2007-05-31,161345,NA,NA
2007-06-01,162333,NA,NA
2007-06-02,162296,NA,NA
2007-06-03,162546,NA,NA
2007-06-04,161733,NA,NA
2007-06-05,161795,NA,NA
2007-06-06,160897,NA,NA
2007-06-07,158973,NA,NA
2007-06-08,155854,NA,NA
2007-06-09,158011,NA,NA
2007-06-10,160897,NA,NA
2007-06-11,159803,NA,NA
2007-06-12,159072,NA,NA
2007-06-13,159072,NA,NA
2007-06-14,157175,NA,NA
2007-06-15,155964,NA,NA
2007-06-16,157212,NA,NA
2007-06-17,161520,NA,NA
2007-06-18,160822,NA,NA
2007-06-19,160275,NA,NA
2007-06-20,159939,NA,NA
2007-06-21,159184,NA,NA
2007-06-22,158665,NA,NA
2007-06-23,160635,NA,NA
2007-06-24,163778,NA,NA
2007-06-25,163363,NA,NA
2007-07-02,162571,NA,NA
2007-07-03,159815,NA,NA
2007-07-04,160735,NA,NA
2007-07-05,160001,NA,NA
2007-07-06,157802,NA,NA
2007-07-07,158726,NA,NA
2007-07-08,163476,NA,NA
2007-07-09,163338,NA,NA
2007-07-10,163816,NA,NA
2007-07-11,161733,NA,NA
2007-07-12,160275,NA,NA
2007-07-13,158294,NA,NA
2007-07-14,159035,NA,NA
2007-07-15,162283,NA,NA
2007-07-16,162810,NA,NA
2007-07-17,163136,NA,NA
2007-07-18,163136,NA,NA
2007-07-19,160312,NA,NA
2007-07-20,159728,NA,NA
2007-07-21,161470,NA,NA
2007-07-22,163929,NA,NA
2007-08-01,160088,NA,NA
2007-08-02,159456,NA,NA
2007-08-03,157827,NA,NA
2007-08-04,158986,NA,NA
2007-08-05,163048,NA,NA
2007-08-06,161558,NA,NA
2007-08-07,163099,NA,NA
2007-08-08,163665,NA,NA
2007-08-09,163262,NA,NA
2007-08-10,162321,NA,NA
2007-08-11,163514,NA,NA
2007-08-12,166260,NA,NA
2007-08-13,165447,NA,NA
2007-08-14,164068,NA,NA
2007-08-15,163728,NA,NA
2007-08-16,163023,NA,NA
2007-08-17,161009,NA,NA
2007-08-18,161308,NA,NA
2007-08-19,163929,NA,NA
2007-08-20,162446,NA,NA
2007-08-21,162810,NA,NA
2007-08-22,161995,NA,NA
2007-08-23,160237,NA,NA
2007-08-24,158184,NA,NA
2007-08-25,161483,NA,NA
2007-08-26,163073,NA,NA
2007-08-27,163993,NA,NA
2007-08-28,162584,NA,NA
2007-08-29,161358,NA,NA
2007-08-30,159456,NA,NA
2007-08-31,159060,NA,NA
2007-09-01,161021,NA,NA
2007-09-02,164030,NA,NA
2007-09-03,165358,NA,NA
2007-09-04,166082,NA,NA
2007-09-05,165080,NA,NA
2007-09-06,161995,NA,NA
2007-09-07,161158,NA,NA
2007-09-08,163665,NA,NA
2007-09-09,166019,NA,NA
2007-09-10,165930,NA,NA
2007-09-11,166159,NA,NA
2007-09-12,166082,NA,NA
2007-09-13,168061,NA,NA
2007-09-14,163665,NA,NA
2007-09-15,163577,NA,NA
2007-09-16,165904,NA,NA
2007-09-17,165219,NA,NA
2007-09-18,165828,NA,NA
2007-09-19,165016,NA,NA
2007-09-20,163300,NA,NA
2007-09-21,162008,NA,NA
2007-09-22,163073,NA,NA
2007-09-23,167179,NA,NA
2007-09-24,166388,NA,NA
2007-09-25,166464,NA,NA
2007-09-26,165536,NA,NA
2007-09-27,164877,NA,NA
2007-09-28,163753,NA,NA
2007-09-29,164675,NA,NA
2007-09-30,166159,NA,NA
2007-10-01,165574,NA,NA
2007-10-02,163187,NA,NA
2007-10-03,161483,NA,NA
2007-10-04,159803,NA,NA
2007-10-05,160685,NA,NA
2007-10-06,161570,NA,NA
2007-10-07,162371,NA,NA
2007-10-08,161820,NA,NA
2007-10-09,160685,NA,NA
2007-10-10,160138,NA,NA
2007-10-11,159766,NA,NA
2007-10-12,159691,NA,NA
2007-10-13,162496,NA,NA
2007-10-14,163224,NA,NA
2007-10-15,163300,NA,NA
2007-10-16,162747,NA,NA
2007-10-17,164447,NA,NA
2007-10-18,161970,NA,NA
2007-10-19,160747,NA,NA
2007-10-20,162596,NA,NA
2007-10-21,162935,NA,NA
2007-10-22,165942,NA,NA
2007-10-23,165333,NA,NA
2007-10-24,163993,NA,NA
2007-10-25,161970,NA,NA
2007-10-26,160859,NA,NA
2007-10-27,161795,NA,NA
2007-10-28,163136,NA,NA
2007-10-29,160685,NA,NA
2007-10-30,160026,NA,NA
2007-10-31,157581,NA,NA
2007-11-01,157556,NA,NA
2007-11-02,156074,NA,NA
2007-11-03,156208,NA,NA
2007-11-04,156575,NA,NA
2007-11-05,156783,NA,NA
2007-11-06,156783,NA,NA
2007-11-07,156612,NA,NA
2007-11-08,156379,NA,NA
2007-11-09,156257,NA,NA
2007-11-10,156037,NA,NA
2007-11-11,158455,NA,NA
2007-11-12,159728,NA,NA
2007-11-13,159245,NA,NA
2007-11-14,158949,NA,NA
2007-11-15,156465,NA,NA
2007-11-16,155988,NA,NA
2007-11-17,157470,NA,NA
2007-11-18,159245,NA,NA
2007-11-19,158899,NA,NA
2007-11-20,158097,NA,NA
2007-11-21,159184,NA,NA
2007-11-22,159840,NA,NA
2007-11-23,159406,NA,NA
2007-11-24,158665,NA,NA
2007-11-25,157876,NA,NA
2007-11-26,157004,NA,NA
2007-11-27,157298,NA,NA
2007-11-28,156465,NA,NA
2007-11-29,156575,NA,NA
2007-11-30,155354,NA,NA
2007-12-01,157126,NA,NA
2007-12-02,159543,NA,NA
2007-12-03,160585,NA,NA
2007-12-04,161083,NA,NA
2007-12-05,161383,NA,NA
2007-12-06,161458,NA,NA
2007-12-07,161345,NA,NA
2007-12-08,163048,NA,NA
2007-12-09,163476,NA,NA
2007-12-10,162158,NA,NA
2007-12-11,162948,NA,NA
2007-12-12,162672,NA,NA
2007-12-13,161758,NA,NA
2007-12-14,162333,NA,NA
2007-12-15,162496,NA,NA
2007-12-16,162571,NA,NA
2007-12-17,161570,NA,NA
2007-12-18,160834,NA,NA
2007-12-19,160250,NA,NA
2007-12-20,160188,NA,NA
