date,s_af,i_cfs,r_cfs
2015-10-01,NA,NA,NA
2015-10-02,NA,NA,NA
2015-10-03,NA,NA,NA
2015-10-04,NA,NA,NA
2015-10-05,NA,NA,NA
2015-10-06,NA,NA,NA
2015-10-07,NA,NA,NA
2015-10-08,NA,NA,NA
2015-10-09,NA,NA,NA
2015-10-10,NA,NA,NA
2015-10-11,NA,NA,NA
2015-10-12,NA,NA,NA
2015-10-13,NA,NA,NA
2015-10-14,NA,NA,NA
2015-10-15,NA,NA,NA
2015-10-16,NA,NA,NA
2015-10-17,NA,NA,NA
2015-10-18,NA,NA,NA
2015-10-19,NA,NA,NA
2015-10-20,NA,NA,NA
2015-10-21,NA,NA,NA
2015-10-22,NA,NA,NA
2015-10-23,NA,NA,NA
2015-10-24,NA,NA,NA
2015-10-25,NA,NA,NA
2015-10-26,NA,NA,NA
2015-10-27,NA,NA,NA
2015-10-28,NA,NA,NA
2015-10-29,NA,NA,NA
2015-10-30,NA,NA,NA
2015-10-31,NA,NA,NA
2015-11-01,NA,NA,NA
2015-11-02,NA,NA,NA
2015-11-03,NA,NA,NA
2015-11-04,NA,NA,NA
2015-11-05,NA,NA,NA
2015-11-06,NA,NA,NA
2015-11-07,NA,NA,NA
2015-11-08,NA,NA,NA
2015-11-09,NA,NA,NA
2015-11-10,NA,NA,NA
2015-11-11,NA,NA,NA
2015-11-12,NA,NA,NA
2015-11-13,NA,NA,NA
2015-11-14,NA,NA,NA
2015-11-15,NA,NA,NA
2015-11-16,NA,NA,NA
2015-11-17,NA,NA,NA
2015-11-18,NA,NA,NA
2015-11-19,NA,NA,NA
2015-11-20,NA,NA,NA
2015-11-21,NA,NA,NA
2015-11-22,NA,NA,NA
2015-11-23,NA,NA,NA
2015-11-24,NA,NA,NA
2015-11-25,NA,NA,NA
2015-11-26,NA,NA,NA
2015-11-27,NA,NA,NA
2015-11-28,NA,NA,NA
2015-11-29,NA,NA,NA
2015-11-30,NA,NA,NA
2015-12-01,NA,NA,NA
2015-12-02,NA,NA,NA
2015-12-03,NA,NA,NA
2015-12-04,NA,NA,NA
2015-12-05,NA,NA,NA
2015-12-06,NA,NA,NA
2015-12-07,NA,NA,NA
2015-12-08,NA,NA,NA
2015-12-09,NA,NA,NA
2015-12-10,NA,NA,NA
2015-12-11,NA,NA,NA
2015-12-12,NA,NA,NA
2015-12-13,NA,NA,NA
2015-12-14,NA,NA,NA
2015-12-15,NA,NA,NA
2015-12-16,NA,NA,NA
2015-12-17,NA,NA,NA
2015-12-18,NA,NA,NA
2015-12-19,NA,NA,NA
2015-12-20,NA,NA,NA
2015-12-21,NA,NA,NA
2015-12-22,NA,NA,NA
2015-12-23,NA,NA,NA
2015-12-24,NA,NA,NA
2015-12-26,15583,NA,NA
2015-12-27,47991,NA,NA
2015-12-28,48035,NA,NA
2015-12-29,48075,NA,NA
2015-12-30,48079,NA,NA
2015-12-31,48014,NA,NA
2016-01-01,47983,NA,NA
2016-01-02,47984,NA,NA
2016-01-03,47990,NA,NA
2016-01-04,47984,NA,NA
2016-01-05,47928,NA,NA
2016-01-06,47919,NA,NA
2016-01-07,48135,NA,NA
2016-01-08,48168,NA,NA
2016-01-09,48123,NA,NA
2016-01-10,-9244,NA,NA
2016-01-11,47771,NA,NA
2016-01-12,47627,NA,NA
2016-01-13,47568,NA,NA
2016-01-14,47466,NA,NA
2016-01-15,47359,NA,NA
2016-01-16,47316,NA,NA
2016-01-17,47324,NA,NA
2016-01-18,47364,NA,NA
2016-01-19,47676,NA,NA
2016-01-20,48121,NA,NA
2016-01-21,48220,NA,NA
2016-01-22,-9268,NA,NA
2016-01-23,48437,NA,NA
2016-01-24,48530,NA,NA
2016-01-25,48616,NA,NA
2016-01-26,48641,NA,NA
2016-01-27,48685,NA,NA
2016-01-28,48663,NA,NA
2016-01-29,-9277,NA,NA
2016-01-30,-9278,NA,NA
2016-01-31,48591,NA,NA
2016-02-01,48450,NA,NA
2016-02-02,48378,NA,NA
2016-02-03,48393,NA,NA
2016-02-04,48223,NA,NA
2016-02-05,48106,NA,NA
2016-02-06,48047,NA,NA
2016-02-07,47849,NA,NA
2016-02-08,47690,NA,NA
2016-02-09,47592,NA,NA
2016-02-10,47594,NA,NA
2016-02-11,47263,NA,NA
2016-02-12,46894,NA,NA
2016-02-13,46803,NA,NA
2016-02-14,46630,NA,NA
2016-02-15,46551,NA,NA
2016-02-16,46419,NA,NA
2016-02-17,46305,NA,NA
2016-02-18,46348,NA,NA
2016-02-19,46364,NA,NA
2016-02-20,46362,NA,NA
2016-02-21,46344,NA,NA
2016-02-22,46243,NA,NA
