date,s_af,i_cfs,r_cfs
1985-01-01,1543200,NA,NA
1985-01-02,NA,NA,NA
1985-01-03,NA,NA,NA
1985-01-04,NA,NA,NA
1985-01-05,NA,NA,NA
1985-01-06,NA,NA,NA
1985-01-07,NA,NA,NA
1985-01-08,NA,NA,NA
1985-01-09,NA,NA,NA
1985-01-10,NA,NA,NA
1985-01-11,NA,NA,NA
1985-01-12,NA,NA,NA
1985-01-13,NA,NA,NA
1985-01-14,NA,NA,NA
1985-01-15,NA,NA,NA
1985-01-16,NA,NA,NA
1985-01-17,NA,NA,NA
1985-01-18,NA,NA,NA
1985-01-19,NA,NA,NA
1985-01-20,NA,NA,NA
1985-01-21,NA,NA,NA
1985-01-22,NA,NA,NA
1985-01-23,NA,NA,NA
1985-01-24,NA,NA,NA
1985-01-25,NA,NA,NA
1985-01-26,NA,NA,NA
1985-01-27,NA,NA,NA
1985-01-28,NA,NA,NA
1985-01-29,NA,NA,NA
1985-01-30,NA,NA,NA
1985-01-31,NA,NA,NA
1985-02-01,NA,NA,NA
1985-02-02,NA,NA,NA
1985-02-03,NA,NA,NA
1985-02-04,NA,NA,NA
1985-02-05,NA,NA,NA
1985-02-06,NA,NA,NA
1985-02-07,NA,NA,NA
1985-02-08,NA,NA,NA
1985-02-09,NA,NA,NA
1985-02-10,NA,NA,NA
1985-02-11,NA,NA,NA
1985-02-12,169000,NA,NA
1985-02-13,174000,NA,NA
1985-02-14,179800,NA,NA
1985-02-15,NA,NA,NA
1985-02-16,NA,NA,NA
1985-02-17,NA,NA,NA
1985-02-18,203500,NA,NA
1985-02-19,210800,NA,NA
1985-02-20,216500,NA,NA
1985-02-21,218900,NA,NA
1985-02-22,NA,NA,NA
1985-02-23,NA,NA,NA
1985-02-24,228700,NA,NA
1985-02-25,232000,NA,NA
1985-02-26,235300,NA,NA
1985-02-27,237500,NA,NA
1985-02-28,240400,NA,NA
1985-03-01,NA,NA,NA
1985-03-02,NA,NA,NA
1985-03-03,253300,NA,NA
1985-03-04,257100,NA,NA
1985-03-05,262600,NA,NA
1985-03-06,269800,NA,NA
1985-03-07,277300,NA,NA
1985-03-08,NA,NA,NA
1985-03-09,NA,NA,NA
1985-03-10,287400,NA,NA
1985-03-11,292000,NA,NA
1985-03-12,297100,NA,NA
1985-03-13,303600,NA,NA
1985-03-14,310800,NA,NA
1985-03-15,NA,NA,NA
1985-03-16,NA,NA,NA
1985-03-17,NA,NA,NA
1985-03-18,332800,NA,NA
1985-03-19,339400,NA,NA
1985-03-20,384300,NA,NA
1985-03-21,365000,NA,NA
1985-03-22,NA,NA,NA
1985-03-23,NA,NA,NA
1985-03-24,386000,NA,NA
1985-03-25,394600,NA,NA
1985-03-26,409100,NA,NA
1985-03-27,NA,NA,NA
1985-03-28,420000,NA,NA
1985-03-29,NA,NA,NA
1985-03-30,NA,NA,NA
1985-03-31,445500,NA,NA
1985-04-01,455200,NA,NA
1985-04-02,465200,NA,NA
1985-04-03,475900,NA,NA
1985-04-04,487400,NA,NA
1985-04-05,NA,NA,NA
1985-04-06,NA,NA,NA
1985-04-07,521400,NA,NA
1985-04-08,533500,NA,NA
1985-04-09,542100,NA,NA
1985-04-10,550500,NA,NA
1985-04-11,559800,NA,NA
1985-04-12,NA,NA,NA
1985-04-13,NA,NA,NA
1985-04-14,580700,NA,NA
1985-04-15,583500,NA,NA
1985-04-16,584800,NA,NA
1985-04-17,588600,NA,NA
1985-04-18,592700,NA,NA
1985-04-19,NA,NA,NA
1985-04-20,NA,NA,NA
1985-04-21,NA,NA,NA
1985-04-22,594800,NA,NA
1985-04-23,593200,NA,NA
1985-04-24,592200,NA,NA
1985-04-25,590900,NA,NA
1985-04-26,NA,NA,NA
1985-04-27,NA,NA,NA
1985-04-28,571600,NA,NA
1985-04-29,569500,NA,NA
1985-04-30,546900,NA,NA
1985-05-01,539600,NA,NA
1985-05-02,532200,NA,NA
1985-05-03,NA,NA,NA
1985-05-04,NA,NA,NA
1985-05-05,512300,NA,NA
1985-05-06,510000,NA,NA
1985-05-07,497700,NA,NA
1985-05-08,487400,NA,NA
1985-05-09,475700,NA,NA
1985-05-10,NA,NA,NA
1985-05-11,NA,NA,NA
1985-05-12,447500,NA,NA
1985-05-13,440300,NA,NA
1985-05-14,433900,NA,NA
1985-05-15,404500,NA,NA
1985-05-16,382300,NA,NA
1985-05-17,NA,NA,NA
1985-05-18,NA,NA,NA
1985-05-19,362300,NA,NA
1985-05-20,352800,NA,NA
1985-05-21,342100,NA,NA
1985-05-22,332600,NA,NA
1985-05-23,326000,NA,NA
1985-05-24,NA,NA,NA
1985-05-25,NA,NA,NA
1985-05-26,NA,NA,NA
1985-05-27,281900,NA,NA
1985-05-28,275900,NA,NA
1985-05-29,268900,NA,NA
