date,s_af,i_cfs,r_cfs
1988-07-24,14708,NA,NA
1988-07-25,14886,NA,NA
1988-07-26,14952,NA,NA
1988-07-27,14828,NA,NA
1988-07-28,14862,NA,NA
1988-07-29,14916,NA,NA
1988-07-30,14806,NA,NA
1988-07-31,14692,NA,NA
1988-08-01,14692,NA,NA
1988-08-02,NA,NA,NA
1988-08-03,NA,NA,NA
1988-08-04,NA,NA,NA
1988-08-05,NA,NA,NA
1988-08-06,NA,NA,NA
1988-08-07,NA,NA,NA
1988-08-08,NA,NA,NA
1988-08-09,NA,NA,NA
1988-08-10,NA,NA,NA
1988-08-11,NA,NA,NA
1988-08-12,NA,NA,NA
1988-08-13,NA,NA,NA
1988-08-14,NA,NA,NA
1988-08-15,NA,NA,NA
1988-08-16,NA,NA,NA
1988-08-17,NA,NA,NA
1988-08-18,NA,NA,NA
1988-08-19,NA,NA,NA
1988-08-20,NA,NA,NA
1988-08-21,NA,NA,NA
1988-08-22,NA,NA,NA
1988-08-23,NA,NA,NA
1988-08-24,NA,NA,NA
1988-08-25,NA,NA,NA
1988-08-26,NA,NA,NA
1988-08-27,NA,NA,NA
1988-08-28,NA,NA,NA
1988-08-29,NA,NA,NA
1988-08-30,NA,NA,NA
1988-08-31,NA,NA,NA
1988-09-01,NA,NA,NA
1988-09-02,NA,NA,NA
1988-09-03,NA,NA,NA
1988-09-04,NA,NA,NA
1988-09-05,NA,NA,NA
1988-09-06,NA,NA,NA
1988-09-07,NA,NA,NA
1988-09-08,NA,NA,NA
1988-09-09,NA,NA,NA
1988-09-10,NA,NA,NA
1988-09-11,NA,NA,NA
1988-09-12,NA,NA,NA
1988-09-13,NA,NA,NA
1988-09-14,14958,NA,NA
1988-09-15,14968,NA,NA
1988-09-16,15030,NA,NA
1988-09-17,14802,NA,NA
1988-09-18,14888,NA,NA
1988-09-19,14980,NA,NA
1988-09-20,14980,NA,NA
1988-09-21,15268,NA,NA
1988-09-22,15404,NA,NA
1988-09-23,15552,NA,NA
1988-09-24,15498,NA,NA
1988-09-25,15392,NA,NA
1988-09-26,15536,NA,NA
1988-09-27,15622,NA,NA
1988-09-28,15674,NA,NA
1988-09-29,15214,NA,NA
1988-09-30,14686,NA,NA
1988-10-01,14754,NA,NA
1988-10-02,14806,NA,NA
1988-10-03,14786,NA,NA
1988-10-04,14808,NA,NA
1988-10-05,14830,NA,NA
1988-10-06,14868,NA,NA
1988-10-07,14952,NA,NA
1988-10-08,15030,NA,NA
1988-10-09,15118,NA,NA
1988-10-10,15196,NA,NA
1988-10-11,15228,NA,NA
1988-10-12,15256,NA,NA
1988-10-13,15274,NA,NA
1988-10-14,15224,NA,NA
1988-10-15,15292,NA,NA
1988-10-16,15332,NA,NA
1988-10-17,15268,NA,NA
1988-10-18,15170,NA,NA
1988-10-19,15174,NA,NA
1988-10-20,15110,NA,NA
1988-10-21,15170,NA,NA
1988-10-22,15188,NA,NA
1988-10-23,15280,NA,NA
1988-10-24,15336,NA,NA
1988-10-25,15242,NA,NA
1988-10-26,15324,NA,NA
1988-10-27,15302,NA,NA
1988-10-28,15334,NA,NA
1988-10-29,14458,NA,NA
1988-10-30,15420,NA,NA
1988-10-31,15566,NA,NA
1988-11-01,15528,NA,NA
1988-11-02,15508,NA,NA
1988-11-03,15566,NA,NA
1988-11-04,15712,NA,NA
1988-11-05,15856,NA,NA
1988-11-06,15970,NA,NA
1988-11-07,15958,NA,NA
1988-11-08,15930,NA,NA
1988-11-09,15786,NA,NA
1988-11-10,15642,NA,NA
1988-11-11,15500,NA,NA
1988-11-12,15358,NA,NA
1988-11-13,15420,NA,NA
1988-11-14,15752,NA,NA
1988-11-15,15680,NA,NA
1988-11-16,15576,NA,NA
1988-11-17,15668,NA,NA
1988-11-18,15570,NA,NA
1988-11-19,15410,NA,NA
1988-11-20,15278,NA,NA
1988-11-21,15214,NA,NA
1988-11-22,16132,NA,NA
1988-11-23,15524,NA,NA
1988-11-24,16132,NA,NA
1988-11-25,16156,NA,NA
1988-11-26,16100,NA,NA
1988-11-27,16132,NA,NA
1988-11-28,16120,NA,NA
1988-11-29,15950,NA,NA
1988-11-30,15950,NA,NA
1988-12-01,15640,NA,NA
1988-12-02,15522,NA,NA
1988-12-03,15344,NA,NA
1988-12-04,15374,NA,NA
1988-12-05,15266,NA,NA
1988-12-06,15170,NA,NA
1988-12-07,15154,NA,NA
1988-12-08,15070,NA,NA
1988-12-09,15042,NA,NA
1988-12-10,15062,NA,NA
1988-12-11,15094,NA,NA
1988-12-12,15112,NA,NA
1988-12-13,15364,NA,NA
1988-12-14,15550,NA,NA
1988-12-15,15632,NA,NA
1988-12-16,15254,NA,NA
1988-12-17,15102,NA,NA
1988-12-18,15144,NA,NA
1988-12-19,15230,NA,NA
1988-12-20,15140,NA,NA
1988-12-21,15294,NA,NA
1988-12-22,15428,NA,NA
1988-12-23,15392,NA,NA
1988-12-24,15394,NA,NA
1988-12-25,15464,NA,NA
1988-12-26,15464,NA,NA
1988-12-27,15238,NA,NA
1988-12-28,15308,NA,NA
1988-12-29,15344,NA,NA
1988-12-30,15266,NA,NA
1988-12-31,15210,NA,NA
1989-01-01,15082,NA,NA
1989-01-02,15070,NA,NA
1989-01-03,15070,NA,NA
1989-01-04,14924,NA,NA
1989-01-05,NA,NA,NA
1989-01-06,14618,NA,NA
1989-01-07,14954,NA,NA
1989-01-08,14908,NA,NA
1989-01-09,14600,NA,NA
1989-01-10,14585,NA,NA
1989-01-11,14818,NA,NA
1989-01-12,15050,NA,NA
1989-01-13,15186,NA,NA
1989-01-14,15396,NA,NA
1989-01-15,15526,NA,NA
1989-01-16,15242,NA,NA
1989-01-17,15032,NA,NA
1989-01-18,14850,NA,NA
1989-01-19,14656,NA,NA
1989-01-20,14990,NA,NA
1989-01-21,15026,NA,NA
1989-01-22,15046,NA,NA
1989-01-23,15160,NA,NA
1989-01-24,15084,NA,NA
1989-01-25,NA,NA,NA
1989-01-26,15014,NA,NA
1989-01-27,15024,NA,NA
1989-01-28,15258,NA,NA
1989-01-29,15469,NA,NA
1989-01-30,15356,NA,NA
1989-01-31,15396,NA,NA
1989-02-01,15396,NA,NA
1989-02-02,15360,NA,NA
1989-02-03,15298,NA,NA
1989-02-04,15126,NA,NA
1989-02-05,14940,NA,NA
1989-02-06,14734,NA,NA
1989-02-07,15082,NA,NA
1989-02-08,15382,NA,NA
1989-02-09,15740,NA,NA
1989-02-10,15650,NA,NA
1989-02-11,15748,NA,NA
