date,s_af,i_cfs,r_cfs
1992-05-31,82900,NA,NA
1992-06-01,82800,NA,NA
1992-06-02,82600,NA,NA
1992-06-03,82400,NA,NA
1992-06-04,82300,NA,NA
1992-06-05,82000,NA,NA
1992-06-06,81700,NA,NA
1992-06-07,81400,NA,NA
1992-06-08,81400,NA,NA
1992-06-09,81100,NA,NA
1992-06-10,80800,NA,NA
1992-06-11,80400,NA,NA
1992-06-12,80000,NA,NA
1992-06-13,79800,NA,NA
1992-06-14,79500,NA,NA
1992-06-15,79300,NA,NA
1992-06-16,79200,NA,NA
1992-06-17,79100,NA,NA
1992-06-18,78800,NA,NA
1992-06-19,78500,NA,NA
1992-06-20,78400,NA,NA
1992-06-21,78200,NA,NA
1992-06-22,77900,NA,NA
1992-06-23,77600,NA,NA
1992-06-24,77300,NA,NA
1992-06-25,77000,NA,NA
1992-06-26,76800,NA,NA
1992-06-27,76700,NA,NA
1992-06-28,76100,NA,NA
1992-06-29,75800,NA,NA
1992-06-30,75700,NA,NA
1992-07-01,75400,NA,NA
1992-07-02,75300,NA,NA
1992-07-03,75100,NA,NA
1992-07-04,74600,NA,NA
1992-07-05,74400,NA,NA
1992-07-06,74100,NA,NA
1992-07-07,73900,NA,NA
1992-07-08,73700,NA,NA
1992-07-09,73400,NA,NA
1992-07-10,73200,NA,NA
1992-07-11,72900,NA,NA
1992-07-12,72700,NA,NA
1992-07-13,73400,NA,NA
1992-07-14,73100,NA,NA
1992-07-15,72900,NA,NA
1992-07-16,72700,NA,NA
1992-07-17,72700,NA,NA
1992-07-18,72500,NA,NA
1992-07-19,72500,NA,NA
1992-07-20,71432,NA,NA
1992-07-21,71172,NA,NA
1992-07-22,71011,NA,NA
1992-07-23,70800,NA,NA
1992-07-24,70600,NA,NA
1992-07-25,70300,NA,NA
1992-07-26,70000,NA,NA
1992-07-27,69800,NA,NA
1992-07-28,69500,NA,NA
1992-07-29,69400,NA,NA
1992-07-30,69300,NA,NA
1992-07-31,68900,NA,NA
1992-08-01,68700,NA,NA
1992-08-02,68400,NA,NA
1992-08-03,68200,NA,NA
1992-08-04,68100,NA,NA
1992-08-05,67800,NA,NA
1992-08-06,67500,NA,NA
1992-08-07,67200,NA,NA
1992-08-08,67000,NA,NA
1992-08-09,66800,NA,NA
1992-08-10,66500,NA,NA
1992-08-11,66200,NA,NA
1992-08-12,65900,NA,NA
1992-08-13,65500,NA,NA
1992-08-14,65300,NA,NA
1992-08-15,65300,NA,NA
1992-08-16,65100,NA,NA
1992-08-17,64800,NA,NA
1992-08-18,64600,NA,NA
1992-08-19,64200,NA,NA
1992-08-20,63900,NA,NA
1992-08-21,63600,NA,NA
1992-08-22,63300,NA,NA
1992-08-23,63000,NA,NA
1992-08-24,62800,NA,NA
1992-08-25,62500,NA,NA
1992-08-26,62400,NA,NA
1992-08-27,62100,NA,NA
1992-08-28,61800,NA,NA
1992-08-29,61400,NA,NA
1992-08-30,61100,NA,NA
1992-08-31,61900,NA,NA
1992-09-01,60700,NA,NA
1992-09-02,60300,NA,NA
1992-09-03,60000,NA,NA
1992-09-04,59800,NA,NA
1992-09-05,59500,NA,NA
1992-09-06,59300,NA,NA
1992-09-07,59000,NA,NA
1992-09-08,58800,NA,NA
1992-09-09,58700,NA,NA
1992-09-10,58300,NA,NA
1992-09-11,58100,NA,NA
1992-09-12,57800,NA,NA
1992-09-13,57300,NA,NA
1992-09-14,56900,NA,NA
1992-09-15,56600,NA,NA
1992-09-16,56400,NA,NA
