date,s_af,i_cfs,r_cfs
1988-08-09,162448,NA,NA
1988-08-10,162368,NA,NA
1988-08-11,161928,NA,NA
1988-08-12,161589,NA,NA
1988-08-13,161509,NA,NA
1988-08-14,161509,NA,NA
1988-08-15,160932,NA,NA
1988-08-16,160733,NA,NA
1988-08-17,160475,NA,NA
1988-08-18,160237,NA,NA
1988-08-19,159840,NA,NA
1988-08-20,159722,NA,NA
1988-08-21,159326,NA,NA
1988-08-22,158991,NA,NA
1988-08-23,158833,NA,NA
1988-08-24,158695,NA,NA
1988-08-25,158419,NA,NA
1988-08-26,158026,NA,NA
1988-08-27,157869,NA,NA
1988-08-28,157869,NA,NA
1988-08-29,157065,NA,NA
1988-08-30,156655,NA,NA
1988-08-31,156342,NA,NA
1988-09-01,156050,NA,NA
1988-09-02,155802,NA,NA
1988-09-03,155563,NA,NA
1988-09-04,155291,NA,NA
1988-09-05,155020,NA,NA
1988-09-06,154632,NA,NA
1988-09-07,154361,NA,NA
1988-09-08,154033,NA,NA
1988-09-09,153762,NA,NA
1988-09-10,153493,NA,NA
1988-09-11,153281,NA,NA
1988-09-12,152915,NA,NA
1988-09-13,152627,NA,NA
1988-09-14,152474,NA,NA
1988-09-15,152014,NA,NA
1988-09-16,151803,NA,NA
1988-09-17,151536,NA,NA
1988-09-18,151230,NA,NA
1988-09-19,150887,NA,NA
1988-09-20,150583,NA,NA
1988-09-21,150412,NA,NA
1988-09-22,149937,NA,NA
1988-09-23,149747,NA,NA
1988-09-24,149407,NA,NA
1988-09-25,149180,NA,NA
1988-09-26,149047,NA,NA
1988-09-27,149047,NA,NA
1988-09-28,NA,NA,NA
1988-09-29,148331,NA,NA
1988-09-30,148067,NA,NA
1988-10-01,147729,NA,NA
1988-10-02,147654,NA,NA
1988-10-03,147335,NA,NA
1988-10-04,147204,NA,NA
1988-10-05,146792,NA,NA
1988-10-06,146531,NA,NA
1988-10-07,146325,NA,NA
1988-10-08,146176,NA,NA
1988-10-09,145897,NA,NA
1988-10-10,145692,NA,NA
1988-10-11,145432,NA,NA
1988-10-12,145320,NA,NA
1988-10-13,145320,NA,NA
1988-10-14,NA,NA,NA
1988-10-15,NA,NA,NA
1988-10-16,NA,NA,NA
1988-10-17,NA,NA,NA
1988-10-18,NA,NA,NA
1988-10-19,NA,NA,NA
1988-10-20,NA,NA,NA
1988-10-21,NA,NA,NA
1988-10-22,NA,NA,NA
1988-10-23,NA,NA,NA
1988-10-24,142608,NA,NA
1988-10-25,142406,NA,NA
1988-10-26,142168,NA,NA
1988-10-27,141948,NA,NA
1988-10-28,141766,NA,NA
1988-10-29,141583,NA,NA
1988-10-30,141383,NA,NA
1988-10-31,141200,NA,NA
1988-11-01,140927,NA,NA
1988-11-02,140745,NA,NA
1988-11-03,140618,NA,NA
1988-11-04,140400,NA,NA
1988-11-05,140146,NA,NA
1988-11-06,139875,NA,NA
1988-11-07,139585,NA,NA
1988-11-08,139333,NA,NA
1988-11-09,139152,NA,NA
1988-11-10,139008,NA,NA
1988-11-11,138774,NA,NA
1988-11-12,138738,NA,NA
1988-11-13,138738,NA,NA
1988-11-14,138091,NA,NA
1988-11-15,137911,NA,NA
1988-11-16,137840,NA,NA
1988-11-17,137661,NA,NA
1988-11-18,137464,NA,NA
1988-11-19,137231,NA,NA
1988-11-20,136999,NA,NA
1988-11-21,136928,NA,NA
1988-11-22,137840,NA,NA
1988-11-23,139044,NA,NA
1988-11-24,139188,NA,NA
1988-11-25,139315,NA,NA
1988-11-26,139296,NA,NA
1988-11-27,139206,NA,NA
1988-11-28,139134,NA,NA
1988-11-29,138972,NA,NA
1988-11-30,138792,NA,NA
1988-12-01,138630,NA,NA
1988-12-02,138450,NA,NA
1988-12-03,138270,NA,NA
1988-12-04,138091,NA,NA
1988-12-05,137929,NA,NA
1988-12-06,137876,NA,NA
1988-12-07,137876,NA,NA
1988-12-08,NA,NA,NA
1988-12-09,NA,NA,NA
1988-12-10,NA,NA,NA
1988-12-11,NA,NA,NA
1988-12-12,136536,NA,NA
1988-12-13,136375,NA,NA
1988-12-14,136375,NA,NA
1988-12-15,135896,NA,NA
1988-12-16,135665,NA,NA
1988-12-17,135452,NA,NA
1988-12-18,135240,NA,NA
1988-12-19,135116,NA,NA
1988-12-20,135151,NA,NA
1988-12-21,135098,NA,NA
1988-12-22,136393,NA,NA
1988-12-23,136660,NA,NA
1988-12-24,137589,NA,NA
1988-12-25,138001,NA,NA
1988-12-26,138109,NA,NA
1988-12-27,138234,NA,NA
1988-12-28,138306,NA,NA
1988-12-29,138270,NA,NA
1988-12-30,138270,NA,NA
