date,s_af,i_cfs,r_cfs
1980-01-01,2540.0,nan,0.13
1980-01-02,2540.0,nan,0.11
1980-01-03,2540.0,nan,0.1
1980-01-04,2540.0,nan,0.1
1980-01-05,2530.0,nan,0.1
1980-01-06,2530.0,nan,0.1
1980-01-07,2530.0,nan,0.1
1980-01-08,2530.0,nan,0.07
1980-01-09,2520.0,nan,0.07
1980-01-10,2520.0,nan,0.07
1980-01-11,2520.0,nan,0.07
1980-01-12,2520.0,nan,0.08
1980-01-13,2520.0,nan,0.08
1980-01-14,2520.0,nan,0.08
1980-01-15,2510.0,nan,0.08
1980-01-16,2510.0,nan,0.08
1980-01-17,2510.0,nan,0.1
1980-01-18,2510.0,nan,0.1
1980-01-19,2510.0,nan,0.1
1980-01-20,2510.0,nan,0.08
1980-01-21,2510.0,nan,0.15
1980-01-22,2520.0,nan,0.54
1980-01-23,2530.0,nan,0.37
1980-01-24,2530.0,nan,0.23
1980-01-25,2530.0,nan,0.19
1980-01-26,2530.0,nan,0.15
1980-01-27,2530.0,nan,0.15
1980-01-28,2530.0,nan,0.15
1980-01-29,2530.0,nan,0.13
1980-01-30,2530.0,nan,0.13
1980-01-31,2520.0,nan,0.1
1980-02-01,2520.0,nan,0.11
1980-02-02,2520.0,nan,0.08
1980-02-03,2520.0,nan,0.08
1980-02-04,2510.0,nan,0.08
1980-02-05,2510.0,nan,0.08
1980-02-06,2510.0,nan,0.1
1980-02-07,2510.0,nan,0.11
1980-02-08,2510.0,nan,0.37
1980-02-09,2520.0,nan,0.37
1980-02-10,2520.0,nan,0.29
1980-02-11,2520.0,nan,0.29
1980-02-12,2520.0,nan,0.26
1980-02-13,2520.0,nan,0.26
1980-02-14,2520.0,nan,0.26
1980-02-15,2520.0,nan,0.23
1980-02-16,2520.0,nan,0.23
1980-02-17,2510.0,nan,0.21
1980-02-18,2510.0,nan,0.23
1980-02-19,2510.0,nan,0.17
1980-02-20,2510.0,nan,0.15
1980-02-21,2510.0,nan,0.15
1980-02-22,2500.0,nan,0.15
1980-02-23,2500.0,nan,0.15
1980-02-24,2500.0,nan,0.15
1980-02-25,2500.0,nan,0.15
1980-02-26,2490.0,nan,0.15
1980-02-27,2490.0,nan,0.13
1980-02-28,2490.0,nan,0.13
1980-02-29,2490.0,nan,0.13
1980-03-01,2480.0,nan,0.09
1980-03-02,2480.0,nan,0.08
1980-03-03,2480.0,nan,0.08
1980-03-04,2470.0,nan,0.08
1980-03-05,2470.0,nan,0.08
1980-03-06,2460.0,nan,0.08
1980-03-07,2460.0,nan,0.08
1980-03-08,2450.0,nan,0.08
1980-03-09,2450.0,nan,0.08
1980-03-10,2440.0,nan,0.08
1980-03-11,2440.0,nan,0.08
1980-03-12,2440.0,nan,0.08
1980-03-13,2440.0,nan,0.08
1980-03-14,2440.0,nan,0.08
1980-03-15,2440.0,nan,0.1
1980-03-16,2440.0,nan,0.1
1980-03-17,2430.0,nan,0.07
1980-03-18,2420.0,nan,0.07
1980-03-19,2420.0,nan,0.07
1980-03-20,2420.0,nan,0.07
1980-03-21,2420.0,nan,0.07
1980-03-22,2410.0,nan,0.06
1980-03-23,2410.0,nan,0.05
1980-03-24,2400.0,nan,0.05
1980-03-25,2400.0,nan,0.05
1980-03-26,2400.0,nan,0.05
1980-03-27,2390.0,nan,0.05
1980-03-28,2410.0,nan,0.05
1980-03-29,2400.0,nan,0.05
1980-03-30,2390.0,nan,0.05
1980-03-31,2400.0,nan,0.05
1980-04-01,2400.0,nan,0.05
1980-04-02,2400.0,nan,0.06
1980-04-03,2390.0,nan,0.06
1980-04-04,2390.0,nan,0.07
1980-04-05,2380.0,nan,0.07
1980-04-06,2380.0,nan,0.07
1980-04-07,2380.0,nan,0.08
1980-04-08,2370.0,nan,0.07
1980-04-09,2370.0,nan,0.07
1980-04-10,2360.0,nan,0.08
1980-04-11,2360.0,nan,0.08
1980-04-12,2350.0,nan,0.08
1980-04-13,2360.0,nan,0.09
1980-04-14,2350.0,nan,0.1
1980-04-15,2350.0,nan,0.1
1980-04-16,2340.0,nan,0.11
1980-04-17,2340.0,nan,0.11
1980-04-18,2330.0,nan,0.1
1980-04-19,2330.0,nan,0.1
1980-04-20,2330.0,nan,0.09
1980-04-21,2330.0,nan,0.08
1980-04-22,2320.0,nan,0.1
1980-04-23,2310.0,nan,0.1
1980-04-24,2310.0,nan,0.11
1980-04-25,2300.0,nan,0.11
1980-04-26,2300.0,nan,0.11
1980-04-27,2290.0,nan,0.13
1980-04-28,2280.0,nan,0.15
1980-04-29,2280.0,nan,0.15
1980-04-30,2270.0,nan,0.15
1980-05-01,2260.0,nan,0.16
1980-05-02,2260.0,nan,0.17
1980-05-03,2260.0,nan,0.17
1980-05-04,2260.0,nan,0.19
1980-05-05,2260.0,nan,0.19
1980-05-06,2260.0,nan,0.19
1980-05-07,2260.0,nan,0.21
1980-05-08,2280.0,nan,0.21
1980-05-09,2280.0,nan,0.21
1980-05-10,2280.0,nan,0.23
1980-05-11,2280.0,nan,0.23
1980-05-12,2270.0,nan,0.21
1980-05-13,2270.0,nan,0.2
1980-05-14,2270.0,nan,0.2
1980-05-15,2270.0,nan,0.57
1980-05-16,2310.0,nan,0.45
1980-05-17,2320.0,nan,0.32
1980-05-18,2310.0,nan,0.29
1980-05-19,2320.0,nan,0.29
1980-05-20,2320.0,nan,0.25
1980-05-21,2320.0,nan,0.31
1980-05-22,2320.0,nan,0.29
1980-05-23,2310.0,nan,0.22
1980-05-24,2310.0,nan,0.2
1980-05-25,2300.0,nan,0.18
1980-05-26,2300.0,nan,0.19
1980-05-27,2300.0,nan,3.5
1980-05-28,2430.0,nan,12.0
1980-05-29,2950.0,nan,1.1
1980-05-30,2960.0,nan,0.73
1980-05-31,2950.0,nan,0.55
1980-06-01,2950.0,nan,0.41
1980-06-02,2950.0,nan,0.38
1980-06-03,2940.0,nan,0.32
1980-06-04,2940.0,nan,0.27
1980-06-05,2930.0,nan,0.22
1980-06-06,2920.0,nan,0.2
1980-06-07,2910.0,nan,0.19
1980-06-08,2910.0,nan,0.17
1980-06-09,2900.0,nan,0.22
1980-06-10,2900.0,nan,0.2
1980-06-11,2900.0,nan,0.19
1980-06-12,2900.0,nan,0.18
1980-06-13,2890.0,nan,0.15
1980-06-14,2880.0,nan,0.13
1980-06-15,2880.0,nan,0.11
1980-06-16,2870.0,nan,0.09
1980-06-17,2860.0,nan,0.08
1980-06-18,2850.0,nan,0.07
1980-06-19,2840.0,nan,0.06
