date,s_af,i_cfs,r_cfs
1980-01-01,nan,nan,0.07
1980-01-02,nan,nan,0.08
1980-01-03,nan,nan,0.06
1980-01-04,nan,nan,0.06
1980-01-05,nan,nan,0.08
1980-01-06,nan,nan,0.09
1980-01-07,nan,nan,0.04
1980-01-08,nan,nan,0.09
1980-01-09,nan,nan,0.15
1980-01-10,nan,nan,0.18
1980-01-11,nan,nan,0.1
1980-01-12,nan,nan,0.13
1980-01-13,nan,nan,0.15
1980-01-14,nan,nan,0.17
1980-01-15,nan,nan,0.22
1980-01-16,nan,nan,0.23
1980-01-17,nan,nan,0.27
1980-01-18,nan,nan,0.36
1980-01-19,nan,nan,0.5
1980-01-20,nan,nan,1.4
1980-01-21,nan,nan,0.56
1980-01-22,nan,nan,0.31
1980-01-23,nan,nan,0.15
1980-01-24,nan,nan,0.17
1980-01-25,nan,nan,0.21
1980-01-26,nan,nan,0.15
1980-01-27,nan,nan,0.11
1980-01-28,nan,nan,0.08
1980-01-29,nan,nan,0.06
1980-01-30,nan,nan,0.05
1980-01-31,nan,nan,0.04
1980-02-01,nan,nan,0.04
1980-02-02,nan,nan,0.06
1980-02-03,nan,nan,0.1
1980-02-04,nan,nan,0.15
1980-02-05,nan,nan,0.2
1980-02-06,nan,nan,0.33
1980-02-07,nan,nan,0.93
1980-02-08,nan,nan,1.5
1980-02-09,nan,nan,1.6
1980-02-10,nan,nan,1.5
1980-02-11,nan,nan,1.3
1980-02-12,nan,nan,1.5
1980-02-13,nan,nan,1.6
1980-02-14,nan,nan,1.4
1980-02-15,nan,nan,0.9
1980-02-16,nan,nan,0.7
1980-02-17,nan,nan,0.6
1980-02-18,nan,nan,0.7
1980-02-19,nan,nan,0.8
1980-02-20,nan,nan,1.0
1980-02-21,nan,nan,0.89
1980-02-22,nan,nan,0.77
1980-02-23,nan,nan,0.45
1980-02-24,nan,nan,0.74
1980-02-25,nan,nan,0.74
1980-02-26,nan,nan,0.77
1980-02-27,nan,nan,0.61
1980-02-28,nan,nan,0.59
1980-02-29,nan,nan,0.49
1980-03-01,nan,nan,0.4
1980-03-02,nan,nan,0.33
1980-03-03,nan,nan,0.96
1980-03-04,nan,nan,0.69
1980-03-05,nan,nan,0.18
