date,s_af,i_cfs,r_cfs
1980-01-01,422800.0,nan,1140.0
1980-01-02,421500.0,nan,1100.0
1980-01-03,421700.0,nan,1040.0
1980-01-04,422200.0,nan,1020.0
1980-01-05,421700.0,nan,1010.0
1980-01-06,420700.0,nan,969.0
1980-01-07,419900.0,nan,880.0
1980-01-08,419600.0,nan,842.0
1980-01-09,419100.0,nan,811.0
1980-01-10,418300.0,nan,754.0
1980-01-11,418100.0,nan,704.0
1980-01-12,418800.0,nan,709.0
1980-01-13,417000.0,nan,689.0
1980-01-14,417000.0,nan,609.0
1980-01-15,416500.0,nan,575.0
1980-01-16,416000.0,nan,558.0
1980-01-17,417000.0,nan,573.0
1980-01-18,417000.0,nan,580.0
1980-01-19,416000.0,nan,555.0
1980-01-20,416500.0,nan,542.0
1980-01-21,418300.0,nan,607.0
1980-01-22,421500.0,nan,849.0
1980-01-23,430600.0,nan,1290.0
1980-01-24,435800.0,nan,1900.0
1980-01-25,439800.0,nan,2570.0
1980-01-26,442800.0,nan,3020.0
1980-01-27,443800.0,nan,3500.0
1980-01-28,440100.0,nan,3830.0
1980-01-29,438400.0,nan,3780.0
1980-01-30,435300.0,nan,3410.0
1980-01-31,434800.0,nan,2990.0
1980-02-01,432700.0,nan,2720.0
1980-02-02,426700.0,nan,2420.0
1980-02-03,427700.0,nan,2030.0
1980-02-04,426900.0,nan,1660.0
1980-02-05,425600.0,nan,1430.0
1980-02-06,425100.0,nan,1290.0
1980-02-07,424100.0,nan,1200.0
1980-02-08,423000.0,nan,1160.0
1980-02-09,429500.0,nan,1450.0
1980-02-10,431900.0,nan,2010.0
1980-02-11,432200.0,nan,2420.0
1980-02-12,433700.0,nan,2390.0
1980-02-13,433700.0,nan,2230.0
1980-02-14,433200.0,nan,2130.0
1980-02-15,432200.0,nan,2050.0
1980-02-16,428800.0,nan,1930.0
1980-02-17,431600.0,nan,1910.0
1980-02-18,428200.0,nan,1870.0
1980-02-19,425900.0,nan,1670.0
1980-02-20,426200.0,nan,1460.0
1980-02-21,425100.0,nan,1310.0
1980-02-22,424300.0,nan,1230.0
1980-02-23,423500.0,nan,1150.0
1980-02-24,423000.0,nan,1080.0
1980-02-25,423000.0,nan,1030.0
1980-02-26,422000.0,nan,994.0
1980-02-27,419400.0,nan,927.0
1980-02-28,419100.0,nan,820.0
1980-02-29,418800.0,nan,738.0
1980-03-01,421700.0,nan,721.0
1980-03-02,421700.0,nan,841.0
1980-03-03,416200.0,nan,865.0
1980-03-04,413900.0,nan,646.0
1980-03-05,416800.0,nan,540.0
1980-03-06,415700.0,nan,584.0
1980-03-07,414700.0,nan,522.0
1980-03-08,415500.0,nan,484.0
1980-03-09,415700.0,nan,496.0
1980-03-10,415700.0,nan,487.0
1980-03-11,415700.0,nan,475.0
1980-03-12,415700.0,nan,478.0
1980-03-13,416200.0,nan,530.0
1980-03-14,416200.0,nan,604.0
1980-03-15,416000.0,nan,538.0
1980-03-16,414900.0,nan,479.0
1980-03-17,414900.0,nan,468.0
1980-03-18,415700.0,nan,571.0
1980-03-19,415200.0,nan,513.0
1980-03-20,415200.0,nan,450.0
1980-03-21,415700.0,nan,489.0
1980-03-22,415200.0,nan,488.0
1980-03-23,413900.0,nan,422.0
1980-03-24,416500.0,nan,446.0
1980-03-25,417000.0,nan,523.0
1980-03-26,416200.0,nan,505.0
1980-03-27,416200.0,nan,483.0
1980-03-28,417500.0,nan,582.0
1980-03-29,420900.0,nan,669.0
1980-03-30,422200.0,nan,730.0
1980-03-31,422000.0,nan,795.0
1980-04-01,422200.0,nan,822.0
1980-04-02,422800.0,nan,824.0
1980-04-03,422800.0,nan,831.0
1980-04-04,424300.0,nan,850.0
1980-04-05,423000.0,nan,885.0
1980-04-06,421500.0,nan,864.0
1980-04-07,421700.0,nan,797.0
1980-04-08,420400.0,nan,739.0
1980-04-09,420400.0,nan,738.0
1980-04-10,419100.0,nan,705.0
1980-04-11,416500.0,nan,621.0
1980-04-12,421500.0,nan,824.0
1980-04-13,423500.0,nan,1360.0
1980-04-14,426900.0,nan,2120.0
1980-04-15,429300.0,nan,2350.0
1980-04-16,431400.0,nan,2180.0
1980-04-17,431400.0,nan,1910.0
1980-04-18,433700.0,nan,1760.0
1980-04-19,431900.0,nan,1700.0
1980-04-20,430600.0,nan,1650.0
1980-04-21,429000.0,nan,1560.0
1980-04-22,427500.0,nan,1450.0
1980-04-23,425400.0,nan,1310.0
1980-04-24,423800.0,nan,1200.0
1980-04-25,422500.0,nan,1090.0
1980-04-26,425900.0,nan,1040.0
1980-04-27,423800.0,nan,1050.0
1980-04-28,422500.0,nan,1030.0
1980-04-29,421500.0,nan,968.0
1980-04-30,420700.0,nan,872.0
1980-05-01,419900.0,nan,777.0
1980-05-02,420400.0,nan,731.0
1980-05-03,423300.0,nan,794.0
1980-05-04,423000.0,nan,886.0
1980-05-05,422500.0,nan,919.0
1980-05-06,421500.0,nan,857.0
1980-05-07,420700.0,nan,783.0
1980-05-08,420400.0,nan,716.0
1980-05-09,419600.0,nan,676.0
1980-05-10,418100.0,nan,616.0
1980-05-11,416800.0,nan,506.0
