date,s_af,i_cfs,r_cfs
1980-01-01,46130.0,nan,nan
1980-01-02,46130.0,nan,nan
1980-01-03,46130.0,nan,nan
1980-01-04,46130.0,nan,nan
1980-01-05,46010.0,nan,nan
1980-01-06,45970.0,nan,nan
1980-01-07,45930.0,nan,nan
1980-01-08,46010.0,nan,nan
1980-01-09,46010.0,nan,nan
1980-01-10,45930.0,nan,nan
1980-01-11,45930.0,nan,nan
1980-01-12,45930.0,nan,nan
1980-01-13,45850.0,nan,nan
1980-01-14,45820.0,nan,nan
1980-01-15,45820.0,nan,nan
1980-01-16,45740.0,nan,nan
1980-01-17,45820.0,nan,nan
1980-01-18,45820.0,nan,nan
1980-01-19,45660.0,nan,nan
1980-01-20,45820.0,nan,nan
1980-01-21,45930.0,nan,nan
1980-01-22,46200.0,nan,nan
1980-01-23,46400.0,nan,nan
1980-01-24,46280.0,nan,nan
1980-01-25,46240.0,nan,nan
1980-01-26,46240.0,nan,nan
1980-01-27,46320.0,nan,nan
1980-01-28,46160.0,nan,nan
1980-01-29,46160.0,nan,nan
1980-01-30,46130.0,nan,nan
1980-01-31,46200.0,nan,nan
1980-02-01,46050.0,nan,nan
1980-02-02,46010.0,nan,nan
1980-02-03,46010.0,nan,nan
1980-02-04,46050.0,nan,nan
1980-02-05,46090.0,nan,nan
1980-02-06,46010.0,nan,nan
1980-02-07,45850.0,nan,nan
1980-02-08,46130.0,nan,nan
1980-02-09,46440.0,nan,nan
1980-02-10,46280.0,nan,nan
1980-02-11,46130.0,nan,nan
1980-02-12,46130.0,nan,nan
1980-02-13,46050.0,nan,nan
1980-02-14,46050.0,nan,nan
1980-02-15,46050.0,nan,nan
1980-02-16,46130.0,nan,nan
1980-02-17,46050.0,nan,nan
1980-02-18,46970.0,nan,nan
1980-02-19,45930.0,nan,nan
1980-02-20,45890.0,nan,nan
1980-02-21,45930.0,nan,nan
1980-02-22,45930.0,nan,nan
1980-02-23,45970.0,nan,nan
1980-02-24,46010.0,nan,nan
1980-02-25,45890.0,nan,nan
1980-02-26,45780.0,nan,nan
1980-02-27,45700.0,nan,nan
1980-02-28,45700.0,nan,nan
1980-02-29,45660.0,nan,nan
1980-03-01,45890.0,nan,nan
1980-03-02,45510.0,nan,nan
1980-03-03,45350.0,nan,nan
1980-03-04,45320.0,nan,nan
1980-03-05,45320.0,nan,nan
1980-03-06,45240.0,nan,nan
1980-03-07,45200.0,nan,nan
1980-03-08,45240.0,nan,nan
1980-03-09,45200.0,nan,nan
1980-03-10,45160.0,nan,nan
1980-03-11,45160.0,nan,nan
1980-03-12,45120.0,nan,nan
1980-03-13,45120.0,nan,nan
1980-03-14,45050.0,nan,nan
1980-03-15,44930.0,nan,nan
1980-03-16,44860.0,nan,nan
1980-03-17,44860.0,nan,nan
1980-03-18,44820.0,nan,nan
1980-03-19,44740.0,nan,nan
1980-03-20,44670.0,nan,nan
1980-03-21,44670.0,nan,nan
1980-03-22,44590.0,nan,nan
1980-03-23,44480.0,nan,nan
1980-03-24,44590.0,nan,nan
1980-03-25,44440.0,nan,nan
1980-03-26,44360.0,nan,nan
1980-03-27,44320.0,nan,nan
1980-03-28,44590.0,nan,nan
1980-03-29,44890.0,nan,nan
1980-03-30,44890.0,nan,nan
1980-03-31,44670.0,nan,nan
1980-04-01,44510.0,nan,nan
1980-04-02,44510.0,nan,nan
1980-04-03,44480.0,nan,nan
1980-04-04,44480.0,nan,nan
1980-04-05,44400.0,nan,nan
1980-04-06,44290.0,nan,nan
1980-04-07,44250.0,nan,nan
1980-04-08,44290.0,nan,nan
1980-04-09,44210.0,nan,nan
1980-04-10,44020.0,nan,nan
1980-04-11,43910.0,nan,nan
1980-04-12,44020.0,nan,nan
1980-04-13,44290.0,nan,nan
1980-04-14,44170.0,nan,nan
1980-04-15,44170.0,nan,nan
1980-04-16,44100.0,nan,nan
1980-04-17,44020.0,nan,nan
1980-04-18,43980.0,nan,nan
1980-04-19,43950.0,nan,nan
1980-04-20,43840.0,nan,nan
1980-04-21,43800.0,nan,nan
1980-04-22,43680.0,nan,nan
1980-04-23,43650.0,nan,nan
1980-04-24,43570.0,nan,nan
1980-04-25,43540.0,nan,nan
1980-04-26,43720.0,nan,nan
1980-04-27,43720.0,nan,nan
1980-04-28,43570.0,nan,nan
1980-04-29,43500.0,nan,nan
1980-04-30,43460.0,nan,nan
1980-05-01,43420.0,nan,nan
1980-05-02,43310.0,nan,nan
1980-05-03,43280.0,nan,nan
1980-05-04,43310.0,nan,nan
1980-05-05,43240.0,nan,nan
1980-05-06,43160.0,nan,nan
1980-05-07,44100.0,nan,nan
1980-05-08,45050.0,nan,nan
1980-05-09,49960.0,nan,nan
1980-05-10,51420.0,nan,nan
1980-05-11,51750.0,nan,nan
1980-05-12,51880.0,nan,nan
1980-05-13,52220.0,nan,nan
1980-05-14,52730.0,nan,nan
1980-05-15,53800.0,nan,nan
1980-05-16,56670.0,nan,nan
1980-05-17,58750.0,nan,nan
1980-05-18,59300.0,nan,nan
1980-05-19,59670.0,nan,nan
1980-05-20,59620.0,nan,nan
1980-05-21,59670.0,nan,nan
1980-05-22,59760.0,nan,nan
1980-05-23,59720.0,nan,nan
1980-05-24,59720.0,nan,nan
1980-05-25,59720.0,nan,nan
1980-05-26,59720.0,nan,nan
1980-05-27,59720.0,nan,nan
1980-05-28,59720.0,nan,nan
1980-05-29,59620.0,nan,nan
1980-05-30,59580.0,nan,nan
1980-05-31,59480.0,nan,nan
1980-06-01,59390.0,nan,nan
1980-06-02,59120.0,nan,nan
1980-06-03,59210.0,nan,nan
1980-06-04,59120.0,nan,nan
1980-06-05,59070.0,nan,nan
1980-06-06,58890.0,nan,nan
1980-06-07,58700.0,nan,nan
1980-06-08,58750.0,nan,nan
1980-06-09,58700.0,nan,nan
1980-06-10,58660.0,nan,nan
1980-06-11,58660.0,nan,nan
1980-06-12,58520.0,nan,nan
1980-06-13,58430.0,nan,nan
1980-06-14,58250.0,nan,nan
1980-06-15,58060.0,nan,nan
