date,s_af,i_cfs,r_cfs
1980-01-01,240000.0,nan,nan
1980-01-02,237273.0,nan,nan
1980-01-03,235455.0,nan,nan
1980-01-04,232728.0,nan,nan
1980-01-05,235455.0,nan,nan
1980-01-06,237273.0,nan,nan
1980-01-07,236364.0,nan,nan
1980-01-08,234546.0,nan,nan
1980-01-09,233637.0,nan,nan
1980-01-10,231819.0,nan,nan
1980-01-11,233637.0,nan,nan
1980-01-12,245455.0,nan,nan
1980-01-13,250909.0,nan,nan
1980-01-14,247273.0,nan,nan
1980-01-15,243637.0,nan,nan
1980-01-16,240000.0,nan,nan
1980-01-17,238182.0,nan,nan
1980-01-18,248182.0,nan,nan
1980-01-19,260909.0,nan,nan
1980-01-20,266363.0,nan,nan
1980-01-21,261818.0,nan,nan
1980-01-22,258181.0,nan,nan
1980-01-23,260909.0,nan,nan
1980-01-24,258181.0,nan,nan
1980-01-25,253636.0,nan,nan
1980-01-26,258181.0,nan,nan
1980-01-27,261818.0,nan,nan
1980-01-28,259091.0,nan,nan
1980-01-29,256363.0,nan,nan
1980-01-30,253636.0,nan,nan
1980-01-31,250909.0,nan,nan
1980-02-01,250909.0,nan,nan
1980-02-02,254545.0,nan,nan
1980-02-03,258181.0,nan,nan
1980-02-04,257272.0,nan,nan
1980-02-05,255454.0,nan,nan
1980-02-06,254545.0,nan,nan
1980-02-07,253636.0,nan,nan
1980-02-08,251818.0,nan,nan
1980-02-09,259091.0,nan,nan
1980-02-10,266363.0,nan,nan
1980-02-11,269091.0,nan,nan
1980-02-12,271818.0,nan,nan
1980-02-13,271818.0,nan,nan
1980-02-14,273636.0,nan,nan
1980-02-15,274545.0,nan,nan
1980-02-16,280000.0,nan,nan
1980-02-17,285454.0,nan,nan
1980-02-18,284545.0,nan,nan
1980-02-19,283636.0,nan,nan
1980-02-20,281818.0,nan,nan
1980-02-21,280909.0,nan,nan
1980-02-22,280000.0,nan,nan
1980-02-23,282727.0,nan,nan
1980-02-24,286364.0,nan,nan
1980-02-25,283636.0,nan,nan
1980-02-26,280000.0,nan,nan
1980-02-27,277273.0,nan,nan
1980-02-28,277273.0,nan,nan
1980-02-29,278182.0,nan,nan
1980-03-01,281818.0,nan,nan
1980-03-02,283636.0,nan,nan
1980-03-03,280909.0,nan,nan
1980-03-04,280909.0,nan,nan
1980-03-05,286364.0,nan,nan
1980-03-06,293636.0,nan,nan
1980-03-07,300000.0,nan,nan
1980-03-08,344546.0,nan,nan
1980-03-09,372364.0,nan,nan
1980-03-10,379637.0,nan,nan
1980-03-11,381091.0,nan,nan
1980-03-12,397091.0,nan,nan
1980-03-13,427636.0,nan,nan
1980-03-14,442182.0,nan,nan
1980-03-15,446546.0,nan,nan
1980-03-16,445091.0,nan,nan
1980-03-17,459637.0,nan,nan
1980-03-18,493091.0,nan,nan
1980-03-19,512364.0,nan,nan
1980-03-20,532000.0,nan,nan
1980-03-21,572364.0,nan,nan
1980-03-22,595637.0,nan,nan
1980-03-23,602909.0,nan,nan
1980-03-24,607273.0,nan,nan
1980-03-25,613091.0,nan,nan
1980-03-26,613091.0,nan,nan
1980-03-27,608727.0,nan,nan
1980-03-28,620363.0,nan,nan
1980-03-29,637818.0,nan,nan
1980-03-30,637818.0,nan,nan
1980-03-31,636364.0,nan,nan
1980-04-01,633455.0,nan,nan
1980-04-02,629091.0,nan,nan
1980-04-03,624727.0,nan,nan
1980-04-04,620363.0,nan,nan
1980-04-05,616000.0,nan,nan
1980-04-06,608727.0,nan,nan
1980-04-07,602909.0,nan,nan
1980-04-08,598546.0,nan,nan
1980-04-09,592728.0,nan,nan
1980-04-10,585455.0,nan,nan
1980-04-11,579637.0,nan,nan
1980-04-12,576727.0,nan,nan
1980-04-13,588364.0,nan,nan
1980-04-14,602909.0,nan,nan
1980-04-15,611636.0,nan,nan
1980-04-16,611636.0,nan,nan
1980-04-17,607273.0,nan,nan
1980-04-18,601455.0,nan,nan
1980-04-19,595637.0,nan,nan
1980-04-20,589819.0,nan,nan
1980-04-21,582546.0,nan,nan
1980-04-22,575273.0,nan,nan
1980-04-23,568000.0,nan,nan
1980-04-24,560728.0,nan,nan
1980-04-25,552000.0,nan,nan
1980-04-26,546182.0,nan,nan
1980-04-27,535273.0,nan,nan
1980-04-28,518909.0,nan,nan
1980-04-29,506182.0,nan,nan
1980-04-30,496000.0,nan,nan
1980-05-01,487273.0,nan,nan
1980-05-02,477091.0,nan,nan
1980-05-03,468364.0,nan,nan
1980-05-04,456727.0,nan,nan
1980-05-05,446546.0,nan,nan
1980-05-06,436364.0,nan,nan
1980-05-07,424727.0,nan,nan
1980-05-08,411637.0,nan,nan
1980-05-09,401455.0,nan,nan
1980-05-10,401455.0,nan,nan
1980-05-11,405818.0,nan,nan
1980-05-12,401455.0,nan,nan
1980-05-13,395636.0,nan,nan
1980-05-14,391273.0,nan,nan
1980-05-15,386909.0,nan,nan
1980-05-16,381091.0,nan,nan
1980-05-17,388364.0,nan,nan
1980-05-18,398545.0,nan,nan
1980-05-19,402909.0,nan,nan
1980-05-20,408728.0,nan,nan
1980-05-21,407273.0,nan,nan
1980-05-22,402909.0,nan,nan
1980-05-23,404364.0,nan,nan
1980-05-24,404364.0,nan,nan
