date,s_af,i_cfs,r_cfs
1980-01-01,nan,nan,690.0
1980-01-02,nan,nan,592.0
1980-01-03,nan,nan,505.0
1980-01-04,nan,nan,461.0
1980-01-05,nan,nan,559.0
1980-01-06,nan,nan,645.0
1980-01-07,nan,nan,559.0
1980-01-08,nan,nan,492.0
1980-01-09,nan,nan,461.0
1980-01-10,nan,nan,436.0
1980-01-11,nan,nan,550.0
1980-01-12,nan,nan,5300.0
1980-01-13,nan,nan,6820.0
1980-01-14,nan,nan,5940.0
1980-01-15,nan,nan,3330.0
1980-01-16,nan,nan,2370.0
1980-01-17,nan,nan,1900.0
1980-01-18,nan,nan,1510.0
1980-01-19,nan,nan,1270.0
1980-01-20,nan,nan,1080.0
1980-01-21,nan,nan,943.0
1980-01-22,nan,nan,850.0
1980-01-23,nan,nan,773.0
1980-01-24,nan,nan,721.0
1980-01-25,nan,nan,675.0
1980-01-26,nan,nan,631.0
1980-01-27,nan,nan,587.0
1980-01-28,nan,nan,545.0
1980-01-29,nan,nan,500.0
1980-01-30,nan,nan,483.0
1980-01-31,nan,nan,465.0
1980-02-01,nan,nan,453.0
1980-02-02,nan,nan,505.0
1980-02-03,nan,nan,1110.0
1980-02-04,nan,nan,833.0
1980-02-05,nan,nan,726.0
1980-02-06,nan,nan,747.0
1980-02-07,nan,nan,660.0
1980-02-08,nan,nan,611.0
1980-02-09,nan,nan,569.0
1980-02-10,nan,nan,536.0
1980-02-11,nan,nan,509.0
1980-02-12,nan,nan,483.0
1980-02-13,nan,nan,461.0
1980-02-14,nan,nan,440.0
1980-02-15,nan,nan,427.0
1980-02-16,nan,nan,419.0
1980-02-17,nan,nan,602.0
1980-02-18,nan,nan,1830.0
1980-02-19,nan,nan,1840.0
1980-02-20,nan,nan,1410.0
1980-02-21,nan,nan,1150.0
1980-02-22,nan,nan,1030.0
1980-02-23,nan,nan,902.0
1980-02-24,nan,nan,828.0
1980-02-25,nan,nan,828.0
1980-02-26,nan,nan,1060.0
1980-02-27,nan,nan,1370.0
1980-02-28,nan,nan,1550.0
1980-02-29,nan,nan,1240.0
1980-03-01,nan,nan,1070.0
1980-03-02,nan,nan,961.0
1980-03-03,nan,nan,902.0
1980-03-04,nan,nan,822.0
1980-03-05,nan,nan,768.0
1980-03-06,nan,nan,706.0
1980-03-07,nan,nan,655.0
1980-03-08,nan,nan,611.0
1980-03-09,nan,nan,578.0
1980-03-10,nan,nan,555.0
1980-03-11,nan,nan,541.0
1980-03-12,nan,nan,505.0
1980-03-13,nan,nan,559.0
1980-03-14,nan,nan,1020.0
1980-03-15,nan,nan,779.0
1980-03-16,nan,nan,665.0
1980-03-17,nan,nan,621.0
1980-03-18,nan,nan,587.0
1980-03-19,nan,nan,532.0
1980-03-20,nan,nan,545.0
1980-03-21,nan,nan,518.0
1980-03-22,nan,nan,492.0
1980-03-23,nan,nan,478.0
1980-03-24,nan,nan,465.0
1980-03-25,nan,nan,457.0
1980-03-26,nan,nan,444.0
1980-03-27,nan,nan,440.0
1980-03-28,nan,nan,423.0
1980-03-29,nan,nan,427.0
1980-03-30,nan,nan,423.0
1980-03-31,nan,nan,419.0
1980-04-01,nan,nan,411.0
1980-04-02,nan,nan,399.0
1980-04-03,nan,nan,383.0
1980-04-04,nan,nan,399.0
1980-04-05,nan,nan,505.0
1980-04-06,nan,nan,530.0
1980-04-07,nan,nan,500.0
1980-04-08,nan,nan,520.0
1980-04-09,nan,nan,620.0
1980-04-10,nan,nan,620.0
1980-04-11,nan,nan,587.0
1980-04-12,nan,nan,597.0
1980-04-13,nan,nan,695.0
1980-04-14,nan,nan,800.0
1980-04-15,nan,nan,737.0
1980-04-16,nan,nan,737.0
1980-04-17,nan,nan,833.0
1980-04-18,nan,nan,856.0
1980-04-19,nan,nan,973.0
1980-04-20,nan,nan,1230.0
1980-04-21,nan,nan,1020.0
1980-04-22,nan,nan,833.0
1980-04-23,nan,nan,822.0
1980-04-24,nan,nan,811.0
1980-04-25,nan,nan,773.0
1980-04-26,nan,nan,795.0
1980-04-27,nan,nan,873.0
1980-04-28,nan,nan,961.0
1980-04-29,nan,nan,914.0
1980-04-30,nan,nan,795.0
1980-05-01,nan,nan,747.0
1980-05-02,nan,nan,742.0
1980-05-03,nan,nan,779.0
1980-05-04,nan,nan,839.0
1980-05-05,nan,nan,811.0
1980-05-06,nan,nan,747.0
1980-05-07,nan,nan,670.0
1980-05-08,nan,nan,636.0
1980-05-09,nan,nan,621.0
1980-05-10,nan,nan,578.0
1980-05-11,nan,nan,550.0
1980-05-12,nan,nan,541.0
1980-05-13,nan,nan,536.0
1980-05-14,nan,nan,536.0
1980-05-15,nan,nan,523.0
1980-05-16,nan,nan,500.0
1980-05-17,nan,nan,487.0
1980-05-18,nan,nan,492.0
