date,s_af,i_cfs,r_cfs
1980-01-01,3949,1760,1690
1980-01-02,3802,1680,1710
1980-01-03,3904,1640,1720
1980-01-04,3904,1710,1650
1980-01-05,3835,2020,2020
1980-01-06,3835,2320,2360
1980-01-07,4221,2090,2090
1980-01-08,3295,2630,2440
1980-01-09,3615,2570,3040
1980-01-10,4066,4040,3880
1980-01-11,4066,5390,5160
1980-01-12,4149,5600,5600
1980-01-13,3881,3880,3840
1980-01-14,3858,940,1070
1980-01-15,3858,960,970
1980-01-16,3996,5110,5110
1980-01-17,3892,6580,6510
1980-01-18,3892,8630,8680
1980-01-19,3858,9540,9540
1980-01-20,3904,9910,9930
1980-01-21,3904,10010,9990
1980-01-22,3881,8810,8810
1980-01-23,3926,5440,5450
1980-01-24,3961,5520,5500
1980-01-25,4007,5600,5590
1980-01-26,3813,5620,5600
1980-01-27,3904,2730,2830
1980-01-28,4113,3790,3740
1980-01-29,4258,5670,5570
1980-01-30,3984,5880,5800
1980-01-31,4078,5620,5760
1980-02-01,4090,3050,3010
1980-02-02,4125,1740,1730
1980-02-03,4113,1120,1100
1980-02-04,4233,1130,1130
1980-02-05,4258,1080,1020
1980-02-06,4344,1050,1040
1980-02-07,4356,1120,1080
1980-02-08,4381,1100,1090
1980-02-09,4054,1210,1200
1980-02-10,4173,1e3,1160
1980-02-11,4209,1110,1050
1980-02-12,4282,1060,1080
1980-02-13,4282,1070,1030
1980-02-14,4161,980,980
1980-02-15,4066,990,1050
1980-02-16,4019,980,1030
1980-02-17,3949,970,990
1980-02-18,3904,960,990
1980-02-19,3973,970,1e3
1980-02-20,4137,1030,1e3
1980-02-21,4066,1070,990
1980-02-22,4007,1020,1060
1980-02-23,4031,1010,1040
1980-02-24,4031,1e3,990
1980-02-25,4031,990,990
1980-02-26,4102,990,990
1980-02-27,4066,1020,980
1980-02-28,4343,1020,1040
1980-02-29,3904,1050,1060
1980-03-01,3915,970,1040
1980-03-02,3892,990,990
1980-03-03,3858,970,980
1980-03-04,4043,970,990
1980-03-05,4137,1050,950
1980-03-06,3996,1020,980
1980-03-07,4019,940,1010
1980-03-08,4043,1040,1030
1980-03-09,4019,980,960
1980-03-10,4019,960,970
1980-03-11,4113,980,990
1980-03-12,3835,1050,1e3
1980-03-13,4209,940,1080
1980-03-14,4102,1180,990
1980-03-15,3984,1e3,1060
1980-03-16,3904,970,1030
1980-03-17,4197,930,970
1980-03-18,4031,1110,960
1980-03-19,3892,950,1030
1980-03-20,4043,930,1e3
1980-03-21,3892,1030,960
1980-03-22,3904,910,990
1980-03-23,4043,990,990
1980-03-24,4113,1e3,930
1980-03-25,4006,990,960
1980-03-26,4090,950,1e3
1980-03-27,4149,1020,980
1980-03-28,4102,1020,990
1980-03-29,4078,1010,1030
1980-03-30,4102,1020,1030
1980-03-31,4054,1010,990
1980-04-01,3996,1e3,1030
1980-04-02,3996,990,1020
1980-04-03,3926,980,980
1980-04-04,3847,950,990
1980-04-05,4043,1e3,1e3
1980-04-06,4125,1090,1e3
1980-04-07,4102,1030,990
1980-04-08,4090,980,990
1980-04-09,4331,1e3,1010
1980-04-10,3813,1120,1e3
1980-04-11,3973,1e3,740
1980-04-12,4137,1060,960
1980-04-13,4307,1060,980
1980-04-14,4066,1100,1010
1980-04-15,4113,940,1060
1980-04-16,4197,1070,1040
1980-04-17,4209,1620,1580
1980-04-18,7149,2370,2360
1980-04-19,4246,2370,2400
1980-04-20,4282,2940,2890
1980-04-21,3121,2850,2940
1980-04-22,3093,1730,2310
1980-04-23,3018,2350,2360
1980-04-24,3055,2340,2380
1980-04-25,3366,2330,2310
1980-04-26,4054,2250,2100
1980-04-27,4019,2185,2015
1980-04-28,4019,2110,2110
1980-04-29,3735,1690,1830
1980-04-30,4113,1590,1400
1980-05-01,3813,1320,1470
1980-05-02,3869,1020,1e3
1980-05-03,3869,1e3,1e3
1980-05-04,3869,1e3,1e3
1980-05-05,3835,1e3,1020
1980-05-06,3869,1e3,980
1980-05-07,4019,1070,1e3
1980-05-08,3949,980,1020
1980-05-09,3892,980,1010
1980-05-10,3869,1650,1660
1980-05-11,3881,1610,1610
1980-05-12,3996,1660,1600
1980-05-13,3973,1460,1470
1980-05-14,3938,1450,1470
1980-05-15,4319,1500,1310
1980-05-16,4330,1380,1370
1980-05-17,3996,1170,1330
1980-05-18,3949,1290,1310
1980-05-19,3926,1290,1290
1980-05-20,3973,1290,1270
1980-05-21,3904,1370,1400
1980-05-22,3926,1230,1220
1980-05-23,4043,1240,1180
1980-05-24,4102,1580,1550
1980-05-25,4319,1980,1870
1980-05-26,4393,1680,1640
1980-05-27,4031,1270,1450
1980-05-28,3984,1600,1630
1980-05-29,3996,1860,1850
1980-05-30,3858,1690,1750
1980-05-31,3858,1530,1530
1980-06-01,4090,1640,1520
1980-06-02,3926,1540,1630
1980-06-03,3973,1300,1270
1980-06-04,3881,1390,1430
1980-06-05,3949,1390,1380
1980-06-06,3996,1450,1420
1980-06-07,3835,1390,1470
1980-06-08,3835,1400,1400
1980-06-09,3835,1400,1400
1980-06-10,3869,1330,1320
1980-06-11,3847,1320,1330
1980-06-12,3791,1380,1410
1980-06-13,3813,1310,1300
1980-06-14,3904,1430,1390
1980-06-15,3938,1400,1390
1980-06-16,3892,1410,1430
1980-06-17,3904,1370,1360
1980-06-18,3381,1380,1400
1980-06-19,3973,1370,1320
1980-06-20,3858,1320,1380
1980-06-21,3791,1270,1310
1980-06-22,3835,1270,1240
1980-06-23,3904,1230,1200
1980-06-24,3813,1230,1290
1980-06-25,3813,1240,1240
1980-06-26,3802,1240,1240
1980-06-27,3835,1250,1230
1980-06-28,3869,1210,1200
1980-06-29,3847,1220,1230
1980-06-30,3824,1240,1250
1980-07-01,3713,1140,1190
1980-07-02,3735,1330,1320
1980-07-03,3813,940,900
1980-07-04,3813,940,900
1980-07-05,3791,960,940
1980-07-06,3791,940,940
1980-07-07,3724,910,940
1980-07-08,3680,920,920
1980-07-09,3746,980,980
1980-07-10,3824,1030,980
1980-07-11,3824,1050,1050
1980-07-12,3824,1030,1030
1980-07-13,3892,1010,980
1980-07-14,3824,1010,1040
1980-07-15,3824,1030,1030
1980-07-16,3824,1040,1040
1980-07-17,3835,1040,1030
1980-07-18,3847,1020,1010
1980-07-19,3904,1020,1e3
1980-07-20,3904,1020,1020
1980-07-21,3813,1030,1080
1980-07-22,3881,1030,990
1980-07-23,3904,1020,1010
1980-07-24,3802,1010,1060
1980-07-25,3847,1020,1e3
1980-07-26,3926,1040,1e3
1980-07-27,3881,1e3,1030
1980-07-28,3813,1030,990
1980-07-29,3847,1020,1e3
1980-07-30,3858,1010,1e3
1980-07-31,3904,1020,1e3
1980-08-01,4258,1170,1e3
1980-08-02,4113,1010,1080
1980-08-03,4137,1020,1010
1980-08-04,4233,1040,1e3
1980-08-05,4197,1040,1060
1980-08-06,4173,1070,1080
1980-08-07,4161,1020,1030
1980-08-08,4113,1020,1040
1980-08-09,3813,850,1e3
1980-08-10,3973,1050,970
1980-08-11,3949,1030,1040
1980-08-12,3926,1050,1060
1980-08-13,3858,1040,1070
1980-08-14,3802,1040,1070
1980-08-15,3802,1350,1350
1980-08-16,3768,1340,1360
1980-08-17,3791,1350,1340
1980-08-18,3791,1350,1350
1980-08-19,3835,1420,1390
1980-08-20,3835,1400,1400
1980-08-21,3779,1390,1410
1980-08-22,3768,1390,1400
1980-08-23,3768,1380,1380
1980-08-24,3746,1360,1370
1980-08-25,3858,1340,1300
1980-08-26,3802,1430,1460
1980-08-27,3892,1470,1420
1980-08-28,3892,1430,1430
1980-08-29,3824,1480,1450
1980-08-30,3824,1440,1440
1980-08-31,3847,1450,1440
1980-09-01,3813,1440,1460
1980-09-02,3813,1780,1780
1980-09-03,3779,1780,1800
1980-09-04,3791,1780,1770
1980-09-05,3847,1790,1750
1980-09-06,3791,1790,1790
1980-09-07,4043,1830,1700
1980-09-08,3881,1820,1900
1980-09-09,3791,1810,1850
1980-09-10,3915,1910,1840
1980-09-11,3835,2250,2290
1980-09-12,3835,2260,2260
1980-09-13,3858,2230,2230
1980-09-14,3881,2260,2240
1980-09-15,4043,2320,2240
1980-09-16,3858,2420,2510
1980-09-17,3881,2460,2450
1980-09-18,3835,2430,2450
1980-09-19,3813,2470,2460
1980-09-20,4161,2660,2480
1980-09-21,4161,2450,2450
1980-09-22,3949,2410,2510
1980-09-23,3926,2430,2450
1980-09-24,3938,2410,2410
1980-09-25,3984,2450,2430
1980-09-26,4043,2450,2420
1980-09-27,4019,2390,2400
1980-09-28,4031,2460,2450
1980-09-29,4066,2450,2430
1980-09-30,4019,2390,2410
1980-10-01,3904,2370,2410
1980-10-02,4019,2400,2340
1980-10-03,4113,2480,2430
1980-10-04,4031,2420,2460
1980-10-05,4007,2420,2430
1980-10-06,4054,2440,2420
1980-10-07,3984,2440,2480
1980-10-08,4137,2380,2460
1980-10-09,3768,2450,2450
1980-10-10,3691,2120,2160
1980-10-11,3961,1970,1840
1980-10-12,3881,1850,1890
1980-10-13,3938,1960,1930
1980-10-14,3973,1990,1970
1980-10-15,3847,1830,1880
1980-10-16,3847,2e3,2e3
1980-10-17,3847,1980,1980
1980-10-18,3881,1480,1470
1980-10-19,3881,1490,1490
1980-10-20,3996,1520,1460
1980-10-21,3996,1510,1510
1980-10-22,4125,1550,1480
1980-10-23,4019,1520,1570
1980-10-24,4043,1510,1500
1980-10-25,3926,1460,1510
1980-10-27,4043,1490,1460
1980-10-28,4066,1540,1520
1980-10-29,3949,1540,1530
1980-10-30,3904,1550,1600
1980-10-31,3961,1530,1550
1980-11-01,3949,1550,1510
1980-11-02,3949,1530,1540
1980-11-03,4078,1530,1530
1980-11-04,4078,1580,1510
1980-11-05,4102,1550,1550
1980-11-06,4113,1570,1560
1980-11-07,4019,1620,1620
1980-11-08,4233,2090,2050
1980-11-09,4137,2890,2780
1980-11-10,4090,2980,3030
1980-11-11,4019,2950,2980
1980-11-12,4054,2900,2910
1980-11-13,4113,2940,2890
1980-11-14,4e3,2930,2870
1980-11-15,4319,3010,2970
1980-11-16,4090,3050,2980
1980-11-17,3961,2910,3030
1980-11-18,3996,2950,3010
1980-11-19,3973,2970,2950
1980-11-20,4043,2990,3e3
1980-11-21,4233,2990,2950
1980-11-22,3996,3060,2960
