date,s_af,i_cfs,r_cfs
1980-01-01,nan,nan,0.46
1980-01-02,nan,nan,0.5
1980-01-03,nan,nan,0.6
1980-01-04,nan,nan,0.55
1980-01-05,nan,nan,0.6
1980-01-06,nan,nan,0.6
1980-01-07,nan,nan,0.6
1980-01-08,nan,nan,0.6
1980-01-09,nan,nan,0.58
1980-01-10,nan,nan,0.59
1980-01-11,nan,nan,0.51
1980-01-12,nan,nan,0.49
1980-01-13,nan,nan,0.58
1980-01-14,nan,nan,0.53
1980-01-15,nan,nan,0.53
1980-01-16,nan,nan,0.81
1980-01-17,nan,nan,0.62
1980-01-18,nan,nan,0.6
1980-01-19,nan,nan,0.84
1980-01-20,nan,nan,0.85
1980-01-21,nan,nan,0.9
1980-01-22,nan,nan,1.4
1980-01-23,nan,nan,1.4
1980-01-24,nan,nan,1.2
1980-01-25,nan,nan,0.97
1980-01-26,nan,nan,0.85
1980-01-27,nan,nan,0.83
1980-01-28,nan,nan,0.9
1980-01-29,nan,nan,0.81
1980-01-30,nan,nan,0.79
1980-01-31,nan,nan,0.79
1980-02-01,nan,nan,0.71
1980-02-02,nan,nan,0.74
1980-02-03,nan,nan,0.71
1980-02-04,nan,nan,0.66
1980-02-05,nan,nan,0.69
1980-02-06,nan,nan,0.65
1980-02-07,nan,nan,0.68
1980-02-08,nan,nan,3.2
1980-02-09,nan,nan,1.2
1980-02-10,nan,nan,1.0
1980-02-11,nan,nan,1.0
1980-02-12,nan,nan,0.95
1980-02-13,nan,nan,0.93
1980-02-14,nan,nan,1.5
1980-02-15,nan,nan,38.0
1980-02-16,nan,nan,84.0
1980-02-17,nan,nan,20.0
1980-02-18,nan,nan,11.0
1980-02-19,nan,nan,11.0
1980-02-20,nan,nan,22.0
1980-02-21,nan,nan,29.0
1980-02-22,nan,nan,20.0
1980-02-23,nan,nan,12.0
1980-02-24,nan,nan,9.0
1980-02-25,nan,nan,7.4
1980-02-26,nan,nan,6.8
1980-02-27,nan,nan,5.5
1980-02-28,nan,nan,5.2
1980-02-29,nan,nan,4.3
1980-03-01,nan,nan,3.7
1980-03-02,nan,nan,3.1
1980-03-03,nan,nan,2.8
1980-03-04,nan,nan,3.2
1980-03-05,nan,nan,3.6
1980-03-06,nan,nan,3.1
1980-03-07,nan,nan,2.4
1980-03-08,nan,nan,2.2
1980-03-09,nan,nan,2.1
1980-03-10,nan,nan,1.7
1980-03-11,nan,nan,1.5
1980-03-12,nan,nan,56.0
1980-03-13,nan,nan,81.0
1980-03-14,nan,nan,29.0
1980-03-15,nan,nan,17.0
1980-03-16,nan,nan,12.0
1980-03-17,nan,nan,9.0
1980-03-18,nan,nan,6.8
1980-03-19,nan,nan,5.6
1980-03-20,nan,nan,5.2
1980-03-21,nan,nan,4.9
1980-03-22,nan,nan,5.9
1980-03-23,nan,nan,9.7
1980-03-24,nan,nan,80.0
1980-03-25,nan,nan,56.0
1980-03-26,nan,nan,28.0
1980-03-27,nan,nan,73.0
1980-03-28,nan,nan,178.0
1980-03-29,nan,nan,329.0
1980-03-30,nan,nan,447.0
1980-03-31,nan,nan,123.0
1980-04-01,nan,nan,40.0
1980-04-02,nan,nan,29.0
1980-04-03,nan,nan,43.0
1980-04-04,nan,nan,35.0
1980-04-05,nan,nan,23.0
1980-04-06,nan,nan,18.0
1980-04-07,nan,nan,22.0
1980-04-08,nan,nan,77.0
1980-04-09,nan,nan,86.0
1980-04-10,nan,nan,58.0
1980-04-11,nan,nan,48.0
1980-04-12,nan,nan,42.0
1980-04-13,nan,nan,35.0
1980-04-14,nan,nan,15.0
1980-04-15,nan,nan,12.0
1980-04-16,nan,nan,9.7
1980-04-17,nan,nan,8.7
1980-04-18,nan,nan,8.4
1980-04-19,nan,nan,8.4
1980-04-20,nan,nan,7.0
1980-04-21,nan,nan,5.9
1980-04-22,nan,nan,5.1
1980-04-23,nan,nan,4.8
1980-04-24,nan,nan,4.4
1980-04-25,nan,nan,4.8
1980-04-26,nan,nan,7.3
1980-04-27,nan,nan,5.9
1980-04-28,nan,nan,4.9
1980-04-29,nan,nan,4.2
1980-04-30,nan,nan,3.8
1980-05-01,nan,nan,3.5
1980-05-02,nan,nan,3.1
1980-05-03,nan,nan,2.9
1980-05-04,nan,nan,2.7
1980-05-05,nan,nan,3.2
1980-05-06,nan,nan,1.9
1980-05-07,nan,nan,1.6
1980-05-08,nan,nan,1.8
1980-05-09,nan,nan,1.5
1980-05-10,nan,nan,1.4
1980-05-11,nan,nan,1.4
1980-05-12,nan,nan,1.7
1980-05-13,nan,nan,1.5
1980-05-14,nan,nan,1.3
1980-05-15,nan,nan,1.5
1980-05-16,nan,nan,2.2
1980-05-17,nan,nan,1.6
1980-05-18,nan,nan,1.9
1980-05-19,nan,nan,1.4
1980-05-20,nan,nan,1.9
1980-05-21,nan,nan,1.9
1980-05-22,nan,nan,1.4
1980-05-23,nan,nan,0.87
1980-05-24,nan,nan,0.8
1980-05-25,nan,nan,0.75
1980-05-26,6.0,nan,0.68
1980-05-27,8.0,nan,0.31
1980-05-28,11.0,nan,0.09
1980-05-29,13.0,nan,0.1
1980-05-30,13.0,nan,0.08
1980-05-31,13.0,nan,0.07
1980-06-01,15.0,nan,0.05
1980-06-02,16.0,nan,0.06
1980-06-03,16.0,nan,0.05
1980-06-04,16.0,nan,0.02
1980-06-05,16.0,nan,0.02
1980-06-06,16.0,nan,0.01
1980-06-07,16.0,nan,0.01
1980-06-08,16.0,nan,0.01
1980-06-09,16.0,nan,0.02
1980-06-10,16.0,nan,0.01
1980-06-11,16.0,nan,0.02
1980-06-12,16.0,nan,0.02
1980-06-13,16.0,nan,0.02
1980-06-14,16.0,nan,0.02
1980-06-15,16.0,nan,0.0
1980-06-16,18.0,nan,0.03
1980-06-17,18.0,nan,0.08
1980-06-18,18.0,nan,0.07
1980-06-19,18.0,nan,0.03
1980-06-20,18.0,nan,0.03
1980-06-21,18.0,nan,0.03
1980-06-22,18.0,nan,0.03
1980-06-23,18.0,nan,0.05
1980-06-24,18.0,nan,0.04
1980-06-25,18.0,nan,0.07
1980-06-26,18.0,nan,0.05
1980-06-27,18.0,nan,0.01
1980-06-28,18.0,nan,0.0
1980-06-29,18.0,nan,0.0
1980-06-30,18.0,nan,0.05
1980-07-01,18.0,nan,0.03
1980-07-02,18.0,nan,0.01
1980-07-03,16.0,nan,0.02
1980-07-04,16.0,nan,0.02
1980-07-05,16.0,nan,0.0
1980-07-06,16.0,nan,0.0
1980-07-07,15.0,nan,0.0
1980-07-08,15.0,nan,0.0
1980-07-09,13.0,nan,0.0
1980-07-10,13.0,nan,0.0
1980-07-11,13.0,nan,0.0
1980-07-12,13.0,nan,0.0
1980-07-13,13.0,nan,0.0
1980-07-14,11.0,nan,0.0
1980-07-15,11.0,nan,0.0
1980-07-16,11.0,nan,0.0
1980-07-17,11.0,nan,0.01
1980-07-18,11.0,nan,0.0
1980-07-19,11.0,nan,0.0
1980-07-20,11.0,nan,0.0
1980-07-21,10.0,nan,0.0
1980-07-22,10.0,nan,0.0
1980-07-23,10.0,nan,0.0
1980-07-24,10.0,nan,0.0
1980-07-25,11.0,nan,0.02
1980-07-26,11.0,nan,0.25
1980-07-27,11.0,nan,0.02
1980-07-28,11.0,nan,0.0
1980-07-29,11.0,nan,0.0
1980-07-30,11.0,nan,0.0
1980-07-31,11.0,nan,0.0
1980-08-01,10.0,nan,0.0
1980-08-02,10.0,nan,0.0
1980-08-03,9.0,nan,0.02
1980-08-04,11.0,nan,0.76
1980-08-05,59.0,nan,0.04
1980-08-06,75.0,nan,0.0
1980-08-07,82.0,nan,0.0
1980-08-08,82.0,nan,0.0
1980-08-09,79.0,nan,0.0
1980-08-10,76.0,nan,0.0
1980-08-11,70.0,nan,0.0
1980-08-12,70.0,nan,0.0
1980-08-13,67.0,nan,0.0
1980-08-14,67.0,nan,0.0
1980-08-15,67.0,nan,0.0
1980-08-16,76.0,nan,0.01
1980-08-17,82.0,nan,6.0
1980-08-18,88.0,nan,0.08
1980-08-19,91.0,nan,0.01
1980-08-20,91.0,nan,0.0
1980-08-21,91.0,nan,0.01
1980-08-22,88.0,nan,0.0
1980-08-23,88.0,nan,0.0
1980-08-24,85.0,nan,0.0
1980-08-25,85.0,nan,0.0
1980-08-26,85.0,nan,0.0
1980-08-27,82.0,nan,0.0
1980-08-28,82.0,nan,0.0
1980-08-29,79.0,nan,0.0
1980-08-30,79.0,nan,0.0
1980-08-31,76.0,nan,0.0
1980-09-01,76.0,nan,0.0
1980-09-02,73.0,nan,0.0
1980-09-03,73.0,nan,0.0
1980-09-04,70.0,nan,0.0
1980-09-05,70.0,nan,0.01
1980-09-06,70.0,nan,0.04
1980-09-07,70.0,nan,0.01
1980-09-08,67.0,nan,0.0
1980-09-09,67.0,nan,0.04
1980-09-10,67.0,nan,0.05
1980-09-11,67.0,nan,0.04
1980-09-12,66.0,nan,0.03
1980-09-13,65.0,nan,0.0
1980-09-14,65.0,nan,0.02
1980-09-15,64.0,nan,0.04
1980-09-16,64.0,nan,0.01
1980-09-17,62.0,nan,0.03
1980-09-18,59.0,nan,0.01
1980-09-19,59.0,nan,0.01
1980-09-20,59.0,nan,0.0
1980-09-21,59.0,nan,0.0
1980-09-22,59.0,nan,0.0
1980-09-23,59.0,nan,0.0
1980-09-24,59.0,nan,0.0
1980-09-25,59.0,nan,0.0
1980-09-26,59.0,nan,0.0
1980-09-27,59.0,nan,0.0
1980-09-28,59.0,nan,0.06
1980-09-29,59.0,nan,0.05
1980-09-30,56.0,nan,0.04
1980-10-01,56.0,nan,0.03
1980-10-02,54.0,nan,0.0
1980-10-03,52.0,nan,0.0
1980-10-04,52.0,nan,0.02
1980-10-05,52.0,nan,0.02
1980-10-06,52.0,nan,0.02
1980-10-07,52.0,nan,0.04
1980-10-08,52.0,nan,0.04
1980-10-09,52.0,nan,0.04
1980-10-10,52.0,nan,0.03
1980-10-11,51.0,nan,0.0
1980-10-12,50.0,nan,0.0
1980-10-13,50.0,nan,0.0
1980-10-14,50.0,nan,0.0
1980-10-15,52.0,nan,2.9
1980-10-16,52.0,nan,3.4
1980-10-17,52.0,nan,3.3
1980-10-18,53.0,nan,1.6
1980-10-19,54.0,nan,0.65
1980-10-20,55.0,nan,0.36
1980-10-21,55.0,nan,0.19
1980-10-22,54.0,nan,0.07
1980-10-23,54.0,nan,0.05
1980-10-24,54.0,nan,0.06
1980-10-25,54.0,nan,0.03
1980-10-26,55.0,nan,0.02
1980-10-27,56.0,nan,1.3
1980-10-28,56.0,nan,0.9
1980-10-29,56.0,nan,0.62
1980-10-30,56.0,nan,0.46
1980-10-31,56.0,nan,0.34
1980-11-01,56.0,nan,0.25
1980-11-02,55.0,nan,0.19
1980-11-03,55.0,nan,0.11
1980-11-04,55.0,nan,0.07
1980-11-05,55.0,nan,0.04
1980-11-06,55.0,nan,0.03
1980-11-07,54.0,nan,0.02
1980-11-08,54.0,nan,0.02
1980-11-09,54.0,nan,0.02
1980-11-10,54.0,nan,0.02
1980-11-11,54.0,nan,0.02
1980-11-12,54.0,nan,0.02
1980-11-13,54.0,nan,0.02
1980-11-14,54.0,nan,0.06
1980-11-15,54.0,nan,0.03
1980-11-16,54.0,nan,0.01
1980-11-17,54.0,nan,0.0
1980-11-18,54.0,nan,0.0
1980-11-19,54.0,nan,0.0
1980-11-20,54.0,nan,0.0
1980-11-21,54.0,nan,0.0
1980-11-22,54.0,nan,0.01
1980-11-23,54.0,nan,0.04
1980-11-24,54.0,nan,0.04
1980-11-25,54.0,nan,0.02
1980-11-26,54.0,nan,0.02
1980-11-27,54.0,nan,0.02
1980-11-28,54.0,nan,0.03
1980-11-29,54.0,nan,0.03
1980-11-30,54.0,nan,0.03
1980-12-01,54.0,nan,0.03
1980-12-02,54.0,nan,0.03
1980-12-03,54.0,nan,0.03
1980-12-04,54.0,nan,0.04
1980-12-05,54.0,nan,0.04
1980-12-06,54.0,nan,0.05
1980-12-07,59.0,nan,0.0
1980-12-08,61.0,nan,0.0
1980-12-09,61.0,nan,0.0
1980-12-10,61.0,nan,0.0
1980-12-11,61.0,nan,0.0
1980-12-12,61.0,nan,0.0
1980-12-13,61.0,nan,0.0
1980-12-14,60.0,nan,0.0
1980-12-15,59.0,nan,0.0
1980-12-16,59.0,nan,0.0
1980-12-17,59.0,nan,0.0
1980-12-18,58.0,nan,0.0
1980-12-19,58.0,nan,0.0
1980-12-20,58.0,nan,0.0
1980-12-21,58.0,nan,0.0
1980-12-22,57.0,nan,0.0
1980-12-23,57.0,nan,0.0
1980-12-24,57.0,nan,0.0
1980-12-25,57.0,nan,0.0
1980-12-26,57.0,nan,0.0
1980-12-27,57.0,nan,0.0
1980-12-28,56.0,nan,0.0
1980-12-29,56.0,nan,0.0
1980-12-30,56.0,nan,0.0
1980-12-31,56.0,nan,0.0
1981-01-01,56.0,nan,0.0
1981-01-02,56.0,nan,0.0
1981-01-03,56.0,nan,0.0
1981-01-04,55.0,nan,0.0
1981-01-05,55.0,nan,0.0
1981-01-06,55.0,nan,0.0
1981-01-07,55.0,nan,0.0
1981-01-08,55.0,nan,0.0
1981-01-09,55.0,nan,0.0
1981-01-10,55.0,nan,0.0
1981-01-11,54.0,nan,0.0
1981-01-12,54.0,nan,0.0
1981-01-13,54.0,nan,0.0
1981-01-14,54.0,nan,0.0
1981-01-15,54.0,nan,0.0
1981-01-16,54.0,nan,0.0
1981-01-17,54.0,nan,0.0
1981-01-18,54.0,nan,0.0
1981-01-19,54.0,nan,0.0
1981-01-20,54.0,nan,0.0
1981-01-21,54.0,nan,0.0
1981-01-22,54.0,nan,0.0
1981-01-23,54.0,nan,0.0
1981-01-24,53.0,nan,0.0
1981-01-25,53.0,nan,0.0
1981-01-26,52.0,nan,0.0
1981-01-27,52.0,nan,0.0
1981-01-28,52.0,nan,0.0
1981-01-29,52.0,nan,0.0
1981-01-30,52.0,nan,0.0
1981-01-31,52.0,nan,0.0
1981-02-01,52.0,nan,0.0
1981-02-02,51.0,nan,0.0
1981-02-03,51.0,nan,0.0
1981-02-04,51.0,nan,0.0
1981-02-05,51.0,nan,0.0
1981-02-06,51.0,nan,0.0
1981-02-07,51.0,nan,0.0
1981-02-08,51.0,nan,0.0
1981-02-09,51.0,nan,0.0
1981-02-10,51.0,nan,0.0
1981-02-11,51.0,nan,0.0
1981-02-12,51.0,nan,0.0
1981-02-13,51.0,nan,0.0
1981-02-14,51.0,nan,0.0
1981-02-15,51.0,nan,0.0
1981-02-16,51.0,nan,0.0
1981-02-17,51.0,nan,0.0
1981-02-18,51.0,nan,0.0
1981-02-19,51.0,nan,0.0
1981-02-20,51.0,nan,0.0
1981-02-21,51.0,nan,0.0
1981-02-22,51.0,nan,0.0
1981-02-23,51.0,nan,0.0
1981-02-24,51.0,nan,0.0
1981-02-25,51.0,nan,0.0
1981-02-26,52.0,nan,0.0
1981-02-27,53.0,nan,0.0
1981-02-28,53.0,nan,0.0
1981-03-01,54.0,nan,0.0
1981-03-02,55.0,nan,0.0
1981-03-03,57.0,nan,0.0
1981-03-04,59.0,nan,0.0
1981-03-05,60.0,nan,0.0
1981-03-06,59.0,nan,0.0
1981-03-07,59.0,nan,0.0
1981-03-08,59.0,nan,0.0
1981-03-09,59.0,nan,0.0
1981-03-10,59.0,nan,0.0
1981-03-11,58.0,nan,0.0
1981-03-12,58.0,nan,0.0
1981-03-13,57.0,nan,0.0
1981-03-14,56.0,nan,0.0
1981-03-15,56.0,nan,0.0
1981-03-16,56.0,nan,0.0
1981-03-17,56.0,nan,0.0
1981-03-18,56.0,nan,0.0
1981-03-19,55.0,nan,0.0
1981-03-20,55.0,nan,0.0
1981-03-21,56.0,nan,0.0
1981-03-22,56.0,nan,0.0
1981-03-23,56.0,nan,0.0
1981-03-24,56.0,nan,0.0
1981-03-25,55.0,nan,0.0
1981-03-26,55.0,nan,0.0
1981-03-27,55.0,nan,0.0
1981-03-28,55.0,nan,0.0
1981-03-29,55.0,nan,0.0
1981-03-30,55.0,nan,0.0
1981-03-31,55.0,nan,0.0
1981-04-01,55.0,nan,0.0
1981-04-02,55.0,nan,0.0
1981-04-03,55.0,nan,0.0
1981-04-04,55.0,nan,0.0
1981-04-05,54.0,nan,0.0
1981-04-06,53.0,nan,0.0
1981-04-07,49.0,nan,0.0
1981-04-08,43.0,nan,0.0
1981-04-09,42.0,nan,0.0
1981-04-10,42.0,nan,0.0
1981-04-11,53.0,nan,0.0
1981-04-12,53.0,nan,0.0
1981-04-13,55.0,nan,0.0
1981-04-14,55.0,nan,0.0
1981-04-15,54.0,nan,0.0
1981-04-16,53.0,nan,0.0
1981-04-17,53.0,nan,0.0
1981-04-18,56.0,nan,0.0
1981-04-19,63.0,nan,0.0
1981-04-20,63.0,nan,0.0
1981-04-21,63.0,nan,0.0
1981-04-22,63.0,nan,0.0
1981-04-23,63.0,nan,0.0
1981-04-24,63.0,nan,0.0
1981-04-25,61.0,nan,0.0
1981-04-26,60.0,nan,0.0
1981-04-27,60.0,nan,0.0
1981-04-28,60.0,nan,0.0
1981-04-29,60.0,nan,0.0
1981-04-30,60.0,nan,0.0
1981-05-01,59.0,nan,0.0
1981-05-02,57.0,nan,0.0
1981-05-03,57.0,nan,0.0
1981-05-04,59.0,nan,0.0
1981-05-05,59.0,nan,0.0
1981-05-06,57.0,nan,0.0
1981-05-07,57.0,nan,0.0
1981-05-08,59.0,nan,0.0
1981-05-09,64.0,nan,0.0
1981-05-10,66.0,nan,0.0
1981-05-11,66.0,nan,0.0
1981-05-12,66.0,nan,0.0
1981-05-13,113.0,nan,2.4
1981-05-14,121.0,nan,0.12
1981-05-15,121.0,nan,0.0
1981-05-16,121.0,nan,0.0
1981-05-17,121.0,nan,0.0
1981-05-18,125.0,nan,0.0
1981-05-19,125.0,nan,0.0
1981-05-20,133.0,nan,0.0
1981-05-21,131.0,nan,0.0
1981-05-22,131.0,nan,0.0
1981-05-23,131.0,nan,0.0
1981-05-24,129.0,nan,0.0
1981-05-25,129.0,nan,0.0
1981-05-26,129.0,nan,0.0
1981-05-27,129.0,nan,0.0
1981-05-28,133.0,nan,0.0
1981-05-29,133.0,nan,0.0
