date,s_af,i_cfs,r_cfs
1980-01-01,16855.0,nan,1.8
1980-01-02,16872.0,nan,1.8
1980-01-03,16838.0,nan,1.7
1980-01-04,16941.0,nan,1.6
1980-01-05,16941.0,nan,1.4
1980-01-06,16941.0,nan,1.4
1980-01-07,16941.0,nan,1.4
1980-01-08,16941.0,nan,1.2
1980-01-09,16941.0,nan,1.0
1980-01-10,16941.0,nan,1.0
1980-01-11,16855.0,nan,1.0
1980-01-12,16820.0,nan,1.0
1980-01-13,16820.0,nan,1.2
1980-01-14,16820.0,nan,1.2
1980-01-15,16803.0,nan,1.4
1980-01-16,16803.0,nan,1.4
1980-01-17,16820.0,nan,1.5
1980-01-18,16820.0,nan,1.5
1980-01-19,16820.0,nan,1.5
1980-01-20,16838.0,nan,1.5
1980-01-21,16838.0,nan,1.5
1980-01-22,16872.0,nan,1.5
1980-01-23,16855.0,nan,1.5
1980-01-24,16786.0,nan,1.5
1980-01-25,16786.0,nan,1.5
1980-01-26,16786.0,nan,1.5
1980-01-27,16786.0,nan,1.4
1980-01-28,16786.0,nan,1.4
1980-01-29,16786.0,nan,1.3
1980-01-30,16786.0,nan,1.2
1980-01-31,16786.0,nan,1.2
1980-02-01,16786.0,nan,1.2
1980-02-02,16768.0,nan,1.2
1980-02-03,16820.0,nan,1.3
1980-02-04,16786.0,nan,1.4
1980-02-05,16786.0,nan,1.5
1980-02-06,16786.0,nan,1.5
1980-02-07,16786.0,nan,1.5
1980-02-08,16820.0,nan,1.4
1980-02-09,16820.0,nan,1.4
1980-02-10,16751.0,nan,1.4
1980-02-11,16768.0,nan,1.4
1980-02-12,16768.0,nan,1.3
1980-02-13,16768.0,nan,1.3
1980-02-14,16768.0,nan,1.2
1980-02-15,16768.0,nan,1.2
1980-02-16,16768.0,nan,1.2
1980-02-17,16768.0,nan,1.2
1980-02-18,16768.0,nan,1.2
1980-02-19,16768.0,nan,1.3
1980-02-20,16786.0,nan,1.4
1980-02-21,16786.0,nan,1.4
1980-02-22,16786.0,nan,1.4
1980-02-23,16768.0,nan,1.3
1980-02-24,16768.0,nan,1.3
1980-02-25,16768.0,nan,1.3
1980-02-26,16820.0,nan,1.3
1980-02-27,16820.0,nan,1.2
1980-02-28,16820.0,nan,1.2
1980-02-29,16820.0,nan,1.2
1980-03-01,16820.0,nan,1.2
1980-03-02,16820.0,nan,1.2
1980-03-03,16820.0,nan,1.2
1980-03-04,16820.0,nan,1.2
