date,s_af,i_cfs,r_cfs
1980-01-01,355694.0446,nan,nan
1980-01-02,355694.0446,nan,nan
1980-01-03,355694.0446,nan,nan
1980-01-04,355694.0446,nan,nan
1980-01-05,355694.0446,nan,nan
1980-01-06,356085.8264,nan,nan
1980-01-07,356085.8264,nan,nan
1980-01-08,356085.8264,nan,nan
1980-01-09,356085.8264,nan,nan
1980-01-10,356085.8264,nan,nan
1980-01-11,356085.8264,nan,nan
1980-01-12,356085.8264,nan,nan
1980-01-13,356085.8264,nan,nan
1980-01-14,357114.6471,nan,nan
1980-01-15,357114.6471,nan,nan
1980-01-16,357114.6471,nan,nan
1980-01-17,357686.8,nan,nan
1980-01-18,357686.8,nan,nan
1980-01-19,357686.8,nan,nan
1980-01-20,358509.5972,nan,nan
1980-01-21,358509.5972,nan,nan
1980-01-22,358509.5972,nan,nan
1980-01-23,359792.2963,nan,nan
1980-01-24,359792.2963,nan,nan
1980-01-25,359792.2963,nan,nan
1980-01-26,359792.2963,nan,nan
1980-01-27,359792.2963,nan,nan
1980-01-28,359792.2963,nan,nan
1980-01-29,359792.2963,nan,nan
1980-01-30,360557.72,nan,nan
1980-01-31,360557.72,nan,nan
1980-02-01,360557.72,nan,nan
1980-02-02,360557.72,nan,nan
1980-02-03,360557.72,nan,nan
1980-02-04,360557.72,nan,nan
1980-02-05,360557.72,nan,nan
1980-02-06,360557.72,nan,nan
1980-02-07,360863.4783,nan,nan
1980-02-08,360863.4783,nan,nan
1980-02-09,360863.4783,nan,nan
1980-02-10,360863.4783,nan,nan
1980-02-11,361865.6389,nan,nan
1980-02-12,361865.6389,nan,nan
1980-02-13,361865.6389,nan,nan
1980-02-14,361865.6389,nan,nan
1980-02-15,361865.6389,nan,nan
1980-02-16,361865.6389,nan,nan
1980-02-17,361865.6389,nan,nan
1980-02-18,361865.6389,nan,nan
1980-02-19,361865.6389,nan,nan
1980-02-20,361865.6389,nan,nan
1980-02-21,361865.6389,nan,nan
1980-02-22,361865.6389,nan,nan
1980-02-23,361865.6389,nan,nan
1980-02-24,361865.6389,nan,nan
1980-02-25,361865.6389,nan,nan
1980-02-26,361865.6389,nan,nan
1980-02-27,361865.6389,nan,nan
1980-02-28,361865.6389,nan,nan
1980-02-29,361865.6389,nan,nan
1980-03-01,360863.4783,nan,nan
1980-03-02,360863.4783,nan,nan
1980-03-03,360863.4783,nan,nan
1980-03-04,360863.4783,nan,nan
1980-03-05,360557.72,nan,nan
1980-03-06,360557.72,nan,nan
1980-03-07,360557.72,nan,nan
1980-03-08,360557.72,nan,nan
1980-03-09,360557.72,nan,nan
1980-03-10,360557.72,nan,nan
1980-03-11,360557.72,nan,nan
1980-03-12,360557.72,nan,nan
1980-03-13,360557.72,nan,nan
1980-03-14,360557.72,nan,nan
1980-03-15,360557.72,nan,nan
1980-03-16,360557.72,nan,nan
1980-03-17,360557.72,nan,nan
1980-03-18,359792.2963,nan,nan
1980-03-19,359792.2963,nan,nan
1980-03-20,359792.2963,nan,nan
1980-03-21,359792.2963,nan,nan
1980-03-22,359792.2963,nan,nan
1980-03-23,359792.2963,nan,nan
1980-03-24,359792.2963,nan,nan
1980-03-25,358509.5972,nan,nan
1980-03-26,358509.5972,nan,nan
1980-03-27,360557.72,nan,nan
1980-03-28,360863.4783,nan,nan
1980-03-29,360863.4783,nan,nan
1980-03-30,360863.4783,nan,nan
1980-03-31,361865.6389,nan,nan
1980-04-01,361865.6389,nan,nan
1980-04-02,361865.6389,nan,nan
1980-04-03,361865.6389,nan,nan
1980-04-04,361865.6389,nan,nan
1980-04-05,361865.6389,nan,nan
1980-04-06,361865.6389,nan,nan
1980-04-07,361865.6389,nan,nan
1980-04-08,361865.6389,nan,nan
1980-04-09,360863.4783,nan,nan
1980-04-10,360863.4783,nan,nan
1980-04-11,360863.4783,nan,nan
1980-04-12,360863.4783,nan,nan
1980-04-13,360863.4783,nan,nan
1980-04-14,360863.4783,nan,nan
1980-04-15,360557.72,nan,nan
1980-04-16,360557.72,nan,nan
1980-04-17,360557.72,nan,nan
1980-04-18,360557.72,nan,nan
1980-04-19,360557.72,nan,nan
1980-04-20,360557.72,nan,nan
1980-04-21,360557.72,nan,nan
1980-04-22,360557.72,nan,nan
1980-04-23,360557.72,nan,nan
1980-04-24,359792.2963,nan,nan
1980-04-25,360863.4783,nan,nan
1980-04-26,360557.72,nan,nan
1980-04-27,360557.72,nan,nan
1980-04-28,360557.72,nan,nan
1980-04-29,360557.72,nan,nan
1980-04-30,360557.72,nan,nan
1980-05-01,360557.72,nan,nan
1980-05-02,360557.72,nan,nan
1980-05-03,360557.72,nan,nan
1980-05-04,360557.72,nan,nan
1980-05-05,360557.72,nan,nan
1980-05-06,359792.2963,nan,nan
1980-05-07,359792.2963,nan,nan
1980-05-08,360557.72,nan,nan
1980-05-09,360557.72,nan,nan
1980-05-10,360557.72,nan,nan
1980-05-11,360557.72,nan,nan
1980-05-12,360557.72,nan,nan
1980-05-13,361865.6389,nan,nan
1980-05-14,362851.6912,nan,nan
1980-05-15,363435.7547,nan,nan
1980-05-16,363435.7547,nan,nan
1980-05-17,364519.4126,nan,nan
1980-05-18,365197.2842,nan,nan
1980-05-19,365871.3107,nan,nan
1980-05-20,367113.352,nan,nan
1980-05-21,367519.9434,nan,nan
1980-05-22,368496.6154,nan,nan
1980-05-23,368496.6154,nan,nan
1980-05-24,368496.6154,nan,nan
1980-05-25,368496.6154,nan,nan
1980-05-26,368496.6154,nan,nan
1980-05-27,368496.6154,nan,nan
1980-05-28,368496.6154,nan,nan
1980-05-29,367519.9434,nan,nan
1980-05-30,367519.9434,nan,nan
1980-05-31,367113.352,nan,nan
1980-06-01,367113.352,nan,nan
1980-06-02,365871.3107,nan,nan
1980-06-03,365871.3107,nan,nan
1980-06-04,365197.2842,nan,nan
1980-06-05,365197.2842,nan,nan
1980-06-06,365197.2842,nan,nan
1980-06-07,364519.4126,nan,nan
1980-06-08,364519.4126,nan,nan
1980-06-09,363435.7547,nan,nan
1980-06-10,362851.6912,nan,nan
1980-06-11,362851.6912,nan,nan
1980-06-12,361865.6389,nan,nan
1980-06-13,360863.4783,nan,nan
1980-06-14,360863.4783,nan,nan
1980-06-15,360557.72,nan,nan
1980-06-16,359792.2963,nan,nan
1980-06-17,359792.2963,nan,nan
1980-06-18,358509.5972,nan,nan
1980-06-19,358509.5972,nan,nan
1980-06-20,357686.8,nan,nan
1980-06-21,358509.5972,nan,nan
1980-06-22,357686.8,nan,nan
1980-06-23,357114.6471,nan,nan
1980-06-24,357114.6471,nan,nan
1980-06-25,356085.8264,nan,nan
1980-06-26,355694.0446,nan,nan
1980-06-27,354892.7722,nan,nan
1980-06-28,353332.5556,nan,nan
1980-06-29,353332.5556,nan,nan
1980-06-30,353118.4063,nan,nan
1980-07-01,352328.9636,nan,nan
1980-07-02,351755.2326,nan,nan
1980-07-03,351755.2326,nan,nan
1980-07-04,350743.1818,nan,nan
1980-07-05,349947.69700000004,nan,nan
1980-07-06,349251.2391,nan,nan
1980-07-07,348467.4681,nan,nan
1980-07-08,348467.4681,nan,nan
1980-07-09,347870.5217,nan,nan
1980-07-10,347870.5217,nan,nan
1980-07-11,346888.4203,nan,nan
1980-07-12,346888.4203,nan,nan
1980-07-13,346888.4203,nan,nan
1980-07-14,346247.6182,nan,nan
1980-07-15,346247.6182,nan,nan
1980-07-16,346247.6182,nan,nan
1980-07-17,344596.4035,nan,nan
1980-07-18,344596.4035,nan,nan
1980-07-19,344596.4035,nan,nan
1980-07-20,344316.8571,nan,nan
1980-07-21,344316.8571,nan,nan
1980-07-22,344316.8571,nan,nan
1980-07-23,344316.8571,nan,nan
1980-07-24,344316.8571,nan,nan
1980-07-25,343717.4776,nan,nan
1980-07-26,343717.4776,nan,nan
1980-07-27,343717.4776,nan,nan
1980-07-28,343717.4776,nan,nan
1980-07-29,343067.0,nan,nan
1980-07-30,343067.0,nan,nan
1980-07-31,343067.0,nan,nan
1980-08-01,342415.6543,nan,nan
1980-08-02,342415.6543,nan,nan
1980-08-03,342415.6543,nan,nan
1980-08-04,341629.8451,nan,nan
1980-08-05,341629.8451,nan,nan
1980-08-06,341629.8451,nan,nan
1980-08-07,341629.8451,nan,nan
1980-08-08,340535.9375,nan,nan
1980-08-09,340535.9375,nan,nan
1980-08-10,341629.8451,nan,nan
1980-08-11,341629.8451,nan,nan
1980-08-12,341629.8451,nan,nan
1980-08-13,340535.9375,nan,nan
1980-08-14,340535.9375,nan,nan
1980-08-15,340535.9375,nan,nan
1980-08-16,340535.9375,nan,nan
1980-08-17,340535.9375,nan,nan
1980-08-18,339477.2542,nan,nan
1980-08-19,339477.2542,nan,nan
1980-08-20,339477.2542,nan,nan
1980-08-21,339477.2542,nan,nan
1980-08-22,339477.2542,nan,nan
1980-08-23,339477.2542,nan,nan
1980-08-24,339477.2542,nan,nan
1980-08-25,339477.2542,nan,nan
1980-08-26,338698.6667,nan,nan
1980-08-27,338698.6667,nan,nan
1980-08-28,338698.6667,nan,nan
1980-08-29,338698.6667,nan,nan
1980-08-30,338698.6667,nan,nan
1980-08-31,338197.5135,nan,nan
1980-09-01,338197.5135,nan,nan
1980-09-02,338197.5135,nan,nan
1980-09-03,338197.5135,nan,nan
1980-09-04,338197.5135,nan,nan
1980-09-05,337285.0278,nan,nan
1980-09-06,338698.6667,nan,nan
1980-09-07,341629.8451,nan,nan
1980-09-08,344596.4035,nan,nan
1980-09-09,351755.2326,nan,nan
1980-09-10,353332.5556,nan,nan
1980-09-11,354892.7722,nan,nan
1980-09-12,354892.7722,nan,nan
1980-09-13,354892.7722,nan,nan
1980-09-14,353332.5556,nan,nan
1980-09-15,353332.5556,nan,nan
1980-09-16,353118.4063,nan,nan
1980-09-17,352328.9636,nan,nan
1980-09-18,351755.2326,nan,nan
1980-09-19,351755.2326,nan,nan
1980-09-20,351755.2326,nan,nan
1980-09-21,350743.1818,nan,nan
1980-09-22,349947.69700000004,nan,nan
1980-09-23,349947.69700000004,nan,nan
1980-09-24,349251.2391,nan,nan
1980-09-25,349947.69700000004,nan,nan
1980-09-26,349251.2391,nan,nan
1980-09-27,349251.2391,nan,nan
1980-09-28,349251.2391,nan,nan
1980-09-29,349947.69700000004,nan,nan
1980-09-30,353118.4063,nan,nan
1980-10-01,355694.0446,nan,nan
1980-10-02,356085.8264,nan,nan
1980-10-03,356085.8264,nan,nan
1980-10-04,356085.8264,nan,nan
1980-10-05,355694.0446,nan,nan
1980-10-06,355694.0446,nan,nan
1980-10-07,355694.0446,nan,nan
1980-10-08,354892.7722,nan,nan
1980-10-09,354892.7722,nan,nan
1980-10-10,353332.5556,nan,nan
1980-10-11,353332.5556,nan,nan
1980-10-12,353118.4063,nan,nan
1980-10-13,352328.9636,nan,nan
1980-10-14,352328.9636,nan,nan
1980-10-15,352328.9636,nan,nan
1980-10-16,357686.8,nan,nan
1980-10-17,362851.6912,nan,nan
1980-10-18,363435.7547,nan,nan
1980-10-19,365197.2842,nan,nan
1980-10-20,365871.3107,nan,nan
1980-10-21,365197.2842,nan,nan
1980-10-22,364519.4126,nan,nan
1980-10-23,363435.7547,nan,nan
1980-10-24,361865.6389,nan,nan
1980-10-25,360863.4783,nan,nan
1980-10-26,360557.72,nan,nan
1980-10-27,359792.2963,nan,nan
1980-10-28,358509.5972,nan,nan
1980-10-29,357686.8,nan,nan
1980-10-30,357686.8,nan,nan
1980-10-31,357114.6471,nan,nan
1980-11-01,357114.6471,nan,nan
1980-11-02,357114.6471,nan,nan
1980-11-03,356085.8264,nan,nan
1980-11-04,356085.8264,nan,nan
1980-11-05,356085.8264,nan,nan
1980-11-06,355694.0446,nan,nan
1980-11-07,355694.0446,nan,nan
