date,s_af,i_cfs,r_cfs
1980-01-01,9935.0,nan,0.0
1980-01-02,9942.0,nan,0.0
1980-01-03,9942.0,nan,0.0
1980-01-04,9950.0,nan,0.0
1980-01-05,9950.0,nan,0.0
1980-01-06,9950.0,nan,0.0
1980-01-07,9957.0,nan,0.0
1980-01-08,9957.0,nan,0.0
1980-01-09,9957.0,nan,0.0
1980-01-10,9957.0,nan,0.0
1980-01-11,9957.0,nan,0.0
1980-01-12,9964.0,nan,0.0
1980-01-13,9964.0,nan,0.0
1980-01-14,9964.0,nan,0.0
1980-01-15,9964.0,nan,0.0
1980-01-16,9964.0,nan,0.0
1980-01-17,9972.0,nan,0.0
1980-01-18,9972.0,nan,0.0
1980-01-19,9972.0,nan,0.0
1980-01-20,9979.0,nan,0.0
1980-01-21,9986.0,nan,0.0
1980-01-22,9994.0,nan,0.0
1980-01-23,10009.0,nan,0.0
1980-01-24,10009.0,nan,0.0
1980-01-25,10016.0,nan,0.0
1980-01-26,10023.0,nan,0.0
1980-01-27,10031.0,nan,0.0
1980-01-28,10031.0,nan,0.0
1980-01-29,10031.0,nan,0.0
1980-01-30,10038.0,nan,0.0
1980-01-31,10038.0,nan,0.0
1980-02-01,10038.0,nan,0.0
1980-02-02,10038.0,nan,0.0
1980-02-03,10046.0,nan,0.0
1980-02-04,10053.0,nan,0.0
1980-02-05,10060.0,nan,0.0
1980-02-06,10060.0,nan,0.0
1980-02-07,10068.0,nan,0.0
1980-02-08,10075.0,nan,0.0
1980-02-09,10082.0,nan,0.0
1980-02-10,10082.0,nan,0.0
1980-02-11,10090.0,nan,0.0
1980-02-12,10097.0,nan,0.0
1980-02-13,10105.0,nan,0.0
1980-02-14,10105.0,nan,0.0
1980-02-15,10112.0,nan,0.0
1980-02-16,10119.0,nan,0.0
1980-02-17,10127.0,nan,0.0
1980-02-18,10134.0,nan,0.0
1980-02-19,10141.0,nan,0.0
1980-02-20,10141.0,nan,0.0
1980-02-21,10141.0,nan,0.0
1980-02-22,10141.0,nan,0.0
1980-02-23,10149.0,nan,0.0
1980-02-24,10149.0,nan,0.0
1980-02-25,10156.0,nan,0.0
1980-02-26,10156.0,nan,0.0
1980-02-27,10164.0,nan,0.0
1980-02-28,10164.0,nan,0.0
1980-02-29,10164.0,nan,0.0
1980-03-01,10171.0,nan,0.0
1980-03-02,10179.0,nan,0.0
1980-03-03,10186.0,nan,0.0
1980-03-04,10202.0,nan,0.0
1980-03-05,10202.0,nan,0.0
1980-03-06,10202.0,nan,0.0
1980-03-07,10202.0,nan,0.0
1980-03-08,10202.0,nan,0.0
1980-03-09,10209.0,nan,0.0
1980-03-10,10209.0,nan,0.0
1980-03-11,10217.0,nan,0.0
