date,s_af,i_cfs,r_cfs
1980-01-01,2412059.0,nan,87.0
1980-01-02,2415960.0,nan,475.0
1980-01-03,2412840.0,nan,1150.0
1980-01-04,2413619.0,nan,536.0
1980-01-05,2413619.0,nan,126.0
1980-01-06,2417580.0,nan,96.0
1980-01-07,2415960.0,nan,258.0
1980-01-08,2410500.0,nan,2550.0
1980-01-09,2407380.0,nan,1260.0
1980-01-10,2407380.0,nan,856.0
1980-01-11,2408940.0,nan,601.0
1980-01-12,2403450.0,nan,1190.0
1980-01-13,2407380.0,nan,117.0
1980-01-14,2405820.0,nan,115.0
1980-01-15,2408940.0,nan,113.0
1980-01-16,2409719.0,nan,443.0
1980-01-17,2410500.0,nan,131.0
1980-01-18,2405820.0,nan,2070.0
1980-01-19,2408159.0,nan,1210.0
1980-01-20,2413619.0,nan,136.0
1980-01-21,2412840.0,nan,2620.0
1980-01-22,2409719.0,nan,2760.0
1980-01-23,2402699.0,nan,3380.0
1980-01-24,2397275.0,nan,2560.0
1980-01-25,2398038.0,nan,169.0
1980-01-26,2403450.0,nan,1790.0
1980-01-27,2398800.0,nan,2290.0
1980-01-28,2392703.0,nan,4900.0
1980-01-29,2379750.0,nan,5380.0
1980-01-30,2387365.0,nan,222.0
1980-01-31,2380511.0,nan,2090.0
1980-02-01,2372891.0,nan,3130.0
1980-02-02,2374416.0,nan,195.0
1980-02-03,2375840.0,nan,115.0
1980-02-04,2373653.0,nan,1040.0
1980-02-05,2375177.0,nan,804.0
1980-02-06,2375177.0,nan,126.0
1980-02-07,2375177.0,nan,412.0
1980-02-08,2375840.0,nan,1350.0
1980-02-09,2391180.0,nan,1170.0
1980-02-10,2388132.0,nan,1380.0
1980-02-11,2388132.0,nan,914.0
1980-02-12,2388132.0,nan,1190.0
1980-02-13,2388893.0,nan,118.0
1980-02-14,2391941.0,nan,113.0
1980-02-15,2397275.0,nan,614.0
1980-02-16,2387369.0,nan,4780.0
1980-02-17,2375940.0,nan,4010.0
1980-02-18,2367558.0,nan,3040.0
1980-02-19,2367558.0,nan,2730.0
1980-02-20,2359175.0,nan,3700.0
1980-02-21,2359175.0,nan,1110.0
1980-02-22,2353080.0,nan,4280.0
1980-02-23,2350783.0,nan,1370.0
1980-02-24,2348508.0,nan,1870.0
1980-02-25,2337840.0,nan,4570.0
1980-02-26,2329458.0,nan,4800.0
1980-02-27,2323361.0,nan,2570.0
