date,s_af,i_cfs,r_cfs
1980-01-01,32092,1550,2270
1980-01-02,31893,1900,2330
1980-01-03,32146,2180,2750
1980-01-04,31911,2300,2900
1980-01-05,32101,2650,6160
1980-01-06,31992,4810,4910
1980-01-07,32373,4090,3950
1980-01-08,32318,3270,3930
1980-01-09,31974,3130,5500
1980-01-10,31506,4380,6640
1980-01-11,31497,5570,6160
1980-01-12,31469,5220,11600
1980-01-13,33167,9400,13600
1980-01-14,32074,9450,12600
1980-01-15,31138,8690,9340
1980-01-16,31506,7110,10100
1980-01-17,31398,8130,11200
1980-01-18,31461,9280,11800
1980-01-19,31586,10060,11700
1980-01-20,31380,9900,11300
1980-01-21,31344,9740,6160
1980-01-22,31479,5250,5850
1980-01-23,31452,4970,5620
1980-01-24,31461,4930,5450
1980-01-25,31487,4840,5430
1980-01-26,31487,4790,3710
1980-01-27,32056,3590,4200
1980-01-28,31263,3380,4870
1980-01-29,31595,4550,4760
1980-01-30,31956,4660,4490
1980-01-31,32856,4630,3360
1980-02-01,33341,3350,2780
1980-02-02,32828,2290,2140
1980-02-03,31857,1350,1790
1980-02-04,31676,1390,1500
1980-02-05,31923,1320,1290
1980-02-06,32427,1290,1570
1980-02-07,33220,1630,2010
1980-02-08,33581,1820,1570
1980-02-09,34200,1560,1420
1980-02-10,34694,1390,1210
1980-02-11,35293,1260,1090
1980-02-12,35925,1180,1210
1980-02-13,36115,1100,1270
1980-02-14,36077,1050,1200
1980-02-15,36115,1030,1090
1980-02-16,36247,970,1090
1980-02-17,36333,940,1090
1980-02-18,36447,1000,1150
1980-02-19,36571,1000,1560
1980-02-20,36695,1350,1700
1980-02-21,36810,1480,1610
1980-02-22,36972,1420,1550
1980-02-23,37049,1340,1760
1980-02-24,37049,1430,1560
1980-02-25,37212,1330,1490
1980-02-26,37346,1300,1750
1980-02-27,37395,1510,1770
1980-02-28,37366,1450,1790
1980-02-29,37838,1650,2100
1980-03-01,37761,1620,1770
1980-03-02,37897,1470,1630
1980-03-03,37935,1330,1470
1980-03-04,38120,1250,1760
1980-03-05,38246,1440,1880
