date,s_af,i_cfs,r_cfs
2003-01-01,180117,6810,4180
2003-01-02,178958,4090,4670
2003-01-03,180586,4310,3500
2003-01-04,185856,7270,4620
2003-01-05,189150,6250,4590
2003-01-06,190461,5220,4560
2003-01-07,188161,3430,4570
2003-01-08,184293,2660,4580
2003-01-09,179537,2180,4550
2003-01-10,174050,1880,4590
2003-01-11,168024,1680,4650
2003-01-12,163491,1410,3650
2003-01-13,163114,2500,2690
2003-01-14,164099,3180,2690
2003-01-15,166320,3110,2e3
2003-01-16,167087,2370,1990
2003-01-17,166683,1780,1990
2003-01-18,166661,1590,1600
2003-01-19,166917,1430,1300
2003-01-20,167449,1280,1010
2003-01-21,167854,1200,1e3
2003-01-22,167982,1080,1010
2003-01-23,168280,1160,1010
2003-01-24,169396,1570,1010
2003-01-25,171594,2110,1010
2003-01-26,173635,3560,2530
2003-01-27,181703,6610,2510
2003-01-28,187180,6130,3370
2003-01-29,185290,3550,4490
2003-01-30,183075,3410,4510
2003-01-31,208009,14570,1590
2003-02-01,232870,12300,50
2003-02-02,250330,9270,350
2003-02-03,256887,5620,2310
2003-02-04,256943,4170,4140
2003-02-05,254802,3070,4140
2003-02-06,251484,2500,4160
2003-02-07,247215,2050,4180
2003-02-08,242425,1820,4200
2003-02-09,238761,1530,3350
2003-02-10,238414,1270,1440
2003-02-11,235949,1260,2490
2003-02-12,233973,1070,2060
2003-02-13,232581,930,1630
2003-02-14,232136,880,1100
2003-02-15,232189,870,840
2003-02-16,233028,820,400
2003-02-17,234840,1220,310
2003-02-18,238947,2120,50
2003-02-19,243502,2350,50
2003-02-20,247242,1930,50
2003-02-21,252091,2490,50
2003-02-22,259460,3780,50
2003-02-23,267593,4150,50
2003-02-24,273381,2960,50
2003-02-25,277606,2180,50
2003-02-26,281044,1780,50
2003-02-27,283940,1500,50
2003-02-28,286374,1350,130
2003-03-01,288429,1240,210
2003-03-02,290136,1080,230
2003-03-03,291754,1040,230
2003-03-04,293379,1110,300
2003-03-05,294916,1060,290
2003-03-06,296822,1410,460
2003-03-07,304904,4120,50
2003-03-08,325951,10770,50
2003-03-09,349148,11860,50
2003-03-10,365144,8160,50
2003-03-11,375343,7720,2570
2003-03-12,375104,5730,5850
2003-03-13,371123,6090,8070
2003-03-14,362458,4940,9250
2003-03-15,356020,3960,7170
2003-03-16,350826,3470,6050
2003-03-17,346360,3210,5430
2003-03-18,342768,2590,4380
2003-03-19,340881,2130,3070
2003-03-20,338935,1990,2960
2003-03-21,337577,2290,2970
2003-03-22,340752,4870,3280
2003-03-23,359783,12580,2940
2003-03-24,365346,7450,4650
2003-03-25,364605,4800,5170
2003-03-26,362190,5320,6530
2003-03-27,366290,7410,5350
2003-03-28,364538,5250,6120
2003-03-29,360383,4040,6110
2003-03-30,356320,3070,5090
2003-03-31,354957,2690,3370
2003-04-01,354625,2820,2980
2003-04-02,354526,2900,2950
2003-04-03,353677,2530,2950
2003-04-04,354791,2320,1760
2003-04-05,355788,2100,1600
2003-04-06,356519,2340,1745
2003-04-07,358081,2310,1060
2003-04-08,360584,2550,1140
2003-04-09,363398,3400,1e3
2003-04-10,368178,3430,1050
2003-04-11,372925,3880,1050
2003-04-12,378560,3300,810
2003-04-13,383523,3450,810
2003-04-14,388767,3240,1870
2003-04-15,391495,2780,2240
2003-04-16,392582,2590,2910
2003-04-17,391949,2710,2920
