date,s_af,i_cfs,r_cfs
1980-01-01,nan,nan,0.36
1980-01-02,nan,nan,0.36
1980-01-03,nan,nan,0.36
1980-01-04,nan,nan,4.3
1980-01-05,nan,nan,1.7
1980-01-06,nan,nan,1.2
1980-01-07,nan,nan,1.0
1980-01-08,nan,nan,1.0
1980-01-09,nan,nan,1.0
1980-01-10,nan,nan,1.0
1980-01-11,nan,nan,1.0
1980-01-12,nan,nan,1.0
1980-01-13,nan,nan,1.0
1980-01-14,nan,nan,1.0
1980-01-15,nan,nan,1.0
1980-01-16,nan,nan,1.0
1980-01-17,nan,nan,1.0
1980-01-18,nan,nan,1.0
1980-01-19,nan,nan,1.0
1980-01-20,nan,nan,1.0
1980-01-21,nan,nan,1.0
1980-01-22,nan,nan,1.0
1980-01-23,nan,nan,1.0
1980-01-24,nan,nan,1.0
1980-01-25,nan,nan,1.0
1980-01-26,nan,nan,1.0
1980-01-27,nan,nan,1.0
1980-01-28,nan,nan,1.0
1980-01-29,nan,nan,1.0
1980-01-30,nan,nan,1.0
1980-01-31,nan,nan,1.0
1980-02-01,nan,nan,1.0
1980-02-02,nan,nan,0.95
1980-02-03,nan,nan,0.95
1980-02-04,nan,nan,0.95
1980-02-05,nan,nan,0.95
1980-02-06,nan,nan,0.95
1980-02-07,nan,nan,0.95
1980-02-08,nan,nan,0.95
1980-02-09,nan,nan,0.95
1980-02-10,nan,nan,0.95
1980-02-11,nan,nan,0.95
1980-02-12,nan,nan,0.95
1980-02-13,nan,nan,0.95
1980-02-14,nan,nan,0.95
1980-02-15,nan,nan,0.95
1980-02-16,nan,nan,0.95
1980-02-17,nan,nan,0.95
1980-02-18,nan,nan,0.95
1980-02-19,nan,nan,0.95
1980-02-20,nan,nan,0.95
1980-02-21,nan,nan,0.95
1980-02-22,nan,nan,0.95
1980-02-23,nan,nan,0.95
1980-02-24,nan,nan,0.95
1980-02-25,nan,nan,0.95
1980-02-26,nan,nan,0.95
1980-02-27,nan,nan,0.95
1980-02-28,nan,nan,0.95
1980-02-29,nan,nan,0.95
1980-03-01,nan,nan,1.4
1980-03-02,nan,nan,1.4
1980-03-03,nan,nan,1.2
1980-03-04,nan,nan,1.2
1980-03-05,nan,nan,1.4
1980-03-06,nan,nan,1.2
1980-03-07,nan,nan,1.2
1980-03-08,nan,nan,1.2
1980-03-09,nan,nan,1.2
1980-03-10,nan,nan,0.95
1980-03-11,nan,nan,0.95
1980-03-12,nan,nan,0.95
1980-03-13,nan,nan,0.95
1980-03-14,nan,nan,0.73
1980-03-15,nan,nan,0.73
1980-03-16,nan,nan,0.73
1980-03-17,nan,nan,1.2
1980-03-18,nan,nan,0.95
1980-03-19,nan,nan,1.2
1980-03-20,nan,nan,1.2
1980-03-21,nan,nan,0.73
1980-03-22,nan,nan,0.53
1980-03-23,nan,nan,0.95
1980-03-24,nan,nan,1.2
1980-03-25,nan,nan,0.73
1980-03-26,nan,nan,0.75
1980-03-27,nan,nan,0.98
1980-03-28,nan,nan,1.4
1980-03-29,nan,nan,1.5
1980-03-30,nan,nan,1.2
1980-03-31,nan,nan,1.1
1980-04-01,nan,nan,1.1
1980-04-02,nan,nan,1.1
1980-04-03,nan,nan,1.1
1980-04-04,nan,nan,1.1
1980-04-05,nan,nan,1.1
1980-04-06,nan,nan,1.2
1980-04-07,nan,nan,0.95
1980-04-08,nan,nan,1.2
1980-04-09,nan,nan,1.2
1980-04-10,nan,nan,1.4
1980-04-11,nan,nan,1.0
1980-04-12,nan,nan,1.2
1980-04-13,nan,nan,1.1
1980-04-14,nan,nan,0.95
1980-04-15,nan,nan,0.95
1980-04-16,nan,nan,0.95
1980-04-17,nan,nan,0.95
1980-04-18,nan,nan,1.1
1980-04-19,nan,nan,0.53
1980-04-20,nan,nan,0.36
1980-04-21,nan,nan,476.0
1980-04-22,nan,nan,702.0
1980-04-23,nan,nan,949.0
1980-04-24,nan,nan,772.0
1980-04-25,nan,nan,3.3
1980-04-26,nan,nan,2.5
1980-04-27,nan,nan,2.3
1980-04-28,nan,nan,304.0
1980-04-29,nan,nan,664.0
1980-04-30,nan,nan,639.0
1980-05-01,nan,nan,436.0
1980-05-02,nan,nan,3.0
1980-05-03,nan,nan,2.3
1980-05-04,nan,nan,2.2
1980-05-05,nan,nan,2.2
1980-05-06,nan,nan,4.1
1980-05-07,nan,nan,3.2
1980-05-08,nan,nan,3.2
1980-05-09,nan,nan,3.1
1980-05-10,nan,nan,2.7
1980-05-11,nan,nan,2.4
1980-05-12,nan,nan,205.0
1980-05-13,nan,nan,329.0
1980-05-14,nan,nan,326.0
1980-05-15,nan,nan,317.0
1980-05-16,nan,nan,311.0
1980-05-17,nan,nan,307.0
1980-05-18,nan,nan,306.0
1980-05-19,nan,nan,305.0
1980-05-20,nan,nan,305.0
1980-05-21,nan,nan,307.0
1980-05-22,nan,nan,309.0
1980-05-23,nan,nan,314.0
1980-05-24,nan,nan,316.0
1980-05-25,nan,nan,323.0
1980-05-26,nan,nan,328.0
1980-05-27,nan,nan,349.0
1980-05-28,nan,nan,394.0
1980-05-29,nan,nan,403.0
1980-05-30,nan,nan,430.0
1980-05-31,nan,nan,444.0
1980-06-01,nan,nan,444.0
1980-06-02,nan,nan,471.0
1980-06-03,nan,nan,507.0
1980-06-04,nan,nan,525.0
1980-06-05,nan,nan,534.0
1980-06-06,nan,nan,543.0
1980-06-07,nan,nan,552.0
1980-06-08,nan,nan,552.0
1980-06-09,nan,nan,841.0
1980-06-10,nan,nan,1280.0
1980-06-11,nan,nan,1290.0
1980-06-12,nan,nan,1330.0
1980-06-13,nan,nan,1410.0
1980-06-14,nan,nan,1460.0
1980-06-15,nan,nan,1470.0
1980-06-16,nan,nan,1450.0
1980-06-17,nan,nan,1470.0
1980-06-18,nan,nan,1510.0
1980-06-19,nan,nan,1530.0
1980-06-20,nan,nan,1480.0
1980-06-21,nan,nan,1470.0
1980-06-22,nan,nan,1480.0
1980-06-23,nan,nan,1490.0
1980-06-24,nan,nan,1520.0
1980-06-25,nan,nan,1480.0
1980-06-26,nan,nan,1490.0
1980-06-27,nan,nan,1470.0
1980-06-28,nan,nan,1470.0
1980-06-29,nan,nan,1480.0
1980-06-30,nan,nan,1440.0
1980-07-01,nan,nan,1440.0
1980-07-02,nan,nan,1430.0
1980-07-03,nan,nan,1440.0
1980-07-04,nan,nan,1430.0
1980-07-05,nan,nan,1440.0
1980-07-06,nan,nan,1440.0
1980-07-07,nan,nan,1420.0
1980-07-08,nan,nan,1470.0
1980-07-09,nan,nan,1540.0
1980-07-10,nan,nan,1510.0
1980-07-11,nan,nan,1500.0
1980-07-12,nan,nan,1480.0
1980-07-13,nan,nan,1470.0
1980-07-14,nan,nan,1490.0
1980-07-15,nan,nan,1490.0
1980-07-16,nan,nan,1480.0
1980-07-17,nan,nan,1530.0
1980-07-18,nan,nan,1530.0
1980-07-19,nan,nan,1450.0
1980-07-20,nan,nan,1420.0
1980-07-21,nan,nan,1440.0
1980-07-22,nan,nan,1460.0
1980-07-23,nan,nan,1450.0
1980-07-24,nan,nan,1470.0
1980-07-25,nan,nan,1500.0
1980-07-26,nan,nan,1490.0
1980-07-27,nan,nan,1480.0
1980-07-28,nan,nan,1480.0
1980-07-29,nan,nan,1490.0
1980-07-30,nan,nan,1490.0
1980-07-31,nan,nan,1450.0
1980-08-01,nan,nan,1440.0
1980-08-02,nan,nan,1430.0
1980-08-03,nan,nan,1410.0
1980-08-04,nan,nan,1410.0
1980-08-05,nan,nan,1400.0
1980-08-06,nan,nan,1430.0
1980-08-07,nan,nan,1430.0
1980-08-08,nan,nan,1450.0
1980-08-09,nan,nan,1240.0
1980-08-10,nan,nan,715.0
1980-08-11,nan,nan,709.0
1980-08-12,nan,nan,600.0
1980-08-13,nan,nan,461.0
1980-08-14,nan,nan,448.0
1980-08-15,nan,nan,479.0
1980-08-16,nan,nan,479.0
1980-08-17,nan,nan,484.0
1980-08-18,nan,nan,446.0
1980-08-19,nan,nan,406.0
1980-08-20,nan,nan,387.0
1980-08-21,nan,nan,404.0
1980-08-22,nan,nan,369.0
1980-08-23,nan,nan,320.0
