date,s_af,i_cfs,r_cfs
1980-01-01,2116800.0,nan,4240.0
1980-01-02,2113400.0,nan,4240.0
1980-01-03,2102100.0,nan,8640.0
1980-01-04,2092200.0,nan,8170.0
1980-01-05,2088800.0,nan,4280.0
1980-01-06,2084100.0,nan,4280.0
1980-01-07,2056300.0,nan,16600.0
1980-01-08,2025800.0,nan,15600.0
1980-01-09,1998600.0,nan,15600.0
1980-01-10,1970100.0,nan,15600.0
1980-01-11,1943300.0,nan,15200.0
1980-01-12,1938900.0,nan,4630.0
1980-01-13,1935600.0,nan,4310.0
1980-01-14,1912000.0,nan,14900.0
1980-01-15,1889000.0,nan,14000.0
1980-01-16,1869500.0,nan,12300.0
1980-01-17,1854300.0,nan,12200.0
1980-01-18,1833200.0,nan,12200.0
1980-01-19,1828700.0,nan,4570.0
1980-01-20,1826500.0,nan,4250.0
1980-01-21,1805700.0,nan,11900.0
1980-01-22,1792600.0,nan,8460.0
1980-01-23,1771200.0,nan,12100.0
1980-01-24,1754500.0,nan,12000.0
1980-01-25,1735300.0,nan,12100.0
1980-01-26,1726000.0,nan,6150.0
1980-01-27,1693000.0,nan,18800.0
1980-01-28,1660100.0,nan,19000.0
1980-01-29,1625800.0,nan,19100.0
1980-01-30,1592300.0,nan,19100.0
1980-01-31,1560000.0,nan,18400.0
1980-02-01,1535800.0,nan,14300.0
1980-02-02,1531600.0,nan,5320.0
1980-02-03,1528000.0,nan,4050.0
1980-02-04,1522300.0,nan,5760.0
1980-02-05,1518900.0,nan,4120.0
1980-02-06,1515500.0,nan,4070.0
1980-02-07,1500300.0,nan,10500.0
1980-02-08,1484200.0,nan,10800.0
1980-02-09,1480700.0,nan,4520.0
1980-02-10,1477500.0,nan,4400.0
1980-02-11,1461600.0,nan,10600.0
1980-02-12,1446500.0,nan,10700.0
1980-02-13,1430700.0,nan,10800.0
1980-02-14,1400300.0,nan,14600.0
1980-02-15,1368800.0,nan,18400.0
1980-02-16,1365000.0,nan,4710.0
1980-02-17,1361300.0,nan,4260.0
1980-02-18,1355100.0,nan,5700.0
1980-02-19,1348600.0,nan,6290.0
1980-02-20,1345800.0,nan,4230.0
1980-02-21,1343200.0,nan,4280.0
1980-02-22,1340500.0,nan,4230.0
1980-02-23,1337100.0,nan,4250.0
1980-02-24,1333500.0,nan,4250.0
1980-02-25,1328400.0,nan,5200.0
1980-02-26,1324400.0,nan,4230.0
1980-02-27,1322000.0,nan,4240.0
1980-02-28,1319800.0,nan,4240.0
1980-02-29,1318800.0,nan,4270.0
1980-03-01,1318200.0,nan,4270.0
1980-03-02,1317300.0,nan,4270.0
1980-03-03,1316700.0,nan,4270.0
1980-03-04,1313300.0,nan,4310.0
1980-03-05,1310500.0,nan,4280.0
1980-03-06,1307100.0,nan,4280.0
1980-03-07,1304200.0,nan,4280.0
1980-03-08,1301200.0,nan,4270.0
1980-03-09,1297800.0,nan,4290.0
1980-03-10,1296400.0,nan,4300.0
1980-03-11,1294300.0,nan,3820.0
1980-03-12,1294700.0,nan,3190.0
1980-03-13,1293900.0,nan,3170.0
1980-03-14,1292900.0,nan,3240.0
1980-03-15,1292900.0,nan,3240.0
1980-03-16,1291300.0,nan,3240.0
1980-03-17,1288700.0,nan,4150.0
1980-03-18,1283000.0,nan,4670.0
1980-03-19,1282400.0,nan,3920.0
1980-03-20,1282000.0,nan,3220.0
1980-03-21,1280000.0,nan,3210.0
1980-03-22,1278800.0,nan,3190.0
1980-03-23,1277600.0,nan,3220.0
1980-03-24,1278000.0,nan,3210.0
1980-03-25,1277200.0,nan,3200.0
1980-03-26,1274600.0,nan,4120.0
1980-03-27,1270300.0,nan,4590.0
1980-03-28,1267700.0,nan,3890.0
1980-03-29,1268300.0,nan,3200.0
1980-03-30,1267100.0,nan,3190.0
1980-03-31,1266300.0,nan,3210.0
1980-04-01,1265100.0,nan,3190.0
1980-04-02,1264100.0,nan,3200.0
1980-04-03,1262300.0,nan,3240.0
1980-04-04,1261100.0,nan,3280.0
1980-04-05,1260700.0,nan,3280.0
1980-04-06,1258000.0,nan,3270.0
1980-04-07,1258800.0,nan,3300.0
1980-04-08,1258600.0,nan,3280.0
1980-04-09,1256600.0,nan,3290.0
1980-04-10,1258000.0,nan,3290.0
1980-04-11,1257400.0,nan,3280.0
1980-04-12,1257200.0,nan,3260.0
1980-04-13,1256800.0,nan,3250.0
1980-04-14,1258200.0,nan,3250.0
1980-04-15,1260100.0,nan,3260.0
1980-04-16,1264100.0,nan,3240.0
1980-04-17,1270100.0,nan,3250.0
1980-04-18,1280000.0,nan,3240.0
1980-04-19,1293500.0,nan,3210.0
1980-04-20,1311700.0,nan,3200.0
1980-04-21,1333100.0,nan,3160.0
1980-04-22,1353000.0,nan,3130.0
1980-04-23,1375600.0,nan,3140.0
1980-04-24,1406500.0,nan,3260.0
1980-04-25,1452300.0,nan,3290.0
1980-04-26,1497300.0,nan,3280.0
1980-04-27,1547300.0,nan,3210.0
1980-04-28,1610900.0,nan,3210.0
1980-04-29,1688100.0,nan,3220.0
1980-04-30,1777700.0,nan,3260.0
1980-05-01,1866000.0,nan,3220.0
1980-05-02,1952800.0,nan,3170.0
1980-05-03,2045000.0,nan,3200.0
1980-05-04,2139000.0,nan,3190.0
1980-05-05,2230600.0,nan,3160.0
1980-05-06,2323400.0,nan,3120.0
1980-05-07,2418000.0,nan,3130.0
1980-05-08,2505100.0,nan,3100.0
1980-05-09,2584400.0,nan,3070.0
1980-05-10,2655200.0,nan,3090.0
1980-05-11,2717800.0,nan,3090.0
1980-05-12,2774000.0,nan,3110.0
1980-05-13,2827300.0,nan,3080.0
1980-05-14,2879100.0,nan,3120.0
1980-05-15,2924900.0,nan,3130.0
1980-05-16,2976000.0,nan,3180.0
1980-05-17,3030600.0,nan,3100.0
1980-05-18,3089300.0,nan,3110.0
1980-05-19,3150300.0,nan,3200.0
1980-05-20,3215200.0,nan,3110.0
1980-05-21,3277500.0,nan,3150.0
1980-05-22,3347800.0,nan,3220.0
1980-05-23,3427200.0,nan,3210.0
1980-05-24,3498400.0,nan,3180.0
1980-05-25,3560800.0,nan,3160.0
1980-05-26,3625500.0,nan,3190.0
1980-05-27,3697300.0,nan,3190.0
1980-05-28,3763100.0,nan,3180.0
1980-05-29,3824000.0,nan,3140.0
1980-05-30,3880700.0,nan,3180.0
1980-05-31,3935000.0,nan,3150.0
1980-06-01,3992500.0,nan,3160.0
1980-06-02,4052800.0,nan,3900.0
1980-06-03,4109100.0,nan,4340.0
1980-06-04,4164400.0,nan,5000.0
1980-06-05,4215800.0,nan,4950.0
1980-06-06,4259800.0,nan,6940.0
1980-06-07,4298900.0,nan,8540.0
1980-06-08,4334200.0,nan,8670.0
1980-06-09,4354400.0,nan,16700.0
1980-06-10,4375400.0,nan,19700.0
1980-06-11,4407600.0,nan,19900.0
1980-06-12,4437890.0,nan,19900.0
1980-06-13,4477800.0,nan,16400.0
1980-06-14,4528300.0,nan,7430.0
1980-06-15,4582700.0,nan,4850.0
1980-06-16,4623900.0,nan,13300.0
1980-06-17,4651100.0,nan,19200.0
1980-06-18,4674300.0,nan,22800.0
1980-06-19,4687300.0,nan,27700.0
1980-06-20,4685400.0,nan,29300.0
1980-06-21,4681400.0,nan,29000.0
1980-06-22,4676900.0,nan,28600.0
1980-06-23,4671500.0,nan,28400.0
1980-06-24,4676900.0,nan,25900.0
1980-06-25,4680600.0,nan,19300.0
1980-06-26,4683200.0,nan,19200.0
1980-06-27,4703400.0,nan,10100.0
1980-06-28,4730600.0,nan,5440.0
1980-06-29,4755400.0,nan,4180.0
1980-06-30,4779000.0,nan,5170.0
1980-07-01,4801200.0,nan,4190.0
1980-07-02,4821800.0,nan,4160.0
1980-07-03,4842800.0,nan,4180.0
1980-07-04,4864600.0,nan,4190.0
1980-07-05,4884700.0,nan,4200.0
1980-07-06,4903700.0,nan,4190.0
1980-07-07,4916200.0,nan,7340.0
1980-07-08,4914390.0,nan,13400.0
1980-07-09,4914400.0,nan,14400.0
1980-07-10,4910700.0,nan,13800.0
1980-07-11,4915400.0,nan,14300.0
1980-07-12,4921800.0,nan,11100.0
1980-07-13,4919800.0,nan,13300.0
1980-07-14,4911590.0,nan,15600.0
1980-07-15,4908500.0,nan,14400.0
1980-07-16,4905700.0,nan,13800.0
1980-07-17,4901500.0,nan,15000.0
1980-07-18,4899300.0,nan,14300.0
1980-07-19,4908900.0,nan,6000.0
1980-07-20,4921400.0,nan,4330.0
1980-07-21,4918000.0,nan,13500.0
1980-07-22,4904900.0,nan,15500.0
1980-07-23,4898400.0,nan,14700.0
1980-07-24,4898000.0,nan,11000.0
1980-07-25,4899000.0,nan,9330.0
1980-07-26,4907900.0,nan,6230.0
1980-07-27,4917600.0,nan,4010.0
1980-07-28,4917200.0,nan,8390.0
1980-07-29,4909500.0,nan,12600.0
1980-07-30,4899000.0,nan,14000.0
1980-07-31,4887800.0,nan,13900.0
1980-08-01,4886500.0,nan,8750.0
1980-08-02,4892400.0,nan,3990.0
1980-08-03,4901100.0,nan,3950.0
1980-08-04,4901500.0,nan,8710.0
1980-08-05,4902890.0,nan,8910.0
1980-08-06,4899000.0,nan,9210.0
1980-08-07,4895600.0,nan,9270.0
1980-08-08,4898400.0,nan,8850.0
1980-08-09,4900100.0,nan,4090.0
1980-08-10,4908900.0,nan,4030.0
1980-08-11,4909700.0,nan,8680.0
1980-08-12,4905700.0,nan,8160.0
1980-08-13,4906100.0,nan,8170.0
1980-08-14,4906100.0,nan,8190.0
1980-08-15,4905300.0,nan,8160.0
1980-08-16,4910700.0,nan,4120.0
1980-08-17,4917600.0,nan,4090.0
1980-08-18,4918600.0,nan,9130.0
1980-08-19,4915590.0,nan,9710.0
1980-08-20,4012600.0,nan,12200.0
1980-08-21,4903500.0,nan,12000.0
1980-08-22,4895200.0,nan,11000.0
1980-08-23,4889590.0,nan,10300.0
1980-08-24,4895200.0,nan,4270.0
1980-08-25,4895600.0,nan,5670.0
1980-08-26,4897600.0,nan,5070.0
1980-08-27,4901100.0,nan,4690.0
1980-08-28,4894200.0,nan,8700.0
1980-08-29,4885700.0,nan,10500.0
1980-08-30,4878300.0,nan,9510.0
1980-08-31,4881900.0,nan,4290.0
1980-09-01,4884100.0,nan,4080.0
1980-09-02,4887100.0,nan,5380.0
1980-09-03,4892000.0,nan,4750.0
1980-09-04,4894800.0,nan,4710.0
1980-09-05,4894200.0,nan,6610.0
1980-09-06,4891600.0,nan,7510.0
1980-09-07,4889590.0,nan,6190.0
1980-09-08,4878300.0,nan,12600.0
1980-09-09,4865000.0,nan,12800.0
1980-09-10,4850800.0,nan,12600.0
1980-09-11,4837300.0,nan,12500.0
1980-09-12,4829500.0,nan,11100.0
1980-09-13,4832300.0,nan,4460.0
1980-09-14,4829100.0,nan,4030.0
1980-09-15,4835500.0,nan,3620.0
1980-09-16,4833700.0,nan,6440.0
1980-09-17,4839300.0,nan,4150.0
1980-09-18,4841390.0,nan,4150.0
1980-09-19,4843200.0,nan,4180.0
1980-09-20,4847200.0,nan,4170.0
1980-09-21,4850600.0,nan,5480.0
1980-09-22,4841000.0,nan,12000.0
1980-09-23,4843200.0,nan,6030.0
1980-09-24,4847000.0,nan,4290.0
1980-09-25,4833300.0,nan,13000.0
1980-09-26,4820000.0,nan,12800.0
1980-09-27,4813300.0,nan,8870.0
1980-09-28,4812300.0,nan,5300.0
1980-09-29,4800600.0,nan,11900.0
1980-09-30,4787890.0,nan,13000.0
1980-10-01,4774390.0,nan,14500.0
1980-10-02,4762500.0,nan,13200.0
1980-10-03,4748600.0,nan,13900.0
1980-10-04,4735600.0,nan,13300.0
1980-10-05,4738500.0,nan,4260.0
1980-10-06,4723500.0,nan,13600.0
1980-10-07,4709590.0,nan,13900.0
1980-10-08,4695700.0,nan,14000.0
1980-10-09,4677800.0,nan,14400.0
1980-10-10,4653900.0,nan,18900.0
1980-10-11,4637600.0,nan,13000.0
1980-10-12,4632400.0,nan,7230.0
1980-10-13,4619900.0,nan,13000.0
1980-10-14,4602300.0,nan,14400.0
1980-10-15,4575100.0,nan,19400.0
1980-10-16,4544800.0,nan,19300.0
1980-10-17,4518000.0,nan,19500.0
1980-10-18,4489890.0,nan,19600.0
1980-10-19,4461900.0,nan,19600.0
1980-10-20,4437500.0,nan,18100.0
1980-10-21,4424800.0,nan,14200.0
1980-10-22,4408800.0,nan,10900.0
1980-10-23,4383400.0,nan,19800.0
1980-10-24,4376000.0,nan,8090.0
1980-10-25,4374600.0,nan,3970.0
1980-10-26,4375400.0,nan,3980.0
1980-10-27,4355590.0,nan,14000.0
1980-10-28,4326300.0,nan,19900.0
1980-10-29,4297500.0,nan,19900.0
1980-10-30,4272700.0,nan,18200.0
1980-10-31,4252300.0,nan,14700.0
1980-11-01,4232700.0,nan,13700.0
1980-11-02,4217400.0,nan,12800.0
1980-11-03,4198800.0,nan,14600.0
1980-11-04,4167800.0,nan,20200.0
1980-11-05,4141800.0,nan,19600.0
1980-11-06,4125600.0,nan,13400.0
1980-11-07,4110300.0,nan,13600.0
1980-11-08,4092900.0,nan,13800.0
1980-11-09,4078600.0,nan,13800.0
1980-11-10,4063700.0,nan,14500.0
1980-11-11,4047500.0,nan,13900.0
1980-11-12,4030400.0,nan,14400.0
1980-11-13,4011200.0,nan,14900.0
1980-11-14,3990900.0,nan,15100.0
1980-11-15,3969500.0,nan,14900.0
