date,s_af,i_cfs,r_cfs
1980-01-01,2530.0,nan,14.0
1980-01-02,2530.0,nan,13.0
1980-01-03,2530.0,nan,13.0
1980-01-04,2490.0,nan,12.0
1980-01-05,2490.0,nan,9.9
1980-01-06,2450.0,nan,11.0
1980-01-07,2450.0,nan,27.0
1980-01-08,2450.0,nan,13.0
1980-01-09,2400.0,nan,10.0
1980-01-10,2400.0,nan,9.1
1980-01-11,2400.0,nan,6.5
1980-01-12,2400.0,nan,6.5
1980-01-13,2360.0,nan,6.2
1980-01-14,2360.0,nan,5.6
1980-01-15,2400.0,nan,6.1
1980-01-16,2400.0,nan,7.5
1980-01-17,2450.0,nan,7.0
1980-01-18,2630.0,nan,7.4
1980-01-19,2870.0,nan,12.0
1980-01-20,3370.0,nan,12.0
1980-01-21,3840.0,nan,87.0
1980-01-22,3420.0,nan,323.0
1980-01-23,2820.0,nan,164.0
1980-01-24,2820.0,nan,26.0
1980-01-25,2820.0,nan,17.0
1980-01-26,2870.0,nan,12.0
1980-01-27,2920.0,nan,13.0
1980-01-28,2970.0,nan,13.0
1980-01-29,3030.0,nan,13.0
1980-01-30,3030.0,nan,13.0
1980-01-31,3030.0,nan,13.0
1980-02-01,3030.0,nan,13.0
1980-02-02,3080.0,nan,13.0
1980-02-03,3140.0,nan,13.0
1980-02-04,3190.0,nan,13.0
1980-02-05,3250.0,nan,12.0
1980-02-06,3310.0,nan,12.0
1980-02-07,3310.0,nan,13.0
1980-02-08,3310.0,nan,12.0
1980-02-09,3310.0,nan,12.0
1980-02-10,3310.0,nan,12.0
1980-02-11,3310.0,nan,11.0
1980-02-12,3310.0,nan,13.0
1980-02-13,3310.0,nan,13.0
1980-02-14,3310.0,nan,13.0
1980-02-15,3310.0,nan,13.0
1980-02-16,3480.0,nan,15.0
1980-02-17,3600.0,nan,15.0
1980-02-18,3660.0,nan,14.0
1980-02-19,3720.0,nan,15.0
1980-02-20,3840.0,nan,18.0
1980-02-21,4100.0,nan,42.0
1980-02-22,5118.0,nan,34.0
1980-02-23,6322.0,nan,32.0
1980-02-24,7270.0,nan,37.0
1980-02-25,8008.0,nan,40.0
1980-02-26,8122.0,nan,40.0
1980-02-27,8226.0,nan,46.0
1980-02-28,8348.0,nan,49.0
1980-02-29,8350.0,nan,70.0
1980-03-01,8230.0,nan,115.0
1980-03-02,8114.0,nan,114.0
1980-03-03,8012.0,nan,114.0
1980-03-04,7896.0,nan,113.0
1980-03-05,7790.0,nan,112.0
1980-03-06,7684.0,nan,108.0
1980-03-07,7588.0,nan,107.0
1980-03-08,7580.0,nan,104.0
1980-03-09,7582.0,nan,104.0
1980-03-10,7575.0,nan,105.0
1980-03-11,7628.0,nan,103.0
1980-03-12,7681.0,nan,102.0
1980-03-13,7683.0,nan,103.0
1980-03-14,7687.0,nan,108.0
1980-03-15,8121.0,nan,122.0
1980-03-16,8791.0,nan,120.0
1980-03-17,9138.0,nan,120.0
1980-03-18,9140.0,nan,117.0
1980-03-19,9022.0,nan,116.0
1980-03-20,8905.0,nan,111.0
1980-03-21,8905.0,nan,109.0
1980-03-22,8905.0,nan,109.0
1980-03-23,8905.0,nan,109.0
1980-03-24,8905.0,nan,130.0
1980-03-25,9619.0,nan,125.0
1980-03-26,9869.0,nan,121.0
1980-03-27,9999.0,nan,118.0
1980-03-28,10001.0,nan,119.0
1980-03-29,10121.0,nan,131.0
1980-03-30,12907.0,nan,742.0
1980-03-31,18734.0,nan,244.0
1980-04-01,19674.0,nan,235.0
1980-04-02,19107.0,nan,423.0
1980-04-03,19680.0,nan,438.0
1980-04-04,18918.0,nan,517.0
1980-04-05,18732.0,nan,506.0
1980-04-06,17834.0,nan,497.0
1980-04-07,16980.0,nan,489.0
1980-04-08,15919.0,nan,492.0
1980-04-09,14928.0,nan,475.0
1980-04-10,13842.0,nan,458.0
1980-04-11,12784.0,nan,450.0
1980-04-12,11729.0,nan,444.0
1980-04-13,10670.0,nan,438.0
1980-04-14,10525.0,nan,429.0
1980-04-15,9617.0,nan,410.0
1980-04-16,8789.0,nan,401.0
1980-04-17,8009.0,nan,391.0
1980-04-18,7066.0,nan,270.0
1980-04-19,6851.0,nan,88.0
1980-04-20,6870.0,nan,88.0
1980-04-21,6775.0,nan,81.0
1980-04-22,6682.0,nan,81.0
1980-04-23,6587.0,nan,83.0
1980-04-24,6500.0,nan,80.0
1980-04-25,6500.0,nan,56.0
1980-04-26,6500.0,nan,42.0
1980-04-27,6500.0,nan,42.0
1980-04-28,6407.0,nan,42.0
1980-04-29,6411.0,nan,42.0
1980-04-30,6411.0,nan,41.0
1980-05-01,6411.0,nan,40.0
1980-05-02,6322.0,nan,27.0
1980-05-03,6411.0,nan,18.0
1980-05-04,6411.0,nan,18.0
1980-05-05,6411.0,nan,17.0
1980-05-06,6411.0,nan,17.0
1980-05-07,6411.0,nan,16.0
1980-05-08,6411.0,nan,17.0
1980-05-09,6411.0,nan,17.0
1980-05-10,6411.0,nan,20.0
1980-05-11,6411.0,nan,19.0
1980-05-12,6500.0,nan,20.0
1980-05-13,6500.0,nan,20.0
1980-05-14,6500.0,nan,20.0
1980-05-15,6500.0,nan,19.0
1980-05-16,6500.0,nan,20.0
1980-05-17,6587.0,nan,27.0
1980-05-18,6686.0,nan,20.0
1980-05-19,6773.0,nan,17.0
1980-05-20,6777.0,nan,17.0
1980-05-21,6777.0,nan,17.0
1980-05-22,6777.0,nan,18.0
1980-05-23,6777.0,nan,19.0
1980-05-24,6777.0,nan,20.0
1980-05-25,6777.0,nan,20.0
1980-05-26,6777.0,nan,23.0
1980-05-27,6872.0,nan,25.0
1980-05-28,6872.0,nan,22.0
1980-05-29,6872.0,nan,22.0
1980-05-30,6777.0,nan,21.0
1980-05-31,6777.0,nan,137.0
1980-06-01,10386.0,nan,77.0
1980-06-02,11057.0,nan,112.0
1980-06-03,10928.0,nan,167.0
1980-06-04,10799.0,nan,15.0
1980-06-05,10799.0,nan,14.0
1980-06-06,10799.0,nan,15.0
1980-06-07,10799.0,nan,15.0
