date,s_af,i_cfs,r_cfs
1980-01-01,nan,nan,127.0
1980-01-02,nan,nan,3320.0
1980-01-03,nan,nan,1210.0
1980-01-04,nan,nan,3210.0
1980-01-05,nan,nan,2000.0
1980-01-06,nan,nan,1090.0
1980-01-07,nan,nan,2460.0
1980-01-08,nan,nan,130.0
1980-01-09,nan,nan,4440.0
1980-01-10,nan,nan,3250.0
1980-01-11,nan,nan,2510.0
1980-01-12,nan,nan,127.0
1980-01-13,nan,nan,127.0
1980-01-14,nan,nan,129.0
1980-01-15,nan,nan,273.0
1980-01-16,nan,nan,621.0
1980-01-17,nan,nan,494.0
1980-01-18,nan,nan,502.0
1980-01-19,nan,nan,642.0
1980-01-20,nan,nan,125.0
1980-01-21,nan,nan,126.0
1980-01-22,nan,nan,245.0
1980-01-23,nan,nan,127.0
1980-01-24,nan,nan,125.0
1980-01-25,nan,nan,420.0
1980-01-26,nan,nan,186.0
1980-01-27,nan,nan,240.0
1980-01-28,nan,nan,1480.0
1980-01-29,nan,nan,660.0
1980-01-30,nan,nan,1250.0
1980-01-31,nan,nan,4810.0
1980-02-01,nan,nan,1440.0
1980-02-02,nan,nan,650.0
1980-02-03,nan,nan,822.0
1980-02-04,nan,nan,800.0
1980-02-05,nan,nan,595.0
1980-02-06,nan,nan,953.0
1980-02-07,nan,nan,1150.0
1980-02-08,nan,nan,1550.0
1980-02-09,nan,nan,138.0
1980-02-10,nan,nan,136.0
1980-02-11,nan,nan,1330.0
1980-02-12,nan,nan,2070.0
1980-02-13,nan,nan,886.0
1980-02-14,nan,nan,1200.0
1980-02-15,nan,nan,2500.0
1980-02-16,nan,nan,1620.0
1980-02-17,nan,nan,3200.0
1980-02-18,nan,nan,6070.0
1980-02-19,nan,nan,2040.0
1980-02-20,nan,nan,258.0
1980-02-21,nan,nan,124.0
1980-02-22,nan,nan,124.0
1980-02-23,nan,nan,125.0
1980-02-24,nan,nan,127.0
1980-02-25,nan,nan,2830.0
1980-02-26,nan,nan,1440.0
1980-02-27,nan,nan,791.0
1980-02-28,nan,nan,2670.0
1980-02-29,nan,nan,4730.0
1980-03-01,nan,nan,7350.0
1980-03-02,nan,nan,4830.0
1980-03-03,nan,nan,6630.0
1980-03-04,nan,nan,5810.0
1980-03-05,nan,nan,6660.0
1980-03-06,nan,nan,4430.0
1980-03-07,nan,nan,3600.0
1980-03-08,nan,nan,599.0
1980-03-09,nan,nan,124.0
1980-03-10,nan,nan,2010.0
1980-03-11,nan,nan,3500.0
1980-03-12,nan,nan,3820.0
1980-03-13,nan,nan,1900.0
1980-03-14,nan,nan,303.0
1980-03-15,nan,nan,124.0
1980-03-16,nan,nan,122.0
1980-03-17,nan,nan,3780.0
1980-03-18,nan,nan,2590.0
1980-03-19,nan,nan,1820.0
1980-03-20,nan,nan,2390.0
1980-03-21,nan,nan,971.0
1980-03-22,nan,nan,126.0
1980-03-23,nan,nan,732.0
1980-03-24,nan,nan,395.0
1980-03-25,nan,nan,1560.0
1980-03-26,nan,nan,2340.0
1980-03-27,nan,nan,2540.0
1980-03-28,nan,nan,292.0
1980-03-29,nan,nan,1090.0
1980-03-30,nan,nan,125.0
1980-03-31,nan,nan,126.0
1980-04-01,nan,nan,185.0
1980-04-02,nan,nan,123.0
1980-04-03,nan,nan,449.0
1980-04-04,nan,nan,1510.0
1980-04-05,nan,nan,699.0
1980-04-06,nan,nan,568.0
1980-04-07,nan,nan,4290.0
1980-04-08,nan,nan,6270.0
1980-04-09,nan,nan,7110.0
1980-04-10,nan,nan,5090.0
1980-04-11,nan,nan,6930.0
1980-04-12,nan,nan,5330.0
1980-04-13,nan,nan,3540.0
1980-04-14,nan,nan,6250.0
1980-04-15,nan,nan,1630.0
1980-04-16,nan,nan,2220.0
1980-04-17,nan,nan,3110.0
1980-04-18,nan,nan,1400.0
1980-04-19,nan,nan,123.0
1980-04-20,nan,nan,122.0
1980-04-21,nan,nan,5100.0
1980-04-22,nan,nan,2690.0
1980-04-23,nan,nan,2610.0
1980-04-24,nan,nan,516.0
1980-04-25,nan,nan,1750.0
1980-04-26,nan,nan,127.0
1980-04-27,nan,nan,125.0
1980-04-28,nan,nan,1980.0
1980-04-29,nan,nan,2330.0
1980-04-30,nan,nan,1770.0
1980-05-01,nan,nan,453.0
1980-05-02,nan,nan,4450.0
1980-05-03,nan,nan,3730.0
1980-05-04,nan,nan,3920.0
1980-05-05,nan,nan,1390.0
1980-05-06,nan,nan,1800.0
1980-05-07,nan,nan,1610.0
1980-05-08,nan,nan,1780.0
1980-05-09,nan,nan,1950.0
1980-05-10,nan,nan,1500.0
1980-05-11,nan,nan,1430.0
1980-05-12,nan,nan,3180.0
1980-05-13,nan,nan,3540.0
1980-05-14,nan,nan,6940.0
1980-05-15,nan,nan,5600.0
1980-05-16,nan,nan,5130.0
1980-05-17,nan,nan,4530.0
1980-05-18,nan,nan,1500.0
1980-05-19,nan,nan,1760.0
1980-05-20,nan,nan,813.0
1980-05-21,nan,nan,1840.0
1980-05-22,nan,nan,1390.0
1980-05-23,nan,nan,1500.0
1980-05-24,nan,nan,1070.0
1980-05-25,nan,nan,1630.0
1980-05-26,nan,nan,386.0
1980-05-27,nan,nan,1990.0
1980-05-28,nan,nan,2200.0
1980-05-29,nan,nan,571.0
1980-05-30,nan,nan,513.0
1980-05-31,nan,nan,2930.0
1980-06-01,nan,nan,4270.0
1980-06-02,nan,nan,9150.0
1980-06-03,nan,nan,4080.0
1980-06-04,nan,nan,4360.0
1980-06-05,nan,nan,6760.0
1980-06-06,nan,nan,5620.0
1980-06-07,nan,nan,4860.0
1980-06-08,nan,nan,594.0
1980-06-09,nan,nan,256.0
1980-06-10,nan,nan,961.0
1980-06-11,nan,nan,326.0
1980-06-12,nan,nan,827.0
1980-06-13,nan,nan,2090.0
1980-06-14,nan,nan,6230.0
1980-06-15,nan,nan,2360.0
1980-06-16,nan,nan,1580.0
1980-06-17,nan,nan,1510.0
1980-06-18,nan,nan,5510.0
1980-06-19,nan,nan,4760.0
1980-06-20,nan,nan,1900.0
1980-06-21,nan,nan,5700.0
1980-06-22,nan,nan,200.0
1980-06-23,nan,nan,4810.0
1980-06-24,nan,nan,3380.0
1980-06-25,nan,nan,8070.0
1980-06-26,nan,nan,8210.0
1980-06-27,nan,nan,8490.0
1980-06-28,nan,nan,8690.0
1980-06-29,nan,nan,4870.0
1980-06-30,nan,nan,6490.0
1980-07-01,nan,nan,8330.0
1980-07-02,nan,nan,2710.0
1980-07-03,nan,nan,6070.0
1980-07-04,nan,nan,6560.0
1980-07-05,nan,nan,5400.0
1980-07-06,nan,nan,5330.0
1980-07-07,nan,nan,5500.0
1980-07-08,nan,nan,6190.0
1980-07-09,nan,nan,5970.0
1980-07-10,nan,nan,7450.0
1980-07-11,nan,nan,7180.0
1980-07-12,nan,nan,6990.0
1980-07-13,nan,nan,4000.0
1980-07-14,nan,nan,8460.0
1980-07-15,nan,nan,6720.0
1980-07-16,nan,nan,6180.0
1980-07-17,nan,nan,5400.0
1980-07-18,nan,nan,5450.0
1980-07-19,nan,nan,5390.0
1980-07-20,nan,nan,3920.0
1980-07-21,nan,nan,505.0
1980-07-22,nan,nan,445.0
1980-07-23,nan,nan,298.0
1980-07-24,nan,nan,268.0
1980-07-25,nan,nan,665.0
1980-07-26,nan,nan,545.0
1980-07-27,nan,nan,238.0
1980-07-28,nan,nan,1250.0
1980-07-29,nan,nan,3580.0
1980-07-30,nan,nan,5590.0
1980-07-31,nan,nan,4440.0
1980-08-01,nan,nan,4910.0
1980-08-02,nan,nan,2560.0
1980-08-03,nan,nan,250.0
1980-08-04,nan,nan,460.0
1980-08-05,nan,nan,2350.0
1980-08-06,nan,nan,4820.0
1980-08-07,nan,nan,5670.0
1980-08-08,nan,nan,6760.0
1980-08-09,nan,nan,4850.0
1980-08-10,nan,nan,3450.0
1980-08-11,nan,nan,6480.0
1980-08-12,nan,nan,3670.0
1980-08-13,nan,nan,2100.0
1980-08-14,nan,nan,973.0
1980-08-15,nan,nan,1140.0
1980-08-16,nan,nan,2760.0
1980-08-17,nan,nan,358.0
1980-08-18,nan,nan,2940.0
1980-08-19,nan,nan,5610.0
1980-08-20,nan,nan,5910.0
1980-08-21,nan,nan,3180.0
1980-08-22,nan,nan,626.0
1980-08-23,nan,nan,299.0
