date,s_af,i_cfs,r_cfs
1980-01-01,41000.0,nan,nan
1980-01-02,41000.0,nan,nan
1980-01-03,41000.0,nan,nan
1980-01-04,41000.0,nan,nan
1980-01-05,41000.0,nan,nan
1980-01-06,41000.0,nan,nan
1980-01-07,41000.0,nan,nan
1980-01-08,41000.0,nan,nan
1980-01-09,41000.0,nan,nan
1980-01-10,41000.0,nan,nan
1980-01-11,41491.0,nan,nan
1980-01-12,41197.0,nan,nan
1980-01-13,41197.0,nan,nan
1980-01-14,41884.0,nan,nan
1980-01-15,42179.0,nan,nan
1980-01-16,41000.0,nan,nan
1980-01-17,41000.0,nan,nan
1980-01-18,42081.0,nan,nan
1980-01-19,41884.0,nan,nan
1980-01-20,40953.0,nan,nan
1980-01-21,41197.0,nan,nan
1980-01-22,41098.0,nan,nan
1980-01-23,40953.0,nan,nan
1980-01-24,41000.0,nan,nan
1980-01-25,41197.0,nan,nan
1980-01-26,41000.0,nan,nan
1980-01-27,41000.0,nan,nan
1980-01-28,41000.0,nan,nan
1980-01-29,41000.0,nan,nan
1980-01-30,41000.0,nan,nan
1980-01-31,41000.0,nan,nan
1980-02-01,40953.0,nan,nan
1980-02-02,40953.0,nan,nan
1980-02-03,41000.0,nan,nan
1980-02-04,41098.0,nan,nan
1980-02-05,41000.0,nan,nan
1980-02-06,41098.0,nan,nan
1980-02-07,41000.0,nan,nan
1980-02-08,41000.0,nan,nan
1980-02-09,41000.0,nan,nan
1980-02-10,41000.0,nan,nan
1980-02-11,41000.0,nan,nan
1980-02-12,41000.0,nan,nan
1980-02-13,41000.0,nan,nan
1980-02-14,41000.0,nan,nan
1980-02-15,41197.0,nan,nan
1980-02-16,41295.0,nan,nan
1980-02-17,41098.0,nan,nan
1980-02-18,41000.0,nan,nan
1980-02-19,41000.0,nan,nan
1980-02-20,41000.0,nan,nan
1980-02-21,41000.0,nan,nan
1980-02-22,41000.0,nan,nan
1980-02-23,41000.0,nan,nan
1980-02-24,41000.0,nan,nan
1980-02-25,41000.0,nan,nan
1980-02-26,41000.0,nan,nan
1980-02-27,40953.0,nan,nan
1980-02-28,41000.0,nan,nan
1980-02-29,41000.0,nan,nan
1980-03-01,41000.0,nan,nan
1980-03-02,41000.0,nan,nan
1980-03-03,41000.0,nan,nan
1980-03-04,41000.0,nan,nan
1980-03-05,41197.0,nan,nan
1980-03-06,41000.0,nan,nan
1980-03-07,41000.0,nan,nan
1980-03-08,41491.0,nan,nan
1980-03-09,41590.0,nan,nan
1980-03-10,41098.0,nan,nan
1980-03-11,41000.0,nan,nan
1980-03-12,41000.0,nan,nan
1980-03-13,41197.0,nan,nan
1980-03-14,41000.0,nan,nan
1980-03-15,41000.0,nan,nan
1980-03-16,41000.0,nan,nan
1980-03-17,44213.0,nan,nan
1980-03-18,45149.0,nan,nan
1980-03-19,42081.0,nan,nan
1980-03-20,41688.0,nan,nan
1980-03-21,48425.0,nan,nan
1980-03-22,43823.0,nan,nan
1980-03-23,41295.0,nan,nan
1980-03-24,41983.0,nan,nan
1980-03-25,41688.0,nan,nan
1980-03-26,41197.0,nan,nan
1980-03-27,41000.0,nan,nan
1980-03-28,41786.0,nan,nan
1980-03-29,44213.0,nan,nan
1980-03-30,44525.0,nan,nan
1980-03-31,42179.0,nan,nan
1980-04-01,41098.0,nan,nan
1980-04-02,41000.0,nan,nan
1980-04-03,41000.0,nan,nan
1980-04-04,41000.0,nan,nan
1980-04-05,41000.0,nan,nan
1980-04-06,41000.0,nan,nan
1980-04-07,41000.0,nan,nan
1980-04-08,48425.0,nan,nan
1980-04-09,58877.0,nan,nan
1980-04-10,53729.0,nan,nan
1980-04-11,47489.0,nan,nan
1980-04-12,44915.0,nan,nan
1980-04-13,47255.0,nan,nan
1980-04-14,66987.0,nan,nan
