date,s_af,i_cfs,r_cfs
1980-01-01,nan,nan,30.0
1980-01-02,nan,nan,29.0
1980-01-03,nan,nan,28.0
1980-01-04,nan,nan,25.0
1980-01-05,nan,nan,24.0
1980-01-06,nan,nan,22.0
1980-01-07,nan,nan,21.0
1980-01-08,nan,nan,21.0
1980-01-09,nan,nan,21.0
1980-01-10,nan,nan,19.0
1980-01-11,nan,nan,18.0
1980-01-12,nan,nan,37.0
1980-01-13,nan,nan,52.0
1980-01-14,nan,nan,48.0
1980-01-15,nan,nan,42.0
1980-01-16,nan,nan,39.0
1980-01-17,nan,nan,36.0
1980-01-18,nan,nan,33.0
1980-01-19,nan,nan,33.0
1980-01-20,nan,nan,32.0
1980-01-21,nan,nan,29.0
1980-01-22,nan,nan,26.0
1980-01-23,nan,nan,25.0
1980-01-24,nan,nan,24.0
1980-01-25,nan,nan,22.0
1980-01-26,nan,nan,20.0
1980-01-27,nan,nan,18.0
1980-01-28,nan,nan,17.0
1980-01-29,nan,nan,17.0
1980-01-30,nan,nan,16.0
1980-01-31,nan,nan,16.0
1980-02-01,nan,nan,15.0
1980-02-02,nan,nan,13.0
1980-02-03,nan,nan,12.0
1980-02-04,nan,nan,12.0
1980-02-05,nan,nan,12.0
1980-02-06,nan,nan,12.0
1980-02-07,nan,nan,11.0
1980-02-08,nan,nan,11.0
1980-02-09,nan,nan,11.0
1980-02-10,nan,nan,11.0
1980-02-11,nan,nan,11.0
1980-02-12,nan,nan,11.0
1980-02-13,nan,nan,11.0
1980-02-14,nan,nan,11.0
1980-02-15,nan,nan,11.0
1980-02-16,nan,nan,12.0
1980-02-17,nan,nan,13.0
1980-02-18,nan,nan,14.0
1980-02-19,nan,nan,14.0
1980-02-20,nan,nan,14.0
1980-02-21,nan,nan,14.0
1980-02-22,nan,nan,14.0
1980-02-23,nan,nan,16.0
1980-02-24,nan,nan,18.0
1980-02-25,nan,nan,18.0
1980-02-26,nan,nan,19.0
1980-02-27,nan,nan,18.0
1980-02-28,nan,nan,17.0
1980-02-29,nan,nan,14.0
1980-03-01,nan,nan,12.0
1980-03-02,nan,nan,12.0
1980-03-03,nan,nan,11.0
1980-03-04,nan,nan,10.0
1980-03-05,nan,nan,10.0
1980-03-06,nan,nan,11.0
1980-03-07,nan,nan,12.0
1980-03-08,nan,nan,19.0
1980-03-09,nan,nan,39.0
1980-03-10,nan,nan,39.0
1980-03-11,nan,nan,45.0
1980-03-12,nan,nan,56.0
1980-03-13,nan,nan,44.0
1980-03-14,nan,nan,38.0
1980-03-15,nan,nan,41.0
1980-03-16,nan,nan,38.0
1980-03-17,nan,nan,34.0
1980-03-18,nan,nan,82.0
1980-03-19,nan,nan,148.0
1980-03-20,nan,nan,145.0
1980-03-21,nan,nan,108.0
1980-03-22,nan,nan,8.7
1980-03-23,nan,nan,46.0
1980-03-24,nan,nan,199.0
1980-03-25,nan,nan,352.0
1980-03-26,nan,nan,356.0
1980-03-27,nan,nan,328.0
1980-03-28,nan,nan,204.0
1980-03-29,nan,nan,119.0
1980-03-30,nan,nan,106.0
1980-03-31,nan,nan,121.0
1980-04-01,nan,nan,127.0
1980-04-02,nan,nan,119.0
1980-04-03,nan,nan,105.0
1980-04-04,nan,nan,96.0
1980-04-05,nan,nan,119.0
1980-04-06,nan,nan,136.0
1980-04-07,nan,nan,121.0
1980-04-08,nan,nan,100.0
1980-04-09,nan,nan,76.0
1980-04-10,nan,nan,115.0
1980-04-11,nan,nan,246.0
1980-04-12,nan,nan,229.0
1980-04-13,nan,nan,192.0
1980-04-14,nan,nan,133.0
1980-04-15,nan,nan,131.0
1980-04-16,nan,nan,145.0
1980-04-17,nan,nan,124.0
1980-04-18,nan,nan,107.0
1980-04-19,nan,nan,94.0
1980-04-20,nan,nan,82.0
1980-04-21,nan,nan,73.0
1980-04-22,nan,nan,67.0
1980-04-23,nan,nan,58.0
1980-04-24,nan,nan,56.0
1980-04-25,nan,nan,53.0
1980-04-26,nan,nan,52.0
1980-04-27,nan,nan,52.0
1980-04-28,nan,nan,44.0
1980-04-29,nan,nan,70.0
1980-04-30,nan,nan,151.0
1980-05-01,nan,nan,155.0
1980-05-02,nan,nan,128.0
1980-05-03,nan,nan,102.0
1980-05-04,nan,nan,86.0
1980-05-05,nan,nan,74.0
1980-05-06,nan,nan,65.0
1980-05-07,nan,nan,50.0
1980-05-08,nan,nan,57.0
1980-05-09,nan,nan,79.0
1980-05-10,nan,nan,87.0
1980-05-11,nan,nan,84.0
1980-05-12,nan,nan,73.0
1980-05-13,nan,nan,64.0
1980-05-14,nan,nan,61.0
1980-05-15,nan,nan,58.0
1980-05-16,nan,nan,52.0
1980-05-17,nan,nan,47.0
1980-05-18,nan,nan,44.0
1980-05-19,nan,nan,42.0
1980-05-20,nan,nan,41.0
1980-05-21,nan,nan,38.0
1980-05-22,nan,nan,42.0
1980-05-23,nan,nan,42.0
1980-05-24,nan,nan,37.0
1980-05-25,nan,nan,31.0
1980-05-26,nan,nan,27.0
1980-05-27,nan,nan,24.0
1980-05-28,nan,nan,22.0
1980-05-29,nan,nan,20.0
1980-05-30,nan,nan,19.0
1980-05-31,nan,nan,19.0
1980-06-01,nan,nan,18.0
1980-06-02,nan,nan,18.0
1980-06-03,nan,nan,23.0
1980-06-04,nan,nan,25.0
1980-06-05,nan,nan,25.0
1980-06-06,nan,nan,23.0
1980-06-07,nan,nan,22.0
1980-06-08,nan,nan,27.0
1980-06-09,nan,nan,29.0
1980-06-10,nan,nan,27.0
1980-06-11,nan,nan,26.0
1980-06-12,nan,nan,23.0
1980-06-13,nan,nan,19.0
1980-06-14,nan,nan,17.0
1980-06-15,nan,nan,15.0
1980-06-16,nan,nan,23.0
1980-06-17,nan,nan,29.0
1980-06-18,nan,nan,21.0
1980-06-19,nan,nan,17.0
1980-06-20,nan,nan,14.0
1980-06-21,nan,nan,14.0
1980-06-22,nan,nan,13.0
1980-06-23,nan,nan,12.0
1980-06-24,nan,nan,11.0
1980-06-25,nan,nan,9.5
1980-06-26,nan,nan,8.8
1980-06-27,nan,nan,7.9
1980-06-28,nan,nan,7.6
1980-06-29,nan,nan,8.5
1980-06-30,nan,nan,30.0
1980-07-01,nan,nan,41.0
1980-07-02,nan,nan,36.0
1980-07-03,nan,nan,29.0
1980-07-04,nan,nan,23.0
1980-07-05,nan,nan,17.0
