date,s_af,i_cfs,r_cfs
1980-01-01,238306.0,nan,7.1
1980-01-02,238310.0,nan,7.1
1980-01-03,238218.0,nan,7.0
1980-01-04,238300.0,nan,6.6
1980-01-05,238304.0,nan,6.7
1980-01-06,238307.0,nan,6.7
1980-01-07,238309.0,nan,6.7
1980-01-08,238130.0,nan,6.7
1980-01-09,238074.0,nan,6.7
1980-01-10,238108.0,nan,6.8
1980-01-11,238218.0,nan,6.8
1980-01-12,238195.0,nan,6.8
1980-01-13,238174.0,nan,7.0
1980-01-14,238042.0,nan,7.1
1980-01-15,238124.0,nan,8.1
1980-01-16,238292.0,nan,8.7
1980-01-17,238747.0,nan,8.8
1980-01-18,238394.0,nan,8.8
1980-01-19,238745.0,nan,8.8
1980-01-20,238834.0,nan,8.5
1980-01-21,238902.0,nan,8.5
1980-01-22,238970.0,nan,8.5
1980-01-23,239008.0,nan,8.5
1980-01-24,239012.0,nan,8.5
1980-01-25,239101.0,nan,8.5
1980-01-26,239012.0,nan,8.0
1980-01-27,239010.0,nan,8.2
1980-01-28,238924.0,nan,8.5
1980-01-29,238836.0,nan,8.5
1980-01-30,239012.0,nan,8.5
1980-01-31,238836.0,nan,8.5
1980-02-01,238924.0,nan,8.5
1980-02-02,238926.0,nan,8.6
1980-02-03,238928.0,nan,8.6
1980-02-04,239012.0,nan,8.6
1980-02-05,239014.0,nan,8.6
1980-02-06,238924.0,nan,8.6
1980-02-07,239012.0,nan,8.6
1980-02-08,240076.0,nan,8.6
1980-02-09,240162.0,nan,8.6
1980-02-10,240168.0,nan,8.7
1980-02-11,240164.0,nan,8.7
1980-02-12,240160.0,nan,8.7
1980-02-13,240166.0,nan,8.7
1980-02-14,240164.0,nan,8.7
1980-02-15,240251.0,nan,8.7
1980-02-16,240338.0,nan,8.7
1980-02-17,240344.0,nan,8.7
1980-02-18,240609.0,nan,9.0
1980-02-19,240342.0,nan,9.6
1980-02-20,240338.0,nan,9.4
1980-02-21,240609.0,nan,9.5
1980-02-22,240520.0,nan,9.2
1980-02-23,240607.0,nan,9.2
1980-02-24,240704.0,nan,8.9
1980-02-25,240876.0,nan,9.4
1980-02-26,241144.0,nan,8.9
1980-02-27,241054.0,nan,8.8
1980-02-28,241144.0,nan,8.8
1980-02-29,241231.0,nan,8.6
1980-03-01,241322.0,nan,8.7
1980-03-02,241501.0,nan,8.7
1980-03-03,241322.0,nan,8.8
1980-03-04,241411.0,nan,9.3
1980-03-05,241413.0,nan,9.0
1980-03-06,241407.0,nan,9.2
1980-03-07,241409.0,nan,9.0
1980-03-08,241501.0,nan,9.1
1980-03-09,241769.0,nan,9.2
1980-03-10,242037.0,nan,10.0
1980-03-11,241679.0,nan,7.9
1980-03-12,241858.0,nan,8.2
1980-03-13,242037.0,nan,8.4
1980-03-14,242037.0,nan,8.3
1980-03-15,242037.0,nan,8.4
1980-03-16,242306.0,nan,8.9
1980-03-17,242037.0,nan,8.9
1980-03-18,242037.0,nan,8.7
1980-03-19,242127.0,nan,8.6
1980-03-20,241948.0,nan,8.9
1980-03-21,241769.0,nan,8.5
1980-03-22,241948.0,nan,8.5
1980-03-23,241411.0,nan,8.7
1980-03-24,242485.0,nan,9.0
1980-03-25,242306.0,nan,8.8
1980-03-26,242395.0,nan,8.8
1980-03-27,242665.0,nan,9.0
1980-03-28,243294.0,nan,10.0
1980-03-29,243744.0,nan,9.8
1980-03-30,245645.0,nan,11.0
