date,s_af,i_cfs,r_cfs
1974-11-30,248,NA,NA
1974-12-01,NA,NA,NA
1974-12-02,NA,NA,NA
1974-12-03,NA,NA,NA
1974-12-04,NA,NA,NA
1974-12-05,NA,NA,NA
1974-12-06,NA,NA,NA
1974-12-07,NA,NA,NA
1974-12-08,NA,NA,NA
1974-12-09,NA,NA,NA
1974-12-10,NA,NA,NA
1974-12-11,NA,NA,NA
1974-12-12,NA,NA,NA
1974-12-13,NA,NA,NA
1974-12-14,NA,NA,NA
1974-12-15,NA,NA,NA
1974-12-16,NA,NA,NA
1974-12-17,NA,NA,NA
1974-12-18,NA,NA,NA
1974-12-19,NA,NA,NA
1974-12-20,NA,NA,NA
1974-12-21,NA,NA,NA
1974-12-22,NA,NA,NA
1974-12-23,NA,NA,NA
1974-12-24,NA,NA,NA
1974-12-25,NA,NA,NA
1974-12-26,NA,NA,NA
1974-12-27,NA,NA,NA
1974-12-28,NA,NA,NA
1974-12-29,NA,NA,NA
1974-12-30,NA,NA,NA
1974-12-31,248,NA,NA
1975-01-01,NA,NA,NA
1975-01-02,NA,NA,NA
1975-01-03,NA,NA,NA
1975-01-04,NA,NA,NA
1975-01-05,NA,NA,NA
1975-01-06,NA,NA,NA
1975-01-07,NA,NA,NA
1975-01-08,NA,NA,NA
1975-01-09,NA,NA,NA
1975-01-10,NA,NA,NA
1975-01-11,NA,NA,NA
1975-01-12,NA,NA,NA
1975-01-13,NA,NA,NA
1975-01-14,NA,NA,NA
1975-01-15,NA,NA,NA
1975-01-16,NA,NA,NA
1975-01-17,NA,NA,NA
1975-01-18,NA,NA,NA
1975-01-19,NA,NA,NA
1975-01-20,NA,NA,NA
1975-01-21,NA,NA,NA
1975-01-22,NA,NA,NA
1975-01-23,NA,NA,NA
1975-01-24,NA,NA,NA
1975-01-25,NA,NA,NA
1975-01-26,NA,NA,NA
1975-01-27,NA,NA,NA
1975-01-28,NA,NA,NA
1975-01-29,NA,NA,NA
1975-01-30,NA,NA,NA
1975-01-31,0,NA,NA
1975-02-01,NA,NA,NA
1975-02-02,NA,NA,NA
1975-02-03,NA,NA,NA
1975-02-04,NA,NA,NA
1975-02-05,NA,NA,NA
1975-02-06,NA,NA,NA
1975-02-07,NA,NA,NA
1975-02-08,NA,NA,NA
1975-02-09,NA,NA,NA
1975-02-10,NA,NA,NA
1975-02-11,NA,NA,NA
1975-02-12,NA,NA,NA
1975-02-13,NA,NA,NA
1975-02-14,NA,NA,NA
1975-02-15,NA,NA,NA
1975-02-16,NA,NA,NA
1975-02-17,NA,NA,NA
1975-02-18,NA,NA,NA
1975-02-19,NA,NA,NA
1975-02-20,NA,NA,NA
1975-02-21,NA,NA,NA
1975-02-22,NA,NA,NA
1975-02-23,NA,NA,NA
1975-02-24,NA,NA,NA
1975-02-25,NA,NA,NA
1975-02-26,NA,NA,NA
1975-02-27,NA,NA,NA
1975-02-28,0,NA,NA
1975-03-01,NA,NA,NA
1975-03-02,NA,NA,NA
1975-03-03,NA,NA,NA
1975-03-04,NA,NA,NA
1975-03-05,NA,NA,NA
1975-03-06,NA,NA,NA
1975-03-07,NA,NA,NA
1975-03-08,NA,NA,NA
1975-03-09,NA,NA,NA
1975-03-10,NA,NA,NA
1975-03-11,NA,NA,NA
1975-03-12,NA,NA,NA
1975-03-13,NA,NA,NA
1975-03-14,NA,NA,NA
1975-03-15,NA,NA,NA
1975-03-16,NA,NA,NA
1975-03-17,NA,NA,NA
1975-03-18,NA,NA,NA
1975-03-19,NA,NA,NA
1975-03-20,NA,NA,NA
1975-03-21,NA,NA,NA
1975-03-22,NA,NA,NA
