date,s_af,i_cfs,r_cfs
2003-02-13,550.61,NA,NA
2003-02-14,559.86,NA,NA
2003-02-15,548.93,NA,NA
2003-02-16,520.8,NA,NA
2003-02-17,532.41,NA,NA
2003-02-18,565.75,NA,NA
2003-02-19,710.5,NA,NA
2003-02-20,602.07,NA,NA
2003-02-21,615.71,NA,NA
2003-02-22,662.36,NA,NA
2003-02-23,598.12,NA,NA
2003-02-24,375.09,NA,NA
2003-02-25,430.89,NA,NA
2003-02-26,519.59,NA,NA
2003-02-27,526.39,NA,NA
2003-02-28,485.72,NA,NA
2003-03-01,481.43,NA,NA
2003-03-02,469.34,NA,NA
2003-03-03,517.99,NA,NA
2003-03-04,369.58,NA,NA
2003-03-05,410.14,NA,NA
2003-03-06,523.6,NA,NA
2003-03-07,582.54,NA,NA
2003-03-08,527.19,NA,NA
2003-03-09,490.78,NA,NA
2003-03-10,510,NA,NA
2003-03-11,490.78,NA,NA
2003-03-12,530.39,NA,NA
2003-03-13,572.46,NA,NA
2003-03-14,420.49,NA,NA
2003-03-15,455.98,NA,NA
2003-03-16,459.78,NA,NA
2003-03-17,498.59,NA,NA
2003-03-18,531.61,NA,NA
2003-03-19,581.27,NA,NA
2003-03-20,686.58,NA,NA
2003-03-21,645.64,NA,NA
2003-03-22,614.4,NA,NA
2003-03-23,623.64,NA,NA
2003-03-24,591.07,NA,NA
2003-03-25,643,NA,NA
2003-03-26,606.05,NA,NA
2003-03-27,701.29,NA,NA
2003-03-28,707.74,NA,NA
2003-03-29,648.71,NA,NA
2003-03-30,617.48,NA,NA
2003-03-31,650.48,NA,NA
2003-04-01,619.69,NA,NA
2003-04-02,585.48,NA,NA
2003-04-03,532.8,NA,NA
2003-04-04,580.86,NA,NA
2003-04-05,628.93,NA,NA
2003-04-06,572.46,NA,NA
2003-04-07,632.43,NA,NA
2003-04-08,672.93,NA,NA
2003-04-09,681.53,NA,NA
2003-04-10,637.71,NA,NA
2003-04-11,618.36,NA,NA
2003-04-12,621,NA,NA
2003-04-13,629.36,NA,NA
2003-04-14,647.83,NA,NA
2003-04-15,643,NA,NA
2003-04-16,660.6,NA,NA
2003-04-17,585.07,NA,NA
2003-04-18,610.88,NA,NA
2003-04-19,620.57,NA,NA
2003-04-20,628.93,NA,NA
2003-04-21,655.76,NA,NA
2003-04-22,663.69,NA,NA
2003-04-23,611.31,NA,NA
2003-04-24,582.54,NA,NA
2003-04-25,568.25,NA,NA
2003-04-26,524.4,NA,NA
2003-04-27,577.5,NA,NA
2003-04-28,604.29,NA,NA
2003-04-29,542.8,NA,NA
2003-04-30,464.35,NA,NA
2003-05-01,577.5,NA,NA
2003-05-02,672.93,NA,NA
2003-05-03,673.81,NA,NA
2003-05-04,634.64,NA,NA
2003-05-05,683.37,NA,NA
2003-05-06,665.88,NA,NA
2003-05-07,632,NA,NA
2003-05-08,617.48,NA,NA
2003-05-09,611.76,NA,NA
2003-05-10,624.07,NA,NA
2003-05-11,660.17,NA,NA
2003-05-12,707.74,NA,NA
2003-05-13,650.05,NA,NA
2003-05-14,602.95,NA,NA
2003-05-15,535.61,NA,NA
2003-05-16,510.8,NA,NA
2003-05-17,529.2,NA,NA
2003-05-18,527.19,NA,NA
2003-05-19,511.61,NA,NA
2003-05-20,561.11,NA,NA
2003-05-21,595.05,NA,NA
2003-05-22,496.25,NA,NA
2003-05-23,631.12,NA,NA
2003-05-24,565.75,NA,NA
2003-05-25,535.2,NA,NA
2003-05-26,562.39,NA,NA
2003-05-27,614.4,NA,NA
