date,s_af,i_cfs,r_cfs
1957-10-17,300,153,2
1957-10-18,890,299,2
1957-10-19,1490,305,2
1957-10-20,2120,320,2
1957-10-21,2500,195,2
1957-10-22,2890,201,2
1957-10-23,3200,160,2
1957-10-24,3590,199,2
1957-10-25,3980,199,2
1957-10-26,4340,183,2
1957-10-27,4830,251,2
1957-10-28,5260,221,2
1957-10-29,5660,205,2
1957-10-30,6050,201,2
1957-10-31,6500,231,2
1957-11-01,6830,169,2
1957-11-02,7190,183,2
1957-11-03,7540,178,2
1957-11-04,7960,214,2
1957-11-05,8350,199,2
1957-11-06,8760,214,2
1957-11-07,9140,195,2
1957-11-08,9540,205,2
1957-11-09,9890,179,2
1957-11-10,10260,190,2
1957-11-11,10600,174,2
1957-11-12,10980,195,2
1957-11-13,11290,159,2
1957-11-14,11700,210,2
1957-11-15,12060,184,2
1957-11-16,12450,200,2
1957-11-17,12670,115,2
1957-11-18,12995,167,2
1957-11-19,13310,163,2
1957-11-20,13455,76,2
1957-11-21,13510,32,2
1957-11-22,13770,134,2
1957-11-23,14030,135,2
1957-11-24,14280,129,2
1957-11-25,14780,256,2
1957-11-26,15220,231,2
1957-11-27,15535,164,2
1957-11-28,15800,140,2
1957-11-29,15900,55,2
1957-11-30,16010,61,2
1957-12-01,16140,69,2
1957-12-02,16270,69,2
1957-12-03,16605,173,2
1957-12-04,16940,179,2
1957-12-05,17370,220,2
1957-12-06,17660,153,2
1957-12-07,17950,151,2
1957-12-08,18230,145,2
1957-12-09,18830,308,2
1957-12-10,18980,83,2
1957-12-11,19210,123,2
1957-12-12,19430,117,2
1957-12-13,19710,148,2
1957-12-14,2e4,152,2
1957-12-15,20290,151,2
1957-12-16,20530,126,2
1957-12-17,20700,92,2
1957-12-18,20860,89,2
1957-12-19,21020,89,2
1957-12-20,21180,89,2
1957-12-21,21340,86,2
1957-12-22,21500,88,2
1957-12-23,21620,66,2
1957-12-24,22010,203,2
1957-12-25,22400,204,2
1957-12-26,22860,238,2
1957-12-27,23210,183,2
1957-12-28,24060,434,2
1957-12-29,24810,385,2
1957-12-30,25550,379,2
1957-12-31,26440,456,2
1958-01-01,26360,24,2
1958-01-02,26400,24,2
1958-01-03,26440,25,2
1958-01-04,26490,29,2
1958-01-05,26530,25,2
1958-01-06,26590,34,2
1958-01-07,26690,55,2
1958-01-08,26810,65,2
1958-01-09,26950,76,2
1958-01-10,27080,70,2
1958-01-11,27190,60,2
1958-01-12,27290,54,2
1958-01-13,27410,65,2
1958-01-14,27560,80,2
1958-01-15,27940,196,2
1958-01-16,28520,296,2
1958-01-17,28680,85,2
1958-01-18,28880,104,2
1958-01-19,29020,75,2
1958-01-20,29250,121,2
1958-01-21,29960,362,2
1958-01-22,30290,171,2
1958-01-23,30510,115,2
1958-01-24,30780,141,2
1958-01-25,31030,130,2
1958-01-26,31220,101,2
1958-01-27,31540,166,2
1958-01-28,31910,192,2
1958-01-29,32100,101,2
1958-01-30,32390,151,2
1958-01-31,32660,141,2
1958-02-01,32910,130,2
1958-02-02,33120,111,2
1958-02-03,33480,185,2
1958-02-04,33700,116,2
1958-02-05,34010,160,2
1958-02-06,34360,181,2
1958-02-07,34610,131,2
1958-02-08,34860,130,2
1958-02-09,35140,146,2
1958-02-10,35460,166,2
1958-02-11,35720,136,2
1958-02-12,35970,131,2
1958-02-13,36270,156,2
1958-02-14,36530,136,2
1958-02-15,36740,111,2
1958-02-16,37010,141,2
1958-02-17,37270,136,2
1958-02-18,37540,141,2
1958-02-19,37810,141,2
1958-02-20,38140,171,2
1958-02-21,38480,176,2
1958-02-22,38910,222,2
1958-02-23,39440,280,2
1958-02-24,40090,338,2
1958-02-25,40720,320,2
1958-02-26,41360,331,2
1958-02-27,41780,219,2
1958-02-28,42210,225,2
1958-03-01,42360,81,2
1958-03-02,42540,96,2
1958-03-03,42750,111,2
1958-03-04,43060,161,2
1958-03-05,43390,171,2
1958-03-06,43830,227,2
1958-03-07,44320,252,2
1958-03-08,44680,186,2
1958-03-09,45040,186,2
1958-03-10,45620,297,2
1958-03-11,45950,171,2
1958-03-12,46250,156,2
1958-03-13,46410,86,2
1958-03-14,46620,111,2
1958-03-15,46860,126,2
1958-03-16,47180,166,2
1958-03-17,47470,151,2
1958-03-18,47830,186,2
1958-03-19,48290,237,2
1958-03-20,48680,202,2
1958-03-21,49040,186,2
1958-03-22,49450,212,2
1958-03-23,49780,171,2
1958-03-24,50140,188,2
1958-03-25,50520,194,2
1958-03-26,51200,345,2
1958-03-27,51890,359,2
1958-03-28,52560,349,2
1958-03-29,53130,298,2
1958-03-30,53590,243,2
1958-03-31,54050,243,2
1958-04-01,54430,222,2
1958-04-02,54670,135,2
1958-04-03,54930,146,2
1958-04-04,55510,295,2
1958-04-05,56150,326,2
1958-04-06,56870,374,2
1958-04-07,57650,410,2
1958-04-08,59570,971,2
1958-04-09,61170,812,2
1958-04-10,63850,1356,2
1958-04-11,67320,1761,2
1958-04-12,72780,2756,2
1958-04-13,79810,3561,2
1958-04-14,86570,3756,322
1958-04-15,91450,3832,1340
1958-04-16,95520,3668,1573
1958-04-17,101060,4400,1573
1958-04-18,107750,4876,1485
1958-04-19,114700,4696,1158
1958-04-20,122780,5282,1174
1958-04-21,130140,4951,1198
1958-04-22,136110,4272,1238
1958-04-23,142940,4689,1238
1958-04-24,149420,4522,1246
1958-04-25,155660,4380,1230
1958-04-26,161850,4374,1238
1958-04-27,169270,4352,1198
1958-04-28,174250,4362,1214
1958-04-29,180200,4237,1214
1958-04-30,186640,4513,1230
1958-05-01,192480,4185,1206
1958-05-02,197780,4029,1206
1958-05-03,203590,4074,1190
1958-05-04,209230,4086,1166
1958-05-05,215640,4472,1174
1958-05-06,222590,4693,1126
1958-05-07,230300,5022,1118
1958-05-08,238250,5123,1110
1958-05-09,246580,5077,835
1958-05-10,254710,4697,535
1958-05-11,263e3,4824,560
1958-05-12,270680,4688,743
1958-05-13,278650,5282,1214
1958-05-14,286420,5143,1214
1958-05-15,293910,4981,1190
1958-05-16,301920,5260,1158
1958-05-17,308730,4640,1118
1958-05-18,315445,4549,1094
1958-05-19,319845,4391,2100
1958-05-20,323880,4682,2583
1958-05-21,325170,4346,3612
1958-05-22,327570,4858,3596
1958-05-23,328860,4237,3565
1958-05-24,330600,4466,3520
1958-05-25,331830,4227,3520
1958-05-26,333830,4176,3070
1958-05-27,336710,4227,2737
1958-05-28,338650,3775,2724
1958-05-29,340680,3858,2737
1958-05-30,343080,4032,2750
1958-05-31,344930,3846,2789
1958-06-01,347340,4074,2815
1958-06-02,349500,3948,2815
1958-06-03,351400,3856,2815
1958-06-04,353200,3862,2841
1958-06-05,354820,3638,2802
1958-06-06,356640,3886,2893
1958-06-07,358940,4174,2919
1958-06-08,360400,3730,2945
1958-06-09,362050,3852,2958
1958-06-10,365550,3674,1824
1958-06-11,371060,3936,1086
1958-06-12,375560,3410,1078
1958-06-13,380600,3702,1094
1958-06-14,385770,3786,1102
1958-06-15,390810,3752,1118
1958-06-16,396060,3860,1126
1958-06-17,401710,3758,863
1958-06-18,407820,3877,716
1958-06-19,414170,3976,704
1958-06-20,420220,3759,692
1958-06-21,426010,3641,686
1958-06-22,431660,3629,674
1958-06-23,436090,3657,1360
1958-06-24,439940,3816,1780
1958-06-25,443670,3714,1780
1958-06-26,446160,3918,2592
1958-06-27,447360,3900,3196
1958-06-28,448670,3947,3154
1958-06-29,449870,3866,3140
1958-06-30,450520,4445,3992
1958-07-01,448130,3505,4590
1958-07-02,446270,3959,4821
1958-07-03,444420,4148,4989
1958-07-04,442820,4211,4951
1958-07-05,441220,4309,5027
1958-07-06,438880,3957,5065
1958-07-07,437810,4078,4522
1958-07-08,437160,3967,4223
1958-07-09,436970,4355,4325
1958-07-10,436310,4111,4308
1958-07-11,435570,3854,4114
1958-07-12,434820,3917,4189
1958-07-13,434500,4214,4206
1958-07-14,431230,3321,4898
1958-07-15,427680,3879,5549
1958-07-16,424550,4054,5549
1958-07-17,421860,4246,5528
1958-07-18,419600,4387,5465
1958-07-19,417140,4321,5465
1958-07-20,415290,4611,5444
1958-07-21,414480,3939,4311
1958-07-22,416530,4009,2920
1958-07-23,417140,4049,3628
1958-07-24,416320,3812,4172
1958-07-25,414780,3770,4464
1958-07-26,414170,4243,4482
1958-07-27,413040,3982,4500
1958-07-28,411830,4033,4518
1958-07-29,409830,3850,4770
1958-07-30,408020,4184,5046
1958-07-31,406210,4192,5065
1958-08-01,404200,4140,5065
1958-08-02,402e3,4110,5103
1958-08-03,399340,3881,5103
1958-08-04,398060,4559,5084
1958-08-05,396970,4611,5065
1958-08-06,396290,4753,5046
1958-08-07,395390,4703,5046
1958-08-08,394510,4712,5065
1958-08-09,392740,4329,5122
1958-08-10,390520,4090,5160
1958-08-11,387900,3980,5180
1958-08-12,385680,4010,5065
1958-08-13,383840,4277,5084
1958-08-14,381460,3997,5065
1958-08-15,378790,3759,5065
1958-08-16,376040,3724,5027
1958-08-17,373210,3642,4989
1958-08-18,370410,3647,4970
1958-08-19,367230,3383,4913
1958-08-20,363880,3111,4742
1958-08-21,359760,2642,4666
1958-08-22,355180,2427,4666
1958-08-23,350760,2446,4628
1958-08-24,345370,2004,4647
1958-08-25,340420,2108,4500
1958-08-26,335220,1400,3934
1958-08-27,330430,1749,4087
1958-08-28,325e3,1375,4036
1958-08-29,318830,1e3,4219
1958-08-30,312490,882,4019
1958-08-31,306640,1152,4036
1958-09-01,300690,1121,4036
1958-09-02,293910,710,4036
1958-09-03,287050,624,4036
1958-09-04,279820,461,4036
1958-09-05,273250,747,4002
1958-09-06,266530,648,3985
1958-09-07,259980,718,3968
1958-09-08,253970,728,3688
1958-09-09,248190,571,3445
1958-09-10,242640,672,3430
1958-09-11,237670,727,3196
1958-09-12,232690,600,3036
1958-09-13,228120,791,3049
1958-09-14,222860,492,3062
1958-09-15,218010,648,3062
1958-09-16,213080,625,3075
1958-09-17,208300,624,2997
1958-09-18,203720,676,2958
1958-09-19,199010,623,2958
1958-09-20,194360,637,2932
1958-09-21,189860,701,2919
1958-09-22,185240,615,2893
1958-09-23,180670,626,2867
1958-09-24,175950,485,2854
1958-09-25,173310,1558,2854
1958-09-26,173550,1619,1468
1958-09-27,178400,2474,8
1958-09-28,183890,2812,8
1958-09-29,189550,2869,8
1958-09-30,192980,1768,8
1958-10-01,197980,2565,10
1958-10-02,203460,2805,10
1958-10-03,206450,1545,10
1958-10-04,209030,1348,10
1958-10-05,211750,1432,10
1958-10-06,214290,1342,10
1958-10-07,216930,1386,10
1958-10-08,219570,1389,10
1958-10-09,222170,1341,10
1958-10-10,224860,1387,10
1958-10-11,227560,1404,10
1958-10-12,230300,1433,10
1958-10-13,233250,1535,10
1958-10-14,236100,1481,10
1958-10-15,239040,1531,10
1958-10-16,241910,1494,10
1958-10-17,244390,1288,10
1958-10-18,246870,1323,10
1958-10-19,249360,1334,10
1958-10-20,251810,1305,10
1958-10-21,252860,564,10
1958-10-22,254040,628,10
1958-10-23,255460,746,10
1958-10-24,256810,744,10
1958-10-25,257630,448,10
1958-10-26,258620,530,10
1958-10-27,259830,653,10
1958-10-28,261120,660,10
1958-10-29,262250,594,10
1958-10-30,263300,547,10
1958-10-31,265800,1043,10
1958-11-01,266070,427,10
1958-11-02,267380,699,10
1958-11-03,268290,508,10
1958-11-04,269680,746,11
1958-11-05,271140,781,11
1958-11-06,272620,794,10
1958-11-07,274040,765,12
1958-11-08,275440,728,11
1958-11-09,276530,577,11
1958-11-10,278180,874,10
1958-11-11,279270,587,10
1958-11-12,280620,708,10
1958-11-13,281890,705,10
1958-11-14,283640,915,9
1958-11-15,285300,859,9
1958-11-16,286890,825,9
1958-11-17,287210,184,9
1958-11-18,287370,173,78
1958-11-19,287860,270,9
1958-11-20,288900,624,62
1958-11-21,290520,964,143
1958-11-22,291570,803,243
1958-11-23,291900,332,149
1958-11-24,293180,686,7
1958-11-25,293910,408,6
1958-11-26,294870,523,5
1958-11-27,295690,452,5
1958-11-28,296100,224,5
1958-11-29,296590,264,5
1958-11-30,297580,516,5
1958-12-01,298970,801,6
1958-12-02,300770,845,6
1958-12-03,302330,719,15
1958-12-04,304140,608,69
1958-12-05,304970,615,232
1958-12-06,303900,300,429
1958-12-07,303240,327,634
1958-12-08,301920,300,263
1958-12-09,299460,415,1730
1958-12-10,297820,589,1590
1958-12-11,296180,668,1570
1958-12-12,296260,842,777
1958-12-13,296100,168,224
1958-12-14,296180,181,116
1958-12-15,295440,215,563
1958-12-16,295690,472,334
1958-12-17,296430,625,240
1958-12-18,296260,900,974
1958-12-19,297330,649,100
1958-12-20,298970,847,10
1958-12-21,300530,806,10
1958-12-22,302090,806,10
1958-12-23,303650,806,10
1958-12-24,304560,479,10
1958-12-25,306310,903,10
1958-12-26,307310,525,10
1958-12-27,308890,817,10
1958-12-28,309720,439,10
1958-12-29,310560,494,60
1958-12-30,311810,651,10
1958-12-31,312830,535,10
1959-01-01,313890,557,10
1959-01-02,314010,801,728
1959-01-03,314350,198,14
1959-01-04,314940,324,14
1959-01-05,315110,122,23
1959-01-06,315530,273,48
1959-01-07,316040,284,14
1959-01-08,317390,721,27
1959-01-09,318320,567,85
1959-01-10,319590,698,45
1959-01-11,319760,841,742
1959-01-12,320790,748,216
1959-01-13,321990,669,51
1959-01-14,323190,719,96
1959-01-15,324740,825,24
1959-01-16,325850,589,10
1959-01-17,327140,737,67
1959-01-18,328600,765,10
1959-01-19,329870,699,39
1959-01-20,331130,655,9
1959-01-21,332100,516,7
1959-01-22,332870,413,5
1959-01-23,333740,464,5
1959-01-24,334610,465,5
1959-01-25,336100,777,6
1959-01-26,337410,689,5
1959-01-27,339090,876,5
1959-01-28,340240,605,5
1959-01-29,341830,828,6
1959-01-30,342900,564,5
1959-01-31,344220,690,5
1959-02-01,345290,546,5
1959-02-02,346170,451,5
1959-02-03,347250,553,5
1959-02-04,348150,462,5
1959-02-05,348600,235,5
1959-02-06,350040,734,5
1959-02-07,351310,648,5
1959-02-08,352390,553,6
1959-02-09,353470,552,5
1959-02-10,354370,461,5
1959-02-11,355540,597,5
1959-02-12,356730,608,5
1959-02-13,357650,471,5
1959-02-14,359030,704,5
1959-02-15,360130,562,5
1959-02-16,361500,710,5
1959-02-17,362880,715,5
1959-02-18,363980,574,5
1959-02-19,364990,528,5
1959-02-20,366020,538,5
1959-02-21,367230,629,5
1959-02-22,368820,821,5
1959-02-23,370030,629,5
1959-02-24,371340,678,4
1959-02-25,372460,583,4
1959-02-26,373760,673,4
1959-02-27,375180,734,4
1959-02-28,376320,593,4
1959-03-01,377840,805,4
1959-03-02,379270,760,4
1959-03-03,380790,805,4
1959-03-04,381930,614,4
1959-03-05,383260,709,4
1959-03-06,384710,770,4
1959-03-07,386160,771,4
1959-03-08,387710,821,4
1959-03-09,388770,574,4
