date,s_af,i_cfs,r_cfs
1993-02-05,1119.99,NA,0
1993-02-06,1177.69,NA,NA
1993-02-07,1237,NA,NA
1993-02-08,1299.81,NA,0
1993-02-09,1382.5,NA,0
1993-02-10,1444.5,NA,0
1993-02-11,1521.51,NA,0
1993-02-12,1593.79,NA,0
1993-02-13,1655.31,NA,NA
1993-02-14,1718.61,NA,NA
1993-02-15,1776.59,NA,0
1993-02-16,1821,NA,0
1993-02-17,1877.79,NA,0
1993-02-18,1940.61,NA,0
1993-02-19,2004.59,NA,0
1993-02-20,2012.5,NA,0
1993-02-21,2024.34,NA,0
1993-02-22,2036.18,NA,0
1993-02-23,2046.48,NA,0
1993-02-24,2052,NA,0
1993-02-25,2063.21,NA,0
1993-02-26,2071.22,NA,0
1993-02-27,2074.38,NA,0
1993-02-28,2076.8,NA,0
1993-03-01,2080.01,NA,0
1993-03-02,2086.41,NA,NA
1993-03-03,2091.22,NA,NA
1993-03-04,2092.78,NA,NA
1993-03-05,2094.38,NA,NA
1993-03-06,2095.98,NA,NA
1993-03-07,2098.41,NA,NA
1993-03-08,2100.79,NA,NA
1993-03-09,2103.21,NA,NA
1993-03-10,2104.81,NA,NA
1993-03-11,2107.2,NA,NA
1993-03-12,2109.62,NA,NA
1993-03-13,2115.2,NA,NA
1993-03-14,2120.79,NA,NA
1993-03-15,2126.41,NA,NA
1993-03-16,2131.22,NA,NA
1993-03-17,2141.01,NA,NA
1993-03-18,2156.58,NA,NA
1993-03-19,2173.8,NA,NA
1993-03-20,2191.06,NA,NA
1993-03-21,2209.92,NA,NA
1993-03-22,2226.59,NA,NA
1993-03-23,2242.55,194.48,186.21
1993-03-24,2261.04,226.21,216.65
1993-03-25,2284.55,272.98,260.89
1993-03-26,2354,NA,295.55
1993-03-27,2469,NA,290.64
1993-03-28,2580.62,NA,314.55
1993-03-29,2681.56,405.15,353.97
1993-03-30,2666.66,320.3,327.51
1993-03-31,2617.49,250.48,274.96
1993-04-01,2589.59,250.27,264.03
1993-04-02,2634.59,318.23,295.23
1993-04-03,2626.5,274.74,278.5
1993-04-04,2622.02,257.76,259.69
1993-04-05,2617.49,195.84,197.79
1993-04-06,2846.53,275.23,159.4
1993-04-07,3039.89,261.65,163.78
1993-04-08,3139.01,261.46,211.09
1993-04-09,3216.01,279.62,240.39
1993-04-10,3247.42,294.91,278.66
1993-04-11,3244.33,280.98,282.11
1993-04-12,3235.17,180.44,184.62
1993-04-13,3514.62,408.88,267.53
1993-04-14,3827.14,394.63,236.58
1993-04-15,4073.74,390.83,265.98
1993-04-16,4314.63,369.97,247.99
1993-04-17,4545.33,360.9,243.99
1993-04-18,4812.37,383.29,247.99
1993-04-19,5140.75,437.29,270.99
1993-04-20,5177.19,246.12,226.99
1993-04-21,5380.13,334.72,231.59
1993-04-22,5511.63,277.77,210.63
1993-04-23,5797.57,354.7,209.63
1993-04-24,6234.85,495.97,274.51
1993-04-25,6496.19,449.25,316.44
1993-04-26,6704.2,427.4,321.43
1993-04-27,7000.16,473.1,322.73
1993-04-28,7333.91,559.3,389.81
1993-04-29,7565.26,597.37,479.45
1993-04-30,7861,619.9,469.47
1993-05-01,8106.05,598.48,473.56
1993-05-02,8272.67,535.52,450.1
1993-05-03,8466.17,549.61,450.6
1993-05-04,8904.45,674.1,451.6
1993-05-05,9379.42,1072.81,831.73
1993-05-06,9709.89,758.64,590.36
1993-05-07,10141.6,794.06,574.69
1993-05-08,10603.9,814.83,579.97
1993-05-09,10786.4,545.8,451.9
1993-05-10,10950.8,532.56,447.81
1993-05-11,11257.4,614.48,457.99
1993-05-12,11912.6,1047.48,715.13
1993-05-13,12610,1462.41,1108.75
1993-05-14,13264.6,2066.5,1734.26
1993-05-15,13896.2,1548.3,1227.63
1993-05-16,14075.2,1753.74,1661.2
1993-05-17,14733.4,2264.89,1930.68
1993-05-18,15438.4,2412.87,2054.95
1993-05-19,16299.7,2517.75,2080.97
1993-05-20,17207.5,2574.72,2114.44
1993-05-21,18290.8,2687.04,2138.14
1993-05-22,20070.6,3043.88,2143.64
1993-05-23,22001.6,3146.97,2170.29
1993-05-24,23304.3,2851.68,2191.62
1993-05-25,25018,2926.74,2059.29
1993-05-26,26977.9,2701.67,1709.96
1993-05-27,28606.1,2592.25,1767.57
1993-05-28,29717.4,2742.78,2178.61
1993-05-29,30033.6,1670.66,1507.28
1993-05-30,31330,2317.89,1660.23
1993-05-31,33155.9,2933.81,2008.92
1993-06-01,34680.1,2793.96,2021.04
1993-06-02,36094.5,2517.98,1800.2
1993-06-03,37022.9,2164.39,1691.5
1993-06-04,37264.8,1529.87,1403.05
1993-06-05,37598.5,1473.07,1299.93
1993-06-06,38131.8,1581.38,1307.5
1993-06-07,37766.8,1128.43,1307.5
1993-06-08,38806.9,1837.2,1307.7
1993-06-09,38957.3,1389.82,1308.83
1993-06-10,38986.2,1330.48,1310.73
1993-06-11,39210,1433.48,1315.38
1993-06-12,39878.3,1662.89,1320.64
1993-06-13,40904.5,1848.73,1325.9
1993-06-14,41950.5,1867.31,1334.35
1993-06-15,42708.5,1361.39,973.56
1993-06-16,43773.7,1518.06,975.26
1993-06-17,44558.2,1653.85,1252.45
1993-06-18,45525.6,2061.75,1568.07
1993-06-19,45257.4,1463.24,1592.5
1993-06-20,45059.3,1497.12,1591.13
1993-06-21,45117.9,1630.18,1594.73
1993-06-22,45152.7,1618.05,1594.66
1993-06-23,45001.2,1526.2,1596.67
1993-06-24,44639.7,1417.7,1594.15
1993-06-25,44545.2,1411.16,1452.99
1993-06-26,45246,1506.64,1147.47
1993-06-27,44954.5,1394.5,1535.67
1993-06-28,44674.4,1400.72,1536.17
1993-06-29,44584.3,1407.77,1447.44
1993-06-30,44580,1349.73,1346.11
1993-07-01,44977.9,1311.68,1105.36
1993-07-02,44954.5,1163.57,1169.58
1993-07-03,44584.3,997.27,1178.21
1993-07-04,44575.6,982.72,981.39
1993-07-05,44767.8,929.01,826.41
1993-07-06,45047.9,821.4,674.46
1993-07-07,44942.6,625.33,672.71
1993-07-08,44884.5,549.47,573.04
1993-07-09,44849.8,492.67,504.52
1993-07-10,44931.2,509.11,462.39
1993-07-11,44884.5,441.62,459.49
1993-07-12,44873.1,454.95,455.07
1993-07-13,44814.5,417.93,441.87
1993-07-14,44733.1,397.94,433.37
1993-07-15,44616.3,330.76,383.99
1993-07-16,44545.2,305.59,335.9
1993-07-17,44566.9,263.28,246.8
1993-07-18,44756.4,342.41,241.32
1993-07-19,44873.1,299.78,235.4
1993-07-20,44989.3,290.03,225.96
1993-07-21,45035.9,255.88,226.87
1993-07-22,45035.9,232.35,226.87
1993-07-23,45082.6,181.38,152.41
1993-07-24,45767,502.17,151.68
1993-07-25,46044.3,395.06,249.76
1993-07-26,45799.6,210.67,328.61
1993-07-27,45572.3,391.45,500.68
1993-07-28,45456.1,371.88,425.06
1993-07-29,45246,293.03,393.62
1993-07-30,44942.6,243.09,390.77
1993-07-31,44814.5,244.23,303.55
1993-08-01,44733.1,204.82,240.61
1993-08-02,44686.4,239.19,257.47
1993-08-03,44375.5,84.06,235.62
1993-08-04,44989.3,543.72,229.06
1993-08-05,44861.2,166.37,225.77
1993-08-06,44686.4,141.8,224.79
1993-08-07,44562.6,152.88,210.15
1993-08-08,44519.1,187.74,204.62
1993-08-09,44505.9,203.63,205.2
1993-08-10,44471.3,175.51,187.95
1993-08-11,44462.6,181.16,180.52
1993-08-12,44440.7,123.07,129.13
1993-08-13,44401.6,164.32,179.05
1993-08-14,44371.2,146.64,157.02
1993-08-15,44340.7,138.2,148.7
1993-08-16,44323.2,131.85,135.75
1993-08-17,44305.8,119.66,123.6
1993-08-18,44297.1,115.93,115.52
1993-08-19,44288.4,113.26,112.9
1993-08-20,44310.3,128.95,113.2
1993-08-21,44319,136.07,127
1993-08-22,44332,144.14,132.92
1993-08-23,44349.4,145.39,131.96
1993-08-24,44349.4,147.1,142.5
1993-08-25,44349.4,150.49,145.92
1993-08-26,44327.7,139.97,146.37
1993-08-27,44332,152.92,146.3
1993-08-28,44323.2,146.6,146.55
1993-08-29,44319,148.2,145.9
1993-08-30,44323.2,153.47,146.92
1993-08-31,44345.1,162.41,147.02
1993-09-01,44327.7,149.93,154.35
1993-09-02,44319,156.33,156.4
1993-09-03,44297.1,149.95,156.7
1993-09-04,44288.4,140.64,140.8
1993-09-05,44288.4,136.52,132.32
1993-09-06,44288.4,134.51,130.35
1993-09-07,44279.7,130.44,130.67
1993-09-08,44275.5,132.22,130.25
1993-09-09,44266.8,129.61,129.92
1993-09-10,44262.5,124.59,122.7
1993-09-11,44266.8,126.48,120.35
1993-09-12,44266.8,123.88,119.92
1993-09-13,44262.5,122.67,120.9
1993-09-14,44266.8,126.61,120.55
1993-09-15,44271,126.44,120.42
1993-09-16,44275.5,126.27,120.22
1993-09-17,44301.6,137.13,120.2
1993-09-18,44332,139.78,120.75
1993-09-19,44353.8,135.66,120.95
1993-09-20,44358.1,125.82,120.08
1993-09-21,44371.2,115.76,105.55
1993-09-22,44392.9,114.72,100.27
1993-09-23,44397.2,106.19,100.6
1993-09-24,44405.9,108.62,100.82
1993-09-25,44427.8,115.17,100.77
1993-09-26,44436.5,108.7,100.97
1993-09-27,44445.2,107.86,100.22
1993-09-28,44462.6,112.87,100.87
1993-09-29,44497.2,110.78,90.15
1993-09-30,44540.8,111.55,86.5
1993-10-01,44558.2,98.29,86.45
1993-10-02,44558.2,88.72,85.7
1993-10-03,44604.4,112.89,86.6
1993-10-04,44651.1,113.47,87.02
1993-10-05,44697.8,112.8,86.4
1993-10-06,44721.1,101.07,86.47
1993-10-07,44767.8,112.68,86.4
1993-10-08,44895.9,153.22,85.92
1993-10-09,45047.9,165.99,86.68
1993-10-10,45117.9,124.7,86.75
1993-10-11,45187.4,124.85,87.28
1993-10-12,45397.5,195.56,87.12
1993-10-13,45572.3,177.71,87.1
1993-10-14,45700.9,154.3,87.02
1993-10-15,45799.6,139.11,87
1993-10-16,45905.8,143.75,87.85
1993-10-17,46019.7,147.25,87.57
1993-10-18,46117.6,138.99,87.37
1993-10-19,46215.4,138.69,87.15
