date,s_af,r_cfs,i_cfs
2015-01-01,180095,NA,95
2015-01-02,180069,NA,162
2015-01-03,180148,NA,217
2015-01-04,180227,NA,220
2015-01-05,180332,NA,230
2015-01-06,180411,NA,216
2015-01-07,180542,NA,242
2015-01-08,180700,NA,251
2015-01-09,180832,NA,232
2015-01-10,180990,NA,240
2015-01-11,181148,NA,242
2015-01-12,181305,NA,240
2015-01-13,181568,NA,293
2015-01-14,181621,NA,186
2015-01-15,181779,NA,239
2015-01-16,182546,NA,548
2015-01-17,182360,NA,72
2015-01-18,182652,NA,316
2015-01-19,182572,NA,130
2015-01-20,183156,NA,463
2015-01-21,183555,NA,370
2015-01-22,183449,NA,119
2015-01-23,183714,NA,303
2015-01-24,183926,NA,276
2015-01-25,184564,NA,487
2015-01-26,185124,NA,448
2015-01-27,185687,NA,444
2015-01-28,185955,NA,298
2015-01-29,186062,NA,218
2015-01-30,186383,NA,325
2015-01-31,186464,NA,210
2015-02-01,186517,NA,190
2015-02-02,186705,NA,258
2015-02-03,186732,NA,189
2015-02-04,186866,NA,238
2015-02-05,187026,NA,259
2015-02-06,187348,NA,342
2015-02-07,187563,NA,274
2015-02-08,187645,NA,216
2015-02-09,187970,NA,328
2015-02-10,188349,NA,355
2015-02-11,188593,NA,290
2015-02-12,188756,NA,255
2015-02-13,188837,NA,210
2015-02-14,189054,NA,282
2015-02-15,189081,NA,185
2015-02-16,189596,NA,429
2015-02-17,189867,NA,306
2015-02-18,190247,NA,358
2015-02-19,191177,NA,641
2015-02-20,191861,NA,506
2015-02-21,191997,NA,212
2015-02-22,192435,NA,365
2015-02-23,192900,NA,383
2015-02-24,193286,NA,344
2015-02-25,193976,NA,497
2015-02-26,194472,NA,398
2015-02-27,195051,NA,443
2015-02-28,195493,NA,369
2015-03-01,196409,NA,622
2015-03-02,197050,NA,488
2015-03-03,197495,NA,387
2015-03-04,198191,NA,522
2015-03-05,198553,NA,346
2015-03-06,199114,NA,450
2015-03-07,199591,NA,420
2015-03-08,199788,NA,292
2015-03-09,200040,NA,321
2015-03-10,200265,NA,312
2015-03-11,200686,NA,399
2015-03-12,201079,NA,397
2015-03-13,201332,NA,316
2015-03-14,201558,NA,319
2015-03-15,201898,NA,371
2015-03-16,202068,NA,274
2015-03-17,202351,NA,334
2015-03-18,202747,NA,394
2015-03-19,203143,NA,398
2015-03-20,203200,NA,225
2015-03-21,203256,NA,228
2015-03-22,203709,NA,426
2015-03-23,204191,NA,450
2015-03-24,204363,NA,405
2015-03-25,204191,NA,208
2015-03-26,204163,NA,198
2015-03-27,204077,NA,172
2015-03-28,204220,NA,288
2015-03-29,204505,NA,362
2015-03-30,204762,NA,346
2015-03-31,204534,NA,304
2015-04-01,204049,NA,160
2015-04-02,203766,NA,70
2015-04-03,203454,NA,55
2015-04-04,203143,NA,58
2015-04-05,202860,NA,67
2015-04-06,202549,NA,49
2015-04-07,202379,NA,122
2015-04-08,202153,NA,93
2015-04-09,201898,NA,67
2015-04-10,201615,NA,60
2015-04-11,201332,NA,67
2015-04-12,201079,NA,84
2015-04-13,200742,NA,44
2015-04-14,200405,NA,42
2015-04-15,200068,NA,45
2015-04-16,199704,NA,28
2015-04-17,199086,NA,13
2015-04-18,198302,NA,14
2015-04-19,197634,NA,71
2015-04-20,196994,NA,57
2015-04-21,196326,NA,27
2015-04-22,195686,NA,42
2015-04-23,194969,NA,9
2015-04-24,194362,NA,69
2015-04-25,193948,NA,155
2015-04-26,193396,NA,21
2015-04-27,193038,NA,49
2015-04-28,192681,NA,50
2015-04-29,192709,NA,241
2015-04-30,192462,NA,110
2015-05-01,192107,NA,60
2015-05-02,191779,NA,74
2015-05-03,191423,NA,53
2015-05-04,190821,NA,20
2015-05-05,190165,NA,53
2015-05-06,189488,NA,27
2015-05-07,188837,NA,44
2015-05-08,188160,NA,32
2015-05-09,187563,NA,21
2015-05-10,187214,NA,68
2015-05-11,186785,NA,29
2015-05-12,186357,NA,34
2015-05-13,185982,NA,51
2015-05-14,185606,NA,39
2015-05-15,185231,NA,47
2015-05-16,184883,NA,61
2015-05-17,184537,NA,60
2015-05-18,184006,NA,72
2015-05-19,183369,NA,60
2015-05-20,182679,NA,32
2015-05-21,182227,NA,48
2015-05-22,181858,NA,43
2015-05-23,181542,NA,80
2015-05-24,181174,NA,44
2015-05-25,180832,NA,80
2015-05-26,180306,NA,75
2015-05-27,179753,NA,98
2015-05-28,179073,NA,47
2015-05-29,178394,NA,45
2015-05-30,177768,NA,83
2015-05-31,177090,NA,60
2015-06-01,176648,NA,175
2015-06-02,176028,NA,103
2015-06-03,174994,NA,76
2015-06-04,173861,NA,53
2015-06-05,172734,NA,48
2015-06-06,171659,NA,79
2015-06-07,170491,NA,28
2015-06-08,169705,NA,231
2015-06-09,169349,NA,437
2015-06-10,168870,NA,375
2015-06-11,168845,NA,596
2015-06-12,170085,NA,1153
2015-06-13,172273,NA,1560
2015-06-14,171837,NA,243
2015-06-15,171633,NA,395
2015-06-16,170771,NA,88
2015-06-17,169958,NA,113
2015-06-18,169172,NA,133
2015-06-19,168342,NA,186
2015-06-20,168216,NA,584
2015-06-21,167184,NA,138
2015-06-22,167335,NA,771
2015-06-23,168065,NA,1094
2015-06-24,168367,NA,890
2015-06-25,168342,NA,598
2015-06-26,170694,NA,1711
2015-06-27,172811,NA,1563
2015-06-28,174710,NA,1453
2015-06-29,177090,NA,1734
2015-06-30,178838,NA,1408
2015-07-01,179858,NA,1138
2015-07-02,180174,NA,808
2015-07-03,180753,NA,899
2015-07-04,181516,NA,983
2015-07-05,181358,NA,527
2015-07-06,181595,NA,708
2015-07-07,182944,NA,1220
2015-07-08,183714,NA,905
2015-07-09,183980,NA,548
2015-07-10,184272,NA,561
2015-07-11,184484,NA,524
2015-07-12,185044,NA,704
2015-07-13,185767,NA,905
2015-07-14,184937,NA,705
2015-07-15,183183,NA,1099
2015-07-16,180490,NA,1038
2015-07-17,179622,NA,1835
2015-07-18,179990,NA,2019
2015-07-19,180490,NA,1846
2015-07-20,180806,NA,1633
2015-07-21,181121,NA,1709
2015-07-22,180753,NA,1464
2015-07-23,181384,NA,1985
2015-07-24,181568,NA,1738
2015-07-25,180621,NA,999
2015-07-26,179412,NA,817
2015-07-27,178029,NA,785
2015-07-28,177716,NA,1396
2015-07-29,178368,NA,1884
2015-07-30,178186,NA,1419
2015-07-31,178707,NA,1749
2015-08-01,179516,NA,1891
2015-08-02,178733,NA,1211
2015-08-03,177246,NA,953
2015-08-04,176028,NA,1095
2015-08-05,175330,NA,1185
2015-08-06,175614,NA,1481
2015-08-07,174040,NA,786
2015-08-08,172631,NA,695
2015-08-09,171583,NA,876
2015-08-10,170644,NA,928
2015-08-11,170314,NA,1229
2015-08-12,170466,NA,1471
2015-08-13,170568,NA,1477
2015-08-14,171177,NA,1738
2015-08-15,170441,NA,1184
2015-08-16,169425,NA,1140
2015-08-17,168870,NA,1290
2015-08-18,168014,NA,1099
2015-08-19,166756,NA,886
2015-08-20,165385,NA,816
2015-08-21,163596,NA,572
2015-08-22,161893,NA,561
2015-08-23,160382,NA,678
2015-08-24,159215,NA,889
2015-08-25,158082,NA,989
2015-08-26,157045,NA,1082
2015-08-27,156470,NA,1266
2015-08-28,155849,NA,1166
2015-08-29,156446,NA,1541
2015-08-30,156446,NA,949
2015-08-31,157648,NA,1216
2015-09-01,158805,NA,1055
2015-09-02,159579,NA,859
2015-09-03,160382,NA,881
2015-09-04,160795,NA,605
2015-09-05,161819,NA,850
2015-09-06,162609,NA,758
2015-09-07,164090,NA,1135
2015-09-08,165933,NA,1343
2015-09-09,168342,NA,1655
2015-09-10,169375,NA,993
2015-09-11,170364,NA,895
2015-09-12,172017,NA,1177
2015-09-13,173272,NA,977
2015-09-14,174296,NA,830
2015-09-15,175692,NA,1040
2015-09-16,177899,NA,1449
2015-09-17,179333,NA,1055
2015-09-18,181226,NA,1243
2015-09-19,182785,NA,1062
2015-09-20,184670,NA,1303
2015-09-21,186410,NA,1310
2015-09-22,188078,NA,1326
2015-09-23,189325,NA,1108
2015-09-24,190821,NA,1196
2015-09-25,192353,NA,1148
2015-09-26,194417,NA,1414
2015-09-27,195272,NA,809
2015-09-28,194831,NA,221
2015-09-29,194031,NA,89
2015-09-30,193148,NA,41
2015-10-01,192380,NA,29
2015-10-02,191724,NA,51
2015-10-03,191177,NA,33
2015-10-04,190603,NA,45
2015-10-05,189948,NA,52
2015-10-06,189271,NA,54
2015-10-07,188783,NA,48
2015-10-08,188431,NA,61
2015-10-09,188024,NA,97
