date,s_af,i_cfs,r_cfs
1974-10-01,12014,NA,NA
1974-10-02,12009,-2.52,0
1974-10-03,12028,9.58,0
1974-10-04,12061,16.64,0
1974-10-05,12099,19.16,0
1974-10-06,12141,21.17,0
1974-10-07,12184,21.68,0
1974-10-08,12221,18.65,0
1974-10-09,12245,12.1,0
1974-10-10,12306,30.75,0
1974-10-11,12345,19.66,0
1974-10-12,12378,16.64,0
1974-10-13,12421,21.68,0
1974-10-14,12464,21.68,0
1974-10-15,12502,19.16,0
1974-10-16,12521,9.58,0
1974-10-17,12583,31.26,0
1974-10-18,12621,19.16,0
1974-10-19,12655,17.14,0
1974-10-20,12689,17.14,0
1974-10-21,12717,14.12,0
1974-10-22,12770,26.72,0
1974-10-23,12824,27.22,0
1974-10-24,12891,33.78,0
1974-10-25,12940,24.7,0
1974-10-26,12983,21.68,0
1974-10-27,13032,24.7,0
1974-10-28,13081,24.7,0
1974-10-29,13139,29.24,0
1974-10-30,13198,29.75,0
1974-10-31,13257,29.75,0
1974-11-01,13321,32.27,0
1974-11-02,13380,29.75,0
1974-11-03,13439,29.75,0
1974-11-04,13498,29.75,0
1974-11-05,13553,27.73,0
1974-11-06,13602,24.7,0
1974-11-07,13657,27.73,0
1974-11-08,13702,22.69,0
1974-11-09,13752,25.21,0
1974-11-10,13802,25.21,0
1974-11-11,13852,25.21,0
1974-11-12,13902,25.21,0
1974-11-13,13942,20.17,0
1974-11-14,13987,22.69,0
1974-11-15,14033,23.19,0
1974-11-16,14078,22.69,0
1974-11-17,14123,22.69,0
1974-11-18,14169,23.19,0
1974-11-19,14214,22.69,0
1974-11-20,14265,25.71,0
1974-11-21,14301,18.15,0
1974-11-22,14346,22.69,0
1974-11-23,14387,20.67,0
1974-11-24,14433,23.19,0
1974-11-25,14479,23.19,0
1974-11-26,14520,20.67,0
1974-11-27,14561,20.67,0
1974-11-28,14591,15.12,0
1974-11-29,14617,13.11,0
1974-11-30,14658,20.67,0
1974-12-01,14699,20.67,0
1974-12-02,14740,20.67,0
1974-12-03,14776,18.15,0
1974-12-04,14818,21.17,0
1974-12-05,14864,23.19,0
1974-12-06,14900,18.15,0
1974-12-07,14942,21.17,0
1974-12-08,14983,20.67,0
1974-12-09,15019,18.15,0
1974-12-10,15056,18.65,0
1974-12-11,15097,20.67,0
1974-12-12,15139,21.17,0
1974-12-13,15176,18.65,0
1974-12-14,15223,23.7,0
1974-12-15,15275,26.22,0
1974-12-16,15317,21.17,0
1974-12-17,15359,21.17,0
1974-12-18,15401,21.17,0
1974-12-19,15438,18.65,0
1974-12-20,15480,21.17,0
1974-12-21,15522,21.17,0
1974-12-22,15564,21.17,0
1974-12-23,15601,18.65,0
1974-12-24,15638,18.65,0
1974-12-25,15670,16.13,0
1974-12-26,15702,16.13,0
1974-12-27,15750,24.2,0
1974-12-28,15792,21.17,0
1974-12-29,15835,21.68,0
1974-12-30,15872,18.65,0
1974-12-31,15920,24.2,0
1975-01-01,15958,19.16,0
1975-01-02,16e3,21.17,0
1975-01-03,16038,19.16,0
1975-01-04,16075,18.65,0
1975-01-05,16113,19.16,0
1975-01-06,16156,21.68,0
1975-01-07,16199,21.68,0
1975-01-08,16242,21.68,0
1975-01-09,16301,29.75,0
1975-01-10,16345,22.18,0
1975-01-11,16383,19.16,0
1975-01-12,16421,19.16,0
1975-01-13,16464,21.68,0
1975-01-14,16513,24.7,0
1975-01-15,16557,22.18,0
1975-01-16,16600,21.68,0
1975-01-17,16644,22.18,0
1975-01-18,16687,21.68,0
1975-01-19,16731,22.18,0
1975-01-20,16775,22.18,0
1975-01-21,16814,19.66,0
1975-01-22,16852,19.16,0
1975-01-23,16890,19.16,0
1975-01-24,16945,27.73,0
1975-01-25,16984,19.66,0
1975-01-26,17023,19.66,0
1975-01-27,17061,19.16,0
1975-01-28,17117,28.23,0
1975-01-29,17155,19.16,0
1975-01-30,17194,19.66,0
1975-01-31,17239,22.69,0
1975-02-01,17278,19.66,0
1975-02-02,17317,19.66,0
1975-02-03,17356,19.66,0
1975-02-04,17395,19.66,0
1975-02-05,17445,25.21,0
1975-02-06,17490,22.69,0
1975-02-07,17529,19.66,0
1975-02-08,17574,22.69,0
1975-02-09,17619,22.69,0
1975-02-10,17669,25.21,0
1975-02-11,17709,20.17,0
1975-02-12,17720,5.55,0
1975-02-13,17788,34.28,0
1975-02-14,17822,17.14,0
1975-02-15,17861,19.66,0
1975-02-16,17901,20.17,0
1975-02-17,17941,20.17,0
1975-02-18,17980,19.66,0
1975-02-19,18020,20.17,0
1975-02-20,18072,26.22,0
1975-02-21,18111,19.66,0
1975-02-22,18146,17.65,0
1975-02-23,18180,17.14,0
1975-02-24,18214,17.14,0
1975-02-25,18260,23.19,0
1975-02-26,18294,17.14,0
1975-02-27,18334,20.17,0
1975-02-28,18375,20.67,0
1975-03-01,18421,23.19,0
1975-03-02,18467,23.19,0
1975-03-03,18519,26.22,0
1975-03-04,18570,25.71,0
1975-03-05,18623,26.72,0
1975-03-06,18680,28.74,0
1975-03-07,18739,29.75,0
1975-03-08,18785,23.19,0
1975-03-09,18832,23.7,0
1975-03-10,18878,23.19,0
1975-03-11,18931,26.72,0
1975-03-12,18972,20.67,0
1975-03-13,19019,23.7,0
1975-03-14,19060,20.67,0
1975-03-15,19101,20.67,0
1975-03-16,19142,20.67,0
1975-03-17,19177,17.65,0
1975-03-18,19218,20.67,0
1975-03-19,19265,23.7,0
1975-03-20,19307,21.17,0
1975-03-21,19348,20.67,0
1975-03-22,19389,20.67,0
1975-03-23,19431,21.17,0
1975-03-24,19467,18.15,0
1975-03-25,19508,20.67,0
1975-03-26,19561,26.72,0
1975-03-27,19621,30.25,0
1975-03-28,19651,15.12,0
1975-03-29,19686,17.65,0
1975-03-30,19722,18.15,0
1975-03-31,19764,21.17,0
1975-04-01,19812,24.2,0
1975-04-02,19848,18.15,0
1975-04-03,19884,18.15,0
1975-04-04,19920,18.15,0
1975-04-05,19956,18.15,0
1975-04-06,19992,18.15,0
1975-04-07,20034,21.17,0
1975-04-08,20058,12.1,0
1975-04-09,20058,0,0
1975-04-10,20082,12.1,0
1975-04-11,20100,9.07,0
1975-04-12,20118,9.07,0
1975-04-13,20136,9.07,0
1975-04-14,20148,6.05,0
1975-04-15,20178,15.12,0
1975-04-16,20202,12.1,0
1975-04-17,20220,9.07,0
1975-04-18,20245,12.6,0
1975-04-19,20269,12.1,0
1975-04-20,20293,12.1,0
1975-04-21,20311,9.07,0
1975-04-22,20329,9.07,0
1975-04-23,20348,9.58,0
1975-04-24,20360,22.18,16.13
1975-04-25,20360,16.13,16.13
1975-04-26,20378,9.07,0
1975-04-27,20396,9.07,0
1975-04-28,20414,9.07,0
1975-04-29,20433,9.58,0
1975-04-30,20451,9.07,0
1975-05-01,20463,6.05,0
1975-05-02,20469,3.02,0
1975-05-03,20487,9.07,0
1975-05-04,20506,9.58,0
1975-05-05,20524,9.07,0
1975-05-06,20524,0,0
1975-05-07,20524,0,0
1975-05-08,20512,-6.05,0
1975-05-09,20512,0,0
1975-05-10,20506,-3.02,0
1975-05-11,20499,-3.53,0
1975-05-12,20493,-3.02,0
1975-05-13,20493,0,0
1975-05-14,20493,0,0
1975-05-15,20499,3.02,0
1975-05-16,20524,12.6,0
1975-05-17,20554,15.12,0
1975-05-18,20591,18.65,0
1975-05-19,20738,74.11,0
1975-05-20,21175,220.32,0
1975-05-21,21700,264.68,0
1975-05-22,21915,108.39,0
1975-05-23,22035,60.5,0
1975-05-24,22060,12.6,0
1975-05-25,22111,25.71,0
1975-05-26,22207,48.4,0
1975-05-27,22321,57.47,0
1975-05-28,22475,77.64,0
1975-05-29,22539,32.27,0
1975-05-30,22533,-3.02,0
1975-05-31,22533,0,0
1975-06-01,22604,35.8,0
1975-06-02,22816,106.88,0
1975-06-03,23147,166.88,0
1975-06-04,23600,228.38,0
1975-06-05,24117,260.65,0
1975-06-06,24770,329.22,0
1975-06-07,25487,361.48,0
1975-06-08,26238,378.62,0
1975-06-09,26852,309.55,0
1975-06-10,27568,360.98,0
1975-06-11,27669,65.04,14.12
1975-06-12,28457,411.39,14.12
1975-06-13,29041,308.55,14.12
1975-06-14,29707,349.89,14.12
1975-06-15,30404,365.52,14.12
1975-06-16,31065,347.37,14.12
1975-06-17,31578,272.75,14.12
1975-06-18,32143,298.97,14.12
1975-06-19,32825,357.95,14.12
1975-06-20,33532,370.56,14.12
1975-06-21,34346,424.5,14.12
1975-06-22,34346,14.12,14.12
1975-06-23,34338,10.08,14.12
1975-06-24,34338,14.12,14.12
1975-06-25,34321,5.55,14.12
1975-06-26,34346,12.6,0
1975-06-27,34354,4.03,0
1975-06-28,34354,0,0
1975-06-29,34362,4.03,0
