date,s_af,i_cfs,r_cfs
1985-10-01,15248,43.46,0
1985-10-02,15334,43.36,0
1985-10-03,15410,38.32,0
1985-10-04,15487,38.82,0
1985-10-05,15572,42.85,0
1985-10-06,15649,38.82,0
1985-10-07,15725,38.32,0
1985-10-08,15811,43.36,0
1985-10-09,15888,38.82,0
1985-10-10,15965,38.82,0
1985-10-11,16050,42.85,0
1985-10-12,16127,38.82,0
1985-10-13,16203,38.32,0
1985-10-14,16290,43.86,0
1985-10-15,16371,40.84,0
1985-10-16,16451,40.33,0
1985-10-17,16528,38.82,0
1985-10-18,16604,38.32,0
1985-10-19,16690,43.36,0
1985-10-20,16771,40.84,0
1985-10-21,16842,35.8,0
1985-10-22,16924,41.34,0
1985-10-23,17007,41.85,0
1985-10-24,17089,41.34,0
1985-10-25,17160,35.8,0
1985-10-26,17243,41.85,0
1985-10-27,17325,41.34,0
1985-10-28,17408,41.85,0
1985-10-29,17479,35.8,0
1985-10-30,17561,41.34,0
1985-10-31,17644,41.85,0
1985-11-01,17656,6.05,0
1985-11-02,17656,0,0
1985-11-03,17668,6.05,0
1985-11-04,17679,5.55,0
1985-11-05,17679,0,0
1985-11-06,17691,6.05,0
1985-11-07,17703,6.05,0
1985-11-08,17703,0,0
1985-11-09,17715,6.05,0
1985-11-10,17727,6.05,0
1985-11-11,17727,0,0
1985-11-12,17738,5.55,0
1985-11-13,17750,6.05,0
1985-11-14,17750,0,0
1985-11-15,17762,6.05,0
1985-11-16,17774,6.05,0
1985-11-17,17786,6.05,0
1985-11-18,17786,0,0
1985-11-19,17797,5.55,0
1985-11-20,17809,6.05,0
1985-11-21,17809,0,0
1985-11-22,17821,6.05,0
1985-11-23,17833,6.05,0
1985-11-24,17833,0,0
1985-11-25,17845,6.05,0
1985-11-26,17856,5.55,0
1985-11-27,17856,0,0
1985-11-28,17868,6.05,0
1985-11-29,17880,6.05,0
1985-11-30,17880,0,0
1985-12-01,17927,23.7,0
1985-12-02,17974,23.7,0
1985-12-03,18033,29.75,0
1985-12-04,18081,24.2,0
1985-12-05,18128,23.7,0
1985-12-06,18175,23.7,0
1985-12-07,18222,23.7,0
1985-12-08,18281,29.75,0
1985-12-09,18328,23.7,0
1985-12-10,18376,24.2,0
1985-12-11,18423,23.7,0
1985-12-12,18470,23.7,0
1985-12-13,18517,23.7,0
1985-12-14,18576,29.75,0
1985-12-15,18623,23.7,0
1985-12-16,18671,24.2,0
1985-12-17,18718,23.7,0
1985-12-18,18765,23.7,0
1985-12-19,18824,29.75,0
1985-12-20,18871,23.7,0
1985-12-21,18918,23.7,0
1985-12-22,18966,24.2,0
1985-12-23,19013,23.7,0
1985-12-24,19072,29.75,0
1985-12-25,19119,23.7,0
1985-12-26,19166,23.7,0
1985-12-27,19213,23.7,0
1985-12-28,19272,29.75,0
1985-12-29,19320,24.2,0
1985-12-30,19367,23.7,0
1985-12-31,19414,23.7,0
1986-01-01,19414,0,0
1986-01-02,19414,0,0
1986-01-03,19532,59.49,0
1986-01-04,19532,0,0
1986-01-05,19532,0,0
1986-01-06,19650,59.49,0
1986-01-07,19650,0,0
1986-01-08,19768,59.49,0
1986-01-09,19768,0,0
1986-01-10,19886,59.49,0
1986-01-11,19886,0,0
1986-01-12,19886,0,0
1986-01-13,20004,59.49,0
1986-01-14,20004,0,0
1986-01-15,20004,0,0
1986-01-16,20122,59.49,0
1986-01-17,20122,0,0
1986-01-18,20122,0,0
1986-01-19,20240,59.49,0
1986-01-20,20240,0,0
1986-01-21,20240,0,0
1986-01-22,20240,0,0
1986-01-23,20240,0,0
1986-01-24,20358,59.49,0
1986-01-25,20358,0,0
1986-01-26,20358,0,0
1986-01-27,20358,0,0
1986-01-28,20476,59.49,0
1986-01-29,20476,0,0
1986-01-30,20476,0,0
1986-01-31,20476,0,0
1986-02-01,20511,17.65,0
1986-02-02,20547,18.15,0
1986-02-03,20570,11.6,0
1986-02-04,20594,12.1,0
1986-02-05,20618,12.1,0
1986-02-06,20641,11.6,0
