date,s_af,i_cfs,r_cfs
1965-01-01,444100,NA,NA
1965-01-02,446400,NA,NA
1965-01-03,449100,NA,NA
1965-01-04,451300,NA,NA
1965-01-05,453700,NA,NA
1965-01-06,456300,NA,NA
1965-01-07,458500,NA,NA
1965-01-08,46e4,NA,NA
1965-01-09,461600,NA,NA
1965-01-10,463400,NA,NA
1965-01-11,464700,NA,NA
1965-01-12,464900,NA,NA
1965-01-13,463100,NA,NA
1965-01-14,461400,NA,NA
1965-01-15,459400,NA,NA
1965-01-16,457600,NA,NA
1965-01-17,455600,NA,NA
1965-01-18,453400,NA,NA
1965-01-19,451300,NA,NA
1965-01-20,449300,NA,NA
1965-01-21,447300,NA,NA
1965-01-22,445400,NA,NA
1965-01-23,443400,NA,NA
1965-01-24,441500,NA,NA
1965-01-25,439500,NA,NA
1965-01-26,437600,NA,NA
1965-01-27,436500,NA,NA
1965-01-28,436500,NA,NA
1965-01-29,438200,NA,NA
1965-01-30,439700,NA,NA
1965-01-31,441200,NA,NA
1965-02-01,441900,NA,NA
1965-02-02,440600,NA,NA
1965-02-03,437300,NA,NA
1965-02-04,432600,NA,NA
1965-02-05,428100,NA,NA
1965-02-06,423600,NA,NA
1965-02-07,419e3,NA,NA
1965-02-08,414100,NA,NA
1965-02-09,409500,NA,NA
1965-02-10,404600,NA,NA
1965-02-11,399900,NA,NA
1965-02-12,394400,NA,NA
1965-02-13,388700,NA,NA
1965-02-14,382e3,NA,NA
1965-02-15,376400,NA,NA
1965-02-16,370500,NA,NA
1965-02-17,365100,NA,NA
1965-02-18,359400,NA,NA
1965-02-19,353100,NA,NA
1965-02-20,347300,NA,NA
1965-02-21,341300,NA,NA
1965-02-22,335600,NA,NA
1965-02-23,329300,NA,NA
1965-02-24,323300,NA,NA
1965-02-25,317e3,NA,NA
1965-02-26,310900,NA,NA
1965-02-27,306500,NA,NA
1965-02-28,301100,NA,NA
1965-03-01,295500,NA,NA
1965-03-02,290600,NA,NA
1965-03-03,285800,NA,NA
1965-03-04,280700,NA,NA
1965-03-05,275400,NA,NA
1965-03-06,270400,NA,NA
1965-03-07,265400,NA,NA
1965-03-08,260600,NA,NA
1965-03-09,255600,NA,NA
1965-03-10,250900,NA,NA
1965-03-11,246400,NA,NA
1965-03-12,241900,NA,NA
1965-03-13,237400,NA,NA
1965-03-14,233300,NA,NA
1965-03-15,228900,NA,NA
1965-03-16,224700,NA,NA
1965-03-17,220600,NA,NA
1965-03-18,216400,NA,NA
1965-03-19,211700,NA,NA
1965-03-20,207e3,NA,NA
1965-03-21,202900,NA,NA
1965-03-22,198600,NA,NA
1965-03-23,196100,NA,NA
1965-03-24,194e3,NA,NA
1965-03-25,192200,NA,NA
1965-03-26,191100,NA,NA
1965-03-27,189200,NA,NA
1965-03-28,187400,NA,NA
1965-03-29,185600,NA,NA
1965-03-30,183600,NA,NA
1965-03-31,182500,NA,NA
1965-04-01,182600,NA,NA
1965-04-02,183800,NA,NA
1965-04-03,184400,NA,NA
1965-04-04,184800,NA,NA
1965-04-05,185600,NA,NA
1965-04-06,186900,NA,NA
1965-04-07,188e3,NA,NA
1965-04-08,189300,NA,NA
1965-04-09,189300,NA,NA
1965-04-10,191900,NA,NA
1965-04-11,192800,NA,NA
1965-04-12,193800,NA,NA
1965-04-13,195800,NA,NA
1965-04-14,198100,NA,NA
1965-04-15,200700,NA,NA
1965-04-16,205300,NA,NA
1965-04-17,208300,NA,NA
1965-04-18,211200,NA,NA
1965-04-19,220900,NA,NA
1965-04-20,235500,NA,NA
1965-04-21,247200,NA,NA
1965-04-22,256700,NA,NA
1965-04-23,264700,NA,NA
1965-04-24,273700,NA,NA
1965-04-25,281900,NA,NA
1965-04-26,288300,NA,NA
1965-04-27,293800,NA,NA
1965-04-28,302200,NA,NA
1965-04-29,308900,NA,NA
1965-04-30,316800,NA,NA
1965-05-01,325e3,NA,NA
1965-05-02,332700,NA,NA
1965-05-03,338800,NA,NA
1965-05-04,344800,NA,NA
1965-05-05,347100,NA,NA
1965-05-06,348700,NA,NA
1965-05-07,349800,NA,NA
1965-05-08,350600,NA,NA
1965-05-09,351e3,NA,NA
1965-05-10,351600,NA,NA
1965-05-11,352400,NA,NA
1965-05-12,353300,NA,NA
1965-05-13,355300,NA,NA
1965-05-14,358600,NA,NA
1965-05-15,363400,NA,NA
1965-05-16,369700,NA,NA
1965-05-17,377400,NA,NA
1965-05-18,385100,NA,NA
1965-05-19,392100,NA,NA
1965-05-20,400900,NA,NA
1965-05-21,409100,NA,NA
1965-05-22,418400,NA,NA
1965-05-23,426600,NA,NA
1965-05-24,434100,NA,NA
1965-05-25,441900,NA,NA
1965-05-26,449100,NA,NA
1965-05-27,455400,NA,NA
1965-05-28,462500,NA,NA
1965-05-29,470500,NA,NA
1965-05-30,479300,NA,NA
1965-05-31,488400,NA,NA
1965-06-01,497300,NA,NA
1965-06-02,506300,NA,NA
1965-06-03,515600,NA,NA
1965-06-04,524600,NA,NA
1965-06-05,534600,NA,NA
1965-06-06,544800,NA,NA
1965-06-07,554800,NA,NA
1965-06-08,565400,NA,NA
1965-06-09,574e3,NA,NA
1965-06-10,582500,NA,NA
1965-06-11,592600,NA,NA
1965-06-12,601500,NA,NA
1965-06-13,609900,NA,NA
1965-06-14,618700,NA,NA
1965-06-15,625700,NA,NA
1965-06-16,631100,NA,NA
1965-06-17,633700,NA,NA
1965-06-18,637600,NA,NA
1965-06-19,640500,NA,NA
1965-06-20,642400,NA,NA
1965-06-21,644500,NA,NA
1965-06-22,645e3,NA,NA
1965-06-23,645300,NA,NA
1965-06-24,645800,NA,NA
1965-06-25,646600,NA,NA
1965-06-26,646300,NA,NA
1965-06-27,645800,NA,NA
1965-06-28,645500,NA,NA
1965-06-29,646600,NA,NA
1965-06-30,647100,NA,NA
1965-07-01,648200,NA,NA
1965-07-02,649500,NA,NA
1965-07-03,651900,NA,NA
1965-07-04,654800,NA,NA
1965-07-05,655600,NA,NA
1965-07-06,654500,NA,NA
1965-07-07,654500,NA,NA
1965-07-08,655100,NA,NA
1965-07-09,655600,NA,NA
1965-07-10,655800,NA,NA
1965-07-11,654500,NA,NA
1965-07-12,653700,NA,NA
1965-07-13,653700,NA,NA
1965-07-14,654e3,NA,NA
1965-07-15,653200,NA,NA
1965-07-16,652900,NA,NA
1965-07-17,652700,NA,NA
1965-07-18,652400,NA,NA
1965-07-19,651900,NA,NA
1965-07-20,651900,NA,NA
1965-07-21,650300,NA,NA
1965-07-22,649200,NA,NA
1965-07-23,649e3,NA,NA
1965-07-24,649e3,NA,NA
1965-07-25,648700,NA,NA
1965-07-26,649e3,NA,NA
1965-07-27,648200,NA,NA
1965-07-28,647600,NA,NA
1965-07-29,646800,NA,NA
1965-07-30,645800,NA,NA
1965-07-31,644500,NA,NA
1965-08-01,643700,NA,NA
1965-08-02,644500,NA,NA
1965-08-03,643900,NA,NA
1965-08-04,643400,NA,NA
1965-08-05,642400,NA,NA
1965-08-06,641100,NA,NA
1965-08-07,639700,NA,NA
1965-08-08,637100,NA,NA
1965-08-09,635e3,NA,NA
1965-08-10,631900,NA,NA
1965-08-11,629300,NA,NA
1965-08-12,628800,NA,NA
1965-08-13,626700,NA,NA
1965-08-14,624600,NA,NA
1965-08-15,622300,NA,NA
1965-08-16,620200,NA,NA
1965-08-17,617900,NA,NA
1965-08-18,615300,NA,NA
1965-08-19,614300,NA,NA
1965-08-20,612e3,NA,NA
1965-08-21,611e3,NA,NA
1965-08-22,608900,NA,NA
1965-08-23,607600,NA,NA
1965-08-24,605800,NA,NA
1965-08-25,604300,NA,NA
1965-08-26,602800,NA,NA
1965-08-27,601200,NA,NA
1965-08-28,598700,NA,NA
1965-08-29,597200,NA,NA
1965-08-30,594400,NA,NA
1965-08-31,592400,NA,NA
1965-09-01,590100,NA,NA
1965-09-02,588100,NA,NA
1965-09-03,586e3,NA,NA
1965-09-04,583500,NA,NA
1965-09-05,581300,NA,NA
1965-09-06,579e3,NA,NA
1965-09-07,576500,NA,NA
1965-09-08,575300,NA,NA
1965-09-09,573500,NA,NA
1965-09-10,571800,NA,NA
1965-09-11,569800,NA,NA
1965-09-12,567800,NA,NA
1965-09-13,565600,NA,NA
1965-09-14,563100,NA,NA
1965-09-15,560700,NA,NA
1965-09-16,557700,NA,NA
1965-09-17,554500,NA,NA
1965-09-18,551400,NA,NA
1965-09-19,548900,NA,NA
1965-09-20,546500,NA,NA
1965-09-21,543800,NA,NA
1965-09-22,541400,NA,NA
1965-09-23,538500,NA,NA
1965-09-24,536100,NA,NA
1965-09-25,533200,NA,NA
1965-09-26,530800,NA,NA
1965-09-27,528200,NA,NA
1965-09-28,525100,NA,NA
1965-09-29,521800,NA,NA
1965-09-30,518900,NA,NA
1965-10-01,516300,NA,NA
1965-10-02,513100,NA,NA
1965-10-03,510300,NA,NA
1965-10-04,505600,NA,NA
1965-10-05,504500,NA,NA
1965-10-06,501700,NA,NA
1965-10-07,498900,NA,NA
1965-10-08,496600,NA,NA
1965-10-09,494300,NA,NA
1965-10-10,491100,NA,NA
1965-10-11,488100,NA,NA
1965-10-12,485600,NA,NA
1965-10-13,482200,NA,NA
1965-10-14,480200,NA,NA
1965-10-15,479300,NA,NA
1965-10-16,479300,NA,NA
1965-10-17,479300,NA,NA
1965-10-18,48e4,NA,NA
1965-10-19,480900,NA,NA
1965-10-20,481500,NA,NA
1965-10-21,482e3,NA,NA
1965-10-22,482200,NA,NA
1965-10-23,482700,NA,NA
1965-10-24,483100,NA,NA
1965-10-25,483400,NA,NA
1965-10-26,483600,NA,NA
1965-10-27,483800,NA,NA
1965-10-28,484300,NA,NA
1965-10-29,484500,NA,NA
1965-10-30,484700,NA,NA
1965-10-31,485200,NA,NA
1965-11-01,485600,NA,NA
1965-11-02,485900,NA,NA
1965-11-03,485200,NA,NA
1965-11-04,486500,NA,NA
1965-11-05,487e3,NA,NA
1965-11-06,487500,NA,NA
1965-11-07,487700,NA,NA
1965-11-08,487900,NA,NA
1965-11-09,488100,NA,NA
1965-11-10,489e3,NA,NA
1965-11-11,489e3,NA,NA
1965-11-12,489500,NA,NA
1965-11-13,49e4,NA,NA
1965-11-14,491600,NA,NA
1965-11-15,492200,NA,NA
1965-11-16,492900,NA,NA
1965-11-17,494800,NA,NA
1965-11-18,495200,NA,NA
1965-11-19,495760,NA,NA
1965-11-20,496330,NA,NA
1965-11-21,496890,NA,NA
1965-11-22,497460,NA,NA
1965-11-23,498020,NA,NA
1965-11-24,498580,NA,NA
1965-11-25,499140,NA,NA
1965-11-26,499120,NA,NA
1965-11-27,500270,NA,NA
1965-11-28,500840,NA,NA
1965-11-29,501400,NA,NA
1965-11-30,501e3,NA,NA
1965-12-01,501700,NA,NA
1965-12-02,502100,NA,NA
1965-12-03,502100,NA,NA
1965-12-04,502800,NA,NA
1965-12-05,503300,NA,NA
1965-12-06,503800,NA,NA
1965-12-07,504200,NA,NA
1965-12-08,504500,NA,NA
1965-12-09,504700,NA,NA
1965-12-10,505200,NA,NA
1965-12-11,505600,NA,NA
1965-12-12,506100,NA,NA
1965-12-13,506300,NA,NA
1965-12-14,506100,NA,NA
1965-12-15,506100,NA,NA
1965-12-16,506100,NA,NA
1965-12-17,506100,NA,NA
1965-12-18,506100,NA,NA
1965-12-19,506100,NA,NA
1965-12-20,505800,NA,NA
1965-12-21,505400,NA,NA
1965-12-22,505400,NA,NA
1965-12-23,504900,NA,NA
1965-12-24,505400,NA,NA
1965-12-25,505600,NA,NA
1965-12-26,505600,NA,NA
1965-12-27,505600,NA,NA
1965-12-28,506500,NA,NA
1965-12-29,507e3,NA,NA
1965-12-30,507500,NA,NA
1965-12-31,507500,NA,NA
1966-01-01,507500,NA,NA
1966-01-02,508400,NA,NA
1966-01-03,511e3,NA,NA
1966-01-04,513500,NA,NA
1966-01-05,514700,NA,NA
1966-01-06,518700,NA,NA
1966-01-07,519600,NA,NA
1966-01-08,522e3,NA,NA
1966-01-09,521300,NA,NA
1966-01-10,522e3,NA,NA
1966-01-11,522500,NA,NA
1966-01-12,522900,NA,NA
1966-01-13,523400,NA,NA
1966-01-14,523700,NA,NA
1966-01-15,523400,NA,NA
1966-01-16,522900,NA,NA
1966-01-17,521800,NA,NA
1966-01-18,519400,NA,NA
1966-01-19,516800,NA,NA
1966-01-20,514200,NA,NA
1966-01-21,512100,NA,NA
